Country,Mode,Battery_type,Powertrain,Year,EV_sales,Mass_vehicule,Scenario,Installed_battery_cap,Metal,Metal intensity (g/kWh),Metal_demand_t,Fiability_used,Comment
Canada,Trucks,NMC,BEV,2024,2000.0,3.6892781241792854,Current Measures,700000.0,Manganese,158.5365755322099,110.97560287254693,No comparison,(Gr-NMC)
Canada,Trucks,NMC,BEV,2024,2000.0,3.6892781241792854,Current Measures,700000.0,Nickel,563.6856690888599,394.57996836220195,No comparison,(Gr-NMC)
Canada,Vans,LFP,BEV,2024,11000.0,1.9577507575642077,Current Measures,342449.25,Aluminum,46.40007822418474,15.889671987813397,No comparison,"(battery production, Li-ion, LFP, rechargeable)"
Canada,Vans,LFP,BEV,2024,11000.0,1.9577507575642077,Current Measures,342449.25,Cobalt,1536.85058087675,526.2933287833074,Important variability in data,"(battery production, Li-ion, LFP, rechargeable)"
Canada,Vans,LFP,BEV,2024,11000.0,1.9577507575642077,Current Measures,342449.25,Copper,493.2248344592003,168.9044746419273,Variability in data,(Gr-LFP)
Canada,Vans,LFP,BEV,2024,11000.0,1.9577507575642077,Current Measures,342449.25,Lithium,128.51391608843448,44.00949417904732,Small variability in data,mean of Small variability in data
Canada,Vans,LFP,BEV,2024,11000.0,1.9577507575642077,Current Measures,342449.25,Manganese,1492.4507879970258,511.0886530114905,Variability in data,"(battery production, Li-ion, LFP, rechargeable)"
Canada,Vans,LFP,BEV,2024,11000.0,1.9577507575642077,Current Measures,342449.25,Nickel,140.0,47.942895,Variability in data,"(battery production, Li-ion, LFP, rechargeable)"
Canada,Vans,LMO,BEV,2024,11000.0,1.9577507575642077,Current Measures,0.0,Cobalt,500.0,0.0,Variability in data,
Canada,Vans,LMO,BEV,2024,11000.0,1.9577507575642077,Current Measures,0.0,Copper,440.3793092817998,0.0,No comparison,(Gr-LMO)
Canada,Vans,LMO,BEV,2024,11000.0,1.9577507575642077,Current Measures,0.0,Lithium,355.95804320184345,0.0,Variability in data,mean of Variability in data
Canada,Vans,LMO,BEV,2024,11000.0,1.9577507575642077,Current Measures,0.0,Manganese,1277.1002589838204,0.0,No comparison,(Gr-LMO)
Canada,Vans,NCA,BEV,2024,11000.0,1.9577507575642077,Current Measures,68491.49999999994,Cobalt,149.56368345160004,10.243841025125256,Small variability in data,mean of Small variability in data
Canada,Vans,NCA,BEV,2024,11000.0,1.9577507575642077,Current Measures,68491.49999999994,Copper,484.997905396169,33.21823403744168,Variability in data,mean of Variability in data
Canada,Vans,NCA,BEV,2024,11000.0,1.9577507575642077,Current Measures,68491.49999999994,Graphite,65.2555225805155,4.469448624823373,No comparison,"(battery production, Li-ion, NCA, rechargeable)"
Canada,Vans,NCA,BEV,2024,11000.0,1.9577507575642077,Current Measures,68491.49999999994,Lithium,179.0,12.259978499999988,Small variability in data,mean of Small variability in data
Canada,Vans,NCA,BEV,2024,11000.0,1.9577507575642077,Current Measures,68491.49999999994,Manganese,59.41948687206784,4.0697297850982315,Small variability in data,"(battery production, Li-ion, NCA, rechargeable)"
Canada,Vans,NCA,BEV,2024,11000.0,1.9577507575642077,Current Measures,68491.49999999994,Nickel,791.469154288161,54.20890958092754,Small variability in data,mean of Small variability in data
Canada,Vans,NMC,BEV,2024,11000.0,1.9577507575642077,Current Measures,348678.0000000001,Cobalt,216.0569064717551,75.33429003475864,Small variability in data,mean of Small variability in data
Canada,Vans,NMC,BEV,2024,11000.0,1.9577507575642077,Current Measures,348678.0000000001,Copper,317.07315106442,110.55643216683988,No comparison,(Gr-NMC)
Canada,Vans,NMC,BEV,2024,11000.0,1.9577507575642077,Current Measures,348678.0000000001,Lithium,373.86187056491104,130.3574093048321,Variability in data,mean of Variability in data
Canada,Vans,NMC,BEV,2024,11000.0,1.9577507575642077,Current Measures,348678.0000000001,Manganese,158.5365755322099,55.2782160834199,No comparison,(Gr-NMC)
