Country,Mode,Battery_type,Powertrain,Year,EV_sales,Mass_vehicule,Scenario,Installed_battery_cap,Metal,Metal intensity (g/kWh),Metal_demand_t,Fiability_used,Comment
Canada,Trucks,NMC,BEV,2024,2000.0,3.6892781241792854,Current Measures,700000.0,Manganese,158.5365755322099,110.97560287254693,No comparison,(Gr-NMC)
Canada,Trucks,NMC,BEV,2024,2000.0,3.6892781241792854,Current Measures,700000.0,Nickel,563.6856690888599,394.57996836220195,No comparison,(Gr-NMC)
Canada,Vans,LFP,BEV,2024,11000.0,1.9577507575642077,Current Measures,82500.0,Aluminum,46.40007822418474,3.8280064534952407,No comparison,"(battery production, Li-ion, LFP, rechargeable)"
Canada,Vans,LFP,BEV,2024,11000.0,1.9577507575642077,Current Measures,82500.0,Cobalt,1536.85058087675,126.79017292233186,Important variability in data,"(battery production, Li-ion, LFP, rechargeable)"
Canada,Vans,LFP,BEV,2024,11000.0,1.9577507575642077,Current Measures,82500.0,Copper,493.2248344592003,40.69104884288403,Variability in data,(Gr-LFP)
Canada,Vans,LFP,BEV,2024,11000.0,1.9577507575642077,Current Measures,82500.0,Lithium,128.51391608843448,10.602398077295845,Small variability in data,mean of Small variability in data
Canada,Vans,LFP,BEV,2024,11000.0,1.9577507575642077,Current Measures,82500.0,Manganese,1492.4507879970258,123.12719000975463,Variability in data,"(battery production, Li-ion, LFP, rechargeable)"
Canada,Vans,LFP,BEV,2024,11000.0,1.9577507575642077,Current Measures,82500.0,Nickel,140.0,11.55,Variability in data,"(battery production, Li-ion, LFP, rechargeable)"
Canada,Vans,LMO,BEV,2024,11000.0,1.9577507575642077,Current Measures,8250.0,Cobalt,500.0,4.125,Variability in data,
Canada,Vans,LMO,BEV,2024,11000.0,1.9577507575642077,Current Measures,8250.0,Copper,440.3793092817998,3.6331293015748485,No comparison,(Gr-LMO)
Canada,Vans,LMO,BEV,2024,11000.0,1.9577507575642077,Current Measures,8250.0,Lithium,355.95804320184345,2.9366538564152083,Variability in data,mean of Variability in data
Canada,Vans,LMO,BEV,2024,11000.0,1.9577507575642077,Current Measures,8250.0,Manganese,1277.1002589838204,10.53607713661652,No comparison,(Gr-LMO)
Canada,Vans,NCA,BEV,2024,11000.0,1.9577507575642077,Current Measures,239249.99999999997,Cobalt,149.56368345160004,35.783111265795306,Small variability in data,mean of Small variability in data
Canada,Vans,NCA,BEV,2024,11000.0,1.9577507575642077,Current Measures,239249.99999999997,Copper,484.997905396169,116.03574886603342,Variability in data,mean of Variability in data
Canada,Vans,NCA,BEV,2024,11000.0,1.9577507575642077,Current Measures,239249.99999999997,Graphite,65.2555225805155,15.612383777388333,No comparison,"(battery production, Li-ion, NCA, rechargeable)"
Canada,Vans,NCA,BEV,2024,11000.0,1.9577507575642077,Current Measures,239249.99999999997,Lithium,179.0,42.82574999999999,Small variability in data,mean of Small variability in data
Canada,Vans,NCA,BEV,2024,11000.0,1.9577507575642077,Current Measures,239249.99999999997,Manganese,59.41948687206784,14.216112234142228,Small variability in data,"(battery production, Li-ion, NCA, rechargeable)"
Canada,Vans,NCA,BEV,2024,11000.0,1.9577507575642077,Current Measures,239249.99999999997,Nickel,791.469154288161,189.3589951634425,Small variability in data,mean of Small variability in data
Canada,Vans,NMC,BEV,2024,11000.0,1.9577507575642077,Current Measures,437250.0,Cobalt,216.0569064717551,94.47088235477493,Small variability in data,mean of Small variability in data
Canada,Vans,NMC,BEV,2024,11000.0,1.9577507575642077,Current Measures,437250.0,Copper,317.07315106442,138.64023530291766,No comparison,(Gr-NMC)
Canada,Vans,NMC,BEV,2024,11000.0,1.9577507575642077,Current Measures,437250.0,Lithium,373.86187056491104,163.47110290450738,Variability in data,mean of Variability in data
Canada,Vans,NMC,BEV,2024,11000.0,1.9577507575642077,Current Measures,437250.0,Manganese,158.5365755322099,69.32011765145877,No comparison,(Gr-NMC)
