Scenario,Country,Year,Technology,Metal,Metal_demand_t,Mode,Powertain,Powertrain
Canada Net-zero,Canada,2020,Bioenergy,Aluminum,6562.66,,,
Canada Net-zero,Canada,2020,Bioenergy,Chromium,5.0482,,,
Canada Net-zero,Canada,2020,Bioenergy,Cobalt,5.0482,,,
Canada Net-zero,Canada,2020,Bioenergy,Concrete,401331.89999999997,,,
Canada Net-zero,Canada,2020,Bioenergy,Copper,5609.81225,,,
Canada Net-zero,Canada,2020,Bioenergy,Iron,108025.04354499998,,,
Canada Net-zero,Canada,2020,Bioenergy,Lead,262.5064,,,
Canada Net-zero,Canada,2020,Bioenergy,Nickel,50.482,,,
Canada Net-zero,Canada,2020,Bioenergy,Zinc,403.856,,,
Canada Net-zero,Canada,2021,Bioenergy,Aluminum,6612.0599999999995,,,
Canada Net-zero,Canada,2021,Bioenergy,Chromium,5.0862,,,
Canada Net-zero,Canada,2021,Bioenergy,Cobalt,5.0862,,,
Canada Net-zero,Canada,2021,Bioenergy,Concrete,404352.89999999997,,,
Canada Net-zero,Canada,2021,Bioenergy,Copper,5652.03975,,,
Canada Net-zero,Canada,2021,Bioenergy,Iron,108838.19509499999,,,
Canada Net-zero,Canada,2021,Bioenergy,Lead,264.4824,,,
Canada Net-zero,Canada,2021,Bioenergy,Nickel,50.861999999999995,,,
Canada Net-zero,Canada,2021,Bioenergy,Zinc,406.89599999999996,,,
Canada Net-zero,Canada,2022,Bioenergy,Aluminum,6612.0599999999995,,,
Canada Net-zero,Canada,2022,Bioenergy,Chromium,5.0862,,,
Canada Net-zero,Canada,2022,Bioenergy,Cobalt,5.0862,,,
Canada Net-zero,Canada,2022,Bioenergy,Concrete,404352.89999999997,,,
Canada Net-zero,Canada,2022,Bioenergy,Copper,5652.03975,,,
Canada Net-zero,Canada,2022,Bioenergy,Iron,108838.19509499999,,,
Canada Net-zero,Canada,2022,Bioenergy,Lead,264.4824,,,
Canada Net-zero,Canada,2022,Bioenergy,Nickel,50.861999999999995,,,
Canada Net-zero,Canada,2022,Bioenergy,Zinc,406.89599999999996,,,
Canada Net-zero,Canada,2023,Bioenergy,Aluminum,6612.0599999999995,,,
Canada Net-zero,Canada,2023,Bioenergy,Chromium,5.0862,,,
Canada Net-zero,Canada,2023,Bioenergy,Cobalt,5.0862,,,
Canada Net-zero,Canada,2023,Bioenergy,Concrete,404352.89999999997,,,
Canada Net-zero,Canada,2023,Bioenergy,Copper,5652.03975,,,
Canada Net-zero,Canada,2023,Bioenergy,Iron,108838.19509499999,,,
Canada Net-zero,Canada,2023,Bioenergy,Lead,264.4824,,,
Canada Net-zero,Canada,2023,Bioenergy,Nickel,50.861999999999995,,,
Canada Net-zero,Canada,2023,Bioenergy,Zinc,406.89599999999996,,,
Canada Net-zero,Canada,2024,Bioenergy,Aluminum,6612.0599999999995,,,
Canada Net-zero,Canada,2024,Bioenergy,Chromium,5.0862,,,
Canada Net-zero,Canada,2024,Bioenergy,Cobalt,5.0862,,,
Canada Net-zero,Canada,2024,Bioenergy,Concrete,404352.89999999997,,,
Canada Net-zero,Canada,2024,Bioenergy,Copper,5652.03975,,,
Canada Net-zero,Canada,2024,Bioenergy,Iron,108838.19509499999,,,
Canada Net-zero,Canada,2024,Bioenergy,Lead,264.4824,,,
Canada Net-zero,Canada,2024,Bioenergy,Nickel,50.861999999999995,,,
Canada Net-zero,Canada,2024,Bioenergy,Zinc,406.89599999999996,,,
Canada Net-zero,Canada,2025,Bioenergy,Aluminum,7003.36,,,
Canada Net-zero,Canada,2025,Bioenergy,Chromium,5.3872,,,
Canada Net-zero,Canada,2025,Bioenergy,Cobalt,5.3872,,,
Canada Net-zero,Canada,2025,Bioenergy,Concrete,428282.4,,,
Canada Net-zero,Canada,2025,Bioenergy,Copper,5986.526,,,
Canada Net-zero,Canada,2025,Bioenergy,Iron,115279.21131999999,,,
Canada Net-zero,Canada,2025,Bioenergy,Lead,280.1344,,,
Canada Net-zero,Canada,2025,Bioenergy,Nickel,53.872,,,
Canada Net-zero,Canada,2025,Bioenergy,Zinc,430.976,,,
