Scenario,Region,Year,Variable,Metal,Metal intensity (t/GW),Metal_demand_t,Fiability_used,Comment
Canada Net-zero,Canada,2021,Bioenergy,Aluminum,2600.0,6612.0599999999995,Small variability in data,mean of Small variability in data
Canada Net-zero,Canada,2021,Bioenergy,Chromium,2.0,5.0862,Variability in data,
Canada Net-zero,Canada,2021,Bioenergy,Cobalt,2.0,5.0862,Variability in data,
Canada Net-zero,Canada,2021,Bioenergy,Concrete,159000.0,404352.89999999997,No comparison,
Canada Net-zero,Canada,2021,Bioenergy,Copper,2222.5,5652.03975,Small variability in data,mean of Small variability in data
Canada Net-zero,Canada,2021,Bioenergy,Iron,42797.45,108838.19509499999,Small variability in data,mean of Small variability in data
Canada Net-zero,Canada,2021,Bioenergy,Lead,104.0,264.4824,Variability in data,
Canada Net-zero,Canada,2021,Bioenergy,Nickel,20.0,50.861999999999995,Important variability in data,
Canada Net-zero,Canada,2021,Bioenergy,Zinc,160.0,406.89599999999996,Variability in data,
Canada Net-zero,Canada,2022,Bioenergy,Aluminum,2600.0,6612.0599999999995,Small variability in data,mean of Small variability in data
Canada Net-zero,Canada,2022,Bioenergy,Chromium,2.0,5.0862,Variability in data,
Canada Net-zero,Canada,2022,Bioenergy,Cobalt,2.0,5.0862,Variability in data,
Canada Net-zero,Canada,2022,Bioenergy,Concrete,159000.0,404352.89999999997,No comparison,
Canada Net-zero,Canada,2022,Bioenergy,Copper,2222.5,5652.03975,Small variability in data,mean of Small variability in data
Canada Net-zero,Canada,2022,Bioenergy,Iron,42797.45,108838.19509499999,Small variability in data,mean of Small variability in data
Canada Net-zero,Canada,2022,Bioenergy,Lead,104.0,264.4824,Variability in data,
Canada Net-zero,Canada,2022,Bioenergy,Nickel,20.0,50.861999999999995,Important variability in data,
Canada Net-zero,Canada,2022,Bioenergy,Zinc,160.0,406.89599999999996,Variability in data,
Canada Net-zero,Canada,2023,Bioenergy,Aluminum,2600.0,6612.0599999999995,Small variability in data,mean of Small variability in data
Canada Net-zero,Canada,2023,Bioenergy,Chromium,2.0,5.0862,Variability in data,
Canada Net-zero,Canada,2023,Bioenergy,Cobalt,2.0,5.0862,Variability in data,
Canada Net-zero,Canada,2023,Bioenergy,Concrete,159000.0,404352.89999999997,No comparison,
Canada Net-zero,Canada,2023,Bioenergy,Copper,2222.5,5652.03975,Small variability in data,mean of Small variability in data
Canada Net-zero,Canada,2023,Bioenergy,Iron,42797.45,108838.19509499999,Small variability in data,mean of Small variability in data
Canada Net-zero,Canada,2023,Bioenergy,Lead,104.0,264.4824,Variability in data,
Canada Net-zero,Canada,2023,Bioenergy,Nickel,20.0,50.861999999999995,Important variability in data,
Canada Net-zero,Canada,2023,Bioenergy,Zinc,160.0,406.89599999999996,Variability in data,
Canada Net-zero,Canada,2024,Bioenergy,Aluminum,2600.0,6612.0599999999995,Small variability in data,mean of Small variability in data
Canada Net-zero,Canada,2024,Bioenergy,Chromium,2.0,5.0862,Variability in data,
Canada Net-zero,Canada,2024,Bioenergy,Cobalt,2.0,5.0862,Variability in data,
Canada Net-zero,Canada,2024,Bioenergy,Concrete,159000.0,404352.89999999997,No comparison,
Canada Net-zero,Canada,2024,Bioenergy,Copper,2222.5,5652.03975,Small variability in data,mean of Small variability in data
Canada Net-zero,Canada,2024,Bioenergy,Iron,42797.45,108838.19509499999,Small variability in data,mean of Small variability in data
Canada Net-zero,Canada,2024,Bioenergy,Lead,104.0,264.4824,Variability in data,
Canada Net-zero,Canada,2024,Bioenergy,Nickel,20.0,50.861999999999995,Important variability in data,
Canada Net-zero,Canada,2024,Bioenergy,Zinc,160.0,406.89599999999996,Variability in data,
Canada Net-zero,Canada,2025,Bioenergy,Aluminum,2600.0,7003.36,Small variability in data,mean of Small variability in data
Canada Net-zero,Canada,2025,Bioenergy,Chromium,2.0,5.3872,Variability in data,
Canada Net-zero,Canada,2025,Bioenergy,Cobalt,2.0,5.3872,Variability in data,
Canada Net-zero,Canada,2025,Bioenergy,Concrete,159000.0,428282.4,No comparison,
Canada Net-zero,Canada,2025,Bioenergy,Copper,2222.5,5986.526,Small variability in data,mean of Small variability in data
Canada Net-zero,Canada,2025,Bioenergy,Iron,42797.45,115279.21131999999,Small variability in data,mean of Small variability in data
Canada Net-zero,Canada,2025,Bioenergy,Lead,104.0,280.1344,Variability in data,
Canada Net-zero,Canada,2025,Bioenergy,Nickel,20.0,53.872,Important variability in data,
Canada Net-zero,Canada,2025,Bioenergy,Zinc,160.0,430.976,Variability in data,
Canada Net-zero,Canada,2026,Bioenergy,Aluminum,2600.0,7003.36,Small variability in data,mean of Small variability in data
Canada Net-zero,Canada,2026,Bioenergy,Chromium,2.0,5.3872,Variability in data,
Canada Net-zero,Canada,2026,Bioenergy,Cobalt,2.0,5.3872,Variability in data,
Canada Net-zero,Canada,2026,Bioenergy,Concrete,159000.0,428282.4,No comparison,
Canada Net-zero,Canada,2026,Bioenergy,Copper,2222.5,5986.526,Small variability in data,mean of Small variability in data
Canada Net-zero,Canada,2026,Bioenergy,Iron,42797.45,115279.21131999999,Small variability in data,mean of Small variability in data
Canada Net-zero,Canada,2026,Bioenergy,Lead,104.0,280.1344,Variability in data,
Canada Net-zero,Canada,2026,Bioenergy,Nickel,20.0,53.872,Important variability in data,
Canada Net-zero,Canada,2026,Bioenergy,Zinc,160.0,430.976,Variability in data,
Canada Net-zero,Canada,2027,Bioenergy,Aluminum,2600.0,7003.36,Small variability in data,mean of Small variability in data
Canada Net-zero,Canada,2027,Bioenergy,Chromium,2.0,5.3872,Variability in data,
Canada Net-zero,Canada,2027,Bioenergy,Cobalt,2.0,5.3872,Variability in data,
Canada Net-zero,Canada,2027,Bioenergy,Concrete,159000.0,428282.4,No comparison,
Canada Net-zero,Canada,2027,Bioenergy,Copper,2222.5,5986.526,Small variability in data,mean of Small variability in data
Canada Net-zero,Canada,2027,Bioenergy,Iron,42797.45,115279.21131999999,Small variability in data,mean of Small variability in data
Canada Net-zero,Canada,2027,Bioenergy,Lead,104.0,280.1344,Variability in data,
Canada Net-zero,Canada,2027,Bioenergy,Nickel,20.0,53.872,Important variability in data,
Canada Net-zero,Canada,2027,Bioenergy,Zinc,160.0,430.976,Variability in data,
Canada Net-zero,Canada,2028,Bioenergy,Aluminum,2600.0,7003.36,Small variability in data,mean of Small variability in data
Canada Net-zero,Canada,2028,Bioenergy,Chromium,2.0,5.3872,Variability in data,
Canada Net-zero,Canada,2028,Bioenergy,Cobalt,2.0,5.3872,Variability in data,
Canada Net-zero,Canada,2028,Bioenergy,Concrete,159000.0,428282.4,No comparison,
Canada Net-zero,Canada,2028,Bioenergy,Copper,2222.5,5986.526,Small variability in data,mean of Small variability in data
Canada Net-zero,Canada,2028,Bioenergy,Iron,42797.45,115279.21131999999,Small variability in data,mean of Small variability in data
Canada Net-zero,Canada,2028,Bioenergy,Lead,104.0,280.1344,Variability in data,
Canada Net-zero,Canada,2028,Bioenergy,Nickel,20.0,53.872,Important variability in data,
Canada Net-zero,Canada,2028,Bioenergy,Zinc,160.0,430.976,Variability in data,
Canada Net-zero,Canada,2029,Bioenergy,Aluminum,2600.0,7003.36,Small variability in data,mean of Small variability in data
Canada Net-zero,Canada,2029,Bioenergy,Chromium,2.0,5.3872,Variability in data,
Canada Net-zero,Canada,2029,Bioenergy,Cobalt,2.0,5.3872,Variability in data,
Canada Net-zero,Canada,2029,Bioenergy,Concrete,159000.0,428282.4,No comparison,
Canada Net-zero,Canada,2029,Bioenergy,Copper,2222.5,5986.526,Small variability in data,mean of Small variability in data
Canada Net-zero,Canada,2029,Bioenergy,Iron,42797.45,115279.21131999999,Small variability in data,mean of Small variability in data
Canada Net-zero,Canada,2029,Bioenergy,Lead,104.0,280.1344,Variability in data,
Canada Net-zero,Canada,2029,Bioenergy,Nickel,20.0,53.872,Important variability in data,
Canada Net-zero,Canada,2029,Bioenergy,Zinc,160.0,430.976,Variability in data,
Canada Net-zero,Canada,2030,Bioenergy,Aluminum,2600.0,7003.36,Small variability in data,mean of Small variability in data
Canada Net-zero,Canada,2030,Bioenergy,Chromium,2.0,5.3872,Variability in data,
Canada Net-zero,Canada,2030,Bioenergy,Cobalt,2.0,5.3872,Variability in data,
Canada Net-zero,Canada,2030,Bioenergy,Concrete,159000.0,428282.4,No comparison,
Canada Net-zero,Canada,2030,Bioenergy,Copper,2222.5,5986.526,Small variability in data,mean of Small variability in data
Canada Net-zero,Canada,2030,Bioenergy,Iron,42797.45,115279.21131999999,Small variability in data,mean of Small variability in data
Canada Net-zero,Canada,2030,Bioenergy,Lead,104.0,280.1344,Variability in data,
Canada Net-zero,Canada,2030,Bioenergy,Nickel,20.0,53.872,Important variability in data,
Canada Net-zero,Canada,2030,Bioenergy,Zinc,160.0,430.976,Variability in data,
Canada Net-zero,Canada,2031,Bioenergy,Aluminum,2600.0,7003.36,Small variability in data,mean of Small variability in data
Canada Net-zero,Canada,2031,Bioenergy,Chromium,2.0,5.3872,Variability in data,
Canada Net-zero,Canada,2031,Bioenergy,Cobalt,2.0,5.3872,Variability in data,
Canada Net-zero,Canada,2031,Bioenergy,Concrete,159000.0,428282.4,No comparison,
Canada Net-zero,Canada,2031,Bioenergy,Copper,2222.5,5986.526,Small variability in data,mean of Small variability in data
Canada Net-zero,Canada,2031,Bioenergy,Iron,42797.45,115279.21131999999,Small variability in data,mean of Small variability in data
Canada Net-zero,Canada,2031,Bioenergy,Lead,104.0,280.1344,Variability in data,
Canada Net-zero,Canada,2031,Bioenergy,Nickel,20.0,53.872,Important variability in data,
Canada Net-zero,Canada,2031,Bioenergy,Zinc,160.0,430.976,Variability in data,
Canada Net-zero,Canada,2032,Bioenergy,Aluminum,2600.0,7003.36,Small variability in data,mean of Small variability in data
Canada Net-zero,Canada,2032,Bioenergy,Chromium,2.0,5.3872,Variability in data,
Canada Net-zero,Canada,2032,Bioenergy,Cobalt,2.0,5.3872,Variability in data,
Canada Net-zero,Canada,2032,Bioenergy,Concrete,159000.0,428282.4,No comparison,
Canada Net-zero,Canada,2032,Bioenergy,Copper,2222.5,5986.526,Small variability in data,mean of Small variability in data
Canada Net-zero,Canada,2032,Bioenergy,Iron,42797.45,115279.21131999999,Small variability in data,mean of Small variability in data
Canada Net-zero,Canada,2032,Bioenergy,Lead,104.0,280.1344,Variability in data,
Canada Net-zero,Canada,2032,Bioenergy,Nickel,20.0,53.872,Important variability in data,
Canada Net-zero,Canada,2032,Bioenergy,Zinc,160.0,430.976,Variability in data,
Canada Net-zero,Canada,2033,Bioenergy,Aluminum,2600.0,7003.36,Small variability in data,mean of Small variability in data
Canada Net-zero,Canada,2033,Bioenergy,Chromium,2.0,5.3872,Variability in data,
Canada Net-zero,Canada,2033,Bioenergy,Cobalt,2.0,5.3872,Variability in data,
Canada Net-zero,Canada,2033,Bioenergy,Concrete,159000.0,428282.4,No comparison,
Canada Net-zero,Canada,2033,Bioenergy,Copper,2222.5,5986.526,Small variability in data,mean of Small variability in data
Canada Net-zero,Canada,2033,Bioenergy,Iron,42797.45,115279.21131999999,Small variability in data,mean of Small variability in data
Canada Net-zero,Canada,2033,Bioenergy,Lead,104.0,280.1344,Variability in data,
Canada Net-zero,Canada,2033,Bioenergy,Nickel,20.0,53.872,Important variability in data,
Canada Net-zero,Canada,2033,Bioenergy,Zinc,160.0,430.976,Variability in data,
Canada Net-zero,Canada,2034,Bioenergy,Aluminum,2600.0,7003.36,Small variability in data,mean of Small variability in data
Canada Net-zero,Canada,2034,Bioenergy,Chromium,2.0,5.3872,Variability in data,
Canada Net-zero,Canada,2034,Bioenergy,Cobalt,2.0,5.3872,Variability in data,
Canada Net-zero,Canada,2034,Bioenergy,Concrete,159000.0,428282.4,No comparison,
Canada Net-zero,Canada,2034,Bioenergy,Copper,2222.5,5986.526,Small variability in data,mean of Small variability in data
Canada Net-zero,Canada,2034,Bioenergy,Iron,42797.45,115279.21131999999,Small variability in data,mean of Small variability in data
Canada Net-zero,Canada,2034,Bioenergy,Lead,104.0,280.1344,Variability in data,
Canada Net-zero,Canada,2034,Bioenergy,Nickel,20.0,53.872,Important variability in data,
Canada Net-zero,Canada,2034,Bioenergy,Zinc,160.0,430.976,Variability in data,
Canada Net-zero,Canada,2035,Bioenergy,Aluminum,2600.0,7003.36,Small variability in data,mean of Small variability in data
Canada Net-zero,Canada,2035,Bioenergy,Chromium,2.0,5.3872,Variability in data,
Canada Net-zero,Canada,2035,Bioenergy,Cobalt,2.0,5.3872,Variability in data,
Canada Net-zero,Canada,2035,Bioenergy,Concrete,159000.0,428282.4,No comparison,
Canada Net-zero,Canada,2035,Bioenergy,Copper,2222.5,5986.526,Small variability in data,mean of Small variability in data
Canada Net-zero,Canada,2035,Bioenergy,Iron,42797.45,115279.21131999999,Small variability in data,mean of Small variability in data
Canada Net-zero,Canada,2035,Bioenergy,Lead,104.0,280.1344,Variability in data,
Canada Net-zero,Canada,2035,Bioenergy,Nickel,20.0,53.872,Important variability in data,
Canada Net-zero,Canada,2035,Bioenergy,Zinc,160.0,430.976,Variability in data,
Canada Net-zero,Canada,2036,Bioenergy,Aluminum,2600.0,7003.36,Small variability in data,mean of Small variability in data
Canada Net-zero,Canada,2036,Bioenergy,Chromium,2.0,5.3872,Variability in data,
Canada Net-zero,Canada,2036,Bioenergy,Cobalt,2.0,5.3872,Variability in data,
Canada Net-zero,Canada,2036,Bioenergy,Concrete,159000.0,428282.4,No comparison,
Canada Net-zero,Canada,2036,Bioenergy,Copper,2222.5,5986.526,Small variability in data,mean of Small variability in data
Canada Net-zero,Canada,2036,Bioenergy,Iron,42797.45,115279.21131999999,Small variability in data,mean of Small variability in data
Canada Net-zero,Canada,2036,Bioenergy,Lead,104.0,280.1344,Variability in data,
Canada Net-zero,Canada,2036,Bioenergy,Nickel,20.0,53.872,Important variability in data,
Canada Net-zero,Canada,2036,Bioenergy,Zinc,160.0,430.976,Variability in data,
Canada Net-zero,Canada,2037,Bioenergy,Aluminum,2600.0,7003.36,Small variability in data,mean of Small variability in data
Canada Net-zero,Canada,2037,Bioenergy,Chromium,2.0,5.3872,Variability in data,
Canada Net-zero,Canada,2037,Bioenergy,Cobalt,2.0,5.3872,Variability in data,
Canada Net-zero,Canada,2037,Bioenergy,Concrete,159000.0,428282.4,No comparison,
Canada Net-zero,Canada,2037,Bioenergy,Copper,2222.5,5986.526,Small variability in data,mean of Small variability in data
Canada Net-zero,Canada,2037,Bioenergy,Iron,42797.45,115279.21131999999,Small variability in data,mean of Small variability in data
Canada Net-zero,Canada,2037,Bioenergy,Lead,104.0,280.1344,Variability in data,
Canada Net-zero,Canada,2037,Bioenergy,Nickel,20.0,53.872,Important variability in data,
Canada Net-zero,Canada,2037,Bioenergy,Zinc,160.0,430.976,Variability in data,
Canada Net-zero,Canada,2038,Bioenergy,Aluminum,2600.0,7003.36,Small variability in data,mean of Small variability in data
Canada Net-zero,Canada,2038,Bioenergy,Chromium,2.0,5.3872,Variability in data,
Canada Net-zero,Canada,2038,Bioenergy,Cobalt,2.0,5.3872,Variability in data,
Canada Net-zero,Canada,2038,Bioenergy,Concrete,159000.0,428282.4,No comparison,
Canada Net-zero,Canada,2038,Bioenergy,Copper,2222.5,5986.526,Small variability in data,mean of Small variability in data
Canada Net-zero,Canada,2038,Bioenergy,Iron,42797.45,115279.21131999999,Small variability in data,mean of Small variability in data
Canada Net-zero,Canada,2038,Bioenergy,Lead,104.0,280.1344,Variability in data,
Canada Net-zero,Canada,2038,Bioenergy,Nickel,20.0,53.872,Important variability in data,
Canada Net-zero,Canada,2038,Bioenergy,Zinc,160.0,430.976,Variability in data,
Canada Net-zero,Canada,2039,Bioenergy,Aluminum,2600.0,7003.36,Small variability in data,mean of Small variability in data
Canada Net-zero,Canada,2039,Bioenergy,Chromium,2.0,5.3872,Variability in data,
Canada Net-zero,Canada,2039,Bioenergy,Cobalt,2.0,5.3872,Variability in data,
Canada Net-zero,Canada,2039,Bioenergy,Concrete,159000.0,428282.4,No comparison,
Canada Net-zero,Canada,2039,Bioenergy,Copper,2222.5,5986.526,Small variability in data,mean of Small variability in data
Canada Net-zero,Canada,2039,Bioenergy,Iron,42797.45,115279.21131999999,Small variability in data,mean of Small variability in data
Canada Net-zero,Canada,2039,Bioenergy,Lead,104.0,280.1344,Variability in data,
Canada Net-zero,Canada,2039,Bioenergy,Nickel,20.0,53.872,Important variability in data,
Canada Net-zero,Canada,2039,Bioenergy,Zinc,160.0,430.976,Variability in data,
Canada Net-zero,Canada,2040,Bioenergy,Aluminum,2600.0,7003.36,Small variability in data,mean of Small variability in data
Canada Net-zero,Canada,2040,Bioenergy,Chromium,2.0,5.3872,Variability in data,
