Scenario,Year,Metal,Demand_kg,Total human health,Total ecosystem quality
Canada Net-zero,2025,Cobalt,18850015.793232087,2095.0197885909874,202128451.23388368
Canada Net-zero,2025,Copper,1979060527.6715574,472773.12819820363,68897787820.22522
Canada Net-zero,2025,Graphite,122569.16926167549,0.16307978876906803,23383.547713270513
Canada Net-zero,2025,Lithium,5254539.715667328,445.31953171912573,46977972.442644484
Canada Net-zero,2025,Neodymium,325384.76223044883,155.80114435283713,38658569.345164046
Canada Net-zero,2025,Nickel,662165628.245341,79224.62341357564,30500316389.23062
Canada Net-zero,2030,Cobalt,107299478.467,11629.620260844822,1112252279.8714266
Canada Net-zero,2030,Copper,2453055168.586344,577521.0735998005,84024487797.9234
Canada Net-zero,2030,Graphite,381993.2276370746,0.49367934003109504,71087.5878146209
Canada Net-zero,2030,Lithium,21093741.11212397,1783.4421752508133,183076959.0824639
Canada Net-zero,2030,Neodymium,2154882.9337155255,999.7637375305603,251522324.42856336
Canada Net-zero,2030,Nickel,726026309.6027606,85218.96743260277,33276708589.780575
Canada Net-zero,2035,Cobalt,245413726.64412823,25879.51455455931,2443406772.1205387
Canada Net-zero,2035,Copper,3846366098.658599,890665.8300773352,129566706763.30774
Canada Net-zero,2035,Graphite,433976.18818948104,0.52077139518242,75555.80727284953
Canada Net-zero,2035,Lithium,36719135.75554723,2913.110529548954,294682507.4088795
Canada Net-zero,2035,Neodymium,4963692.314413418,2232.3769498059773,571942714.4972782
Canada Net-zero,2035,Nickel,788642378.7491102,90990.37244735286,35958138981.206436
Canada Net-zero,2040,Cobalt,380992572.7352868,37685.912615346955,3327091597.2757664
Canada Net-zero,2040,Copper,4630171780.739209,1042412.1173866037,151809730190.6531
Canada Net-zero,2040,Graphite,0.0,0.0,0.0
Canada Net-zero,2040,Lithium,40040143.00767164,2691.341993129594,263540053.63662314
Canada Net-zero,2040,Neodymium,7369508.604916164,3093.097266534518,819766741.4904351
Canada Net-zero,2040,Nickel,808793146.9908595,89891.23147672822,36202044422.33336
Current Measures,2025,Cobalt,17150078.930467114,1905.8226860462382,183872671.48739237
Current Measures,2025,Copper,1947373720.90699,465115.4601529725,67784665860.91334
Current Measures,2025,Graphite,110429.36807575423,0.1469139457954438,21066.11078374315
Current Measures,2025,Lithium,4734106.49533976,401.15113021744037,42318465.008938216
Current Measures,2025,Neodymium,293157.1935343378,140.34091889712317,34826724.573524736
Current Measures,2025,Nickel,660565402.5268553,79015.0292730364,30424705999.953266
Current Measures,2030,Cobalt,51198242.8406341,5573.357342018746,535595471.2049171
Current Measures,2030,Copper,2298393624.8489437,543712.6065395307,79376339328.3564
Current Measures,2030,Graphite,179713.03463768115,0.2335446554636511,33622.902135126
Current Measures,2030,Lithium,9923789.095871085,844.991087047696,87386642.20127887
Current Measures,2030,Neodymium,874532.501847396,408.03649801811116,102570032.3714872
Current Measures,2030,Nickel,690765050.3286785,81325.98642223107,31722562454.02092
Current Measures,2035,Cobalt,93716171.37476508,10045.042825849232,960704086.5030969
Current Measures,2035,Copper,2757135554.6356645,646406.2967148554,94540098405.96417
Current Measures,2035,Graphite,163562.54152688067,0.20334168389802354,29439.1801978634
Current Measures,2035,Lithium,13839181.342884226,1137.0742956587274,117067780.00643225
Current Measures,2035,Neodymium,1591879.6200665787,727.1075519204041,185161858.61394492
Current Measures,2035,Nickel,702378963.0506839,81632.55844399601,32146538631.591446
Current Measures,2040,Cobalt,142268134.0022251,14918.247372923332,1400781752.9332523
Current Measures,2040,Copper,3362236903.54354,779776.547786409,114390363562.33746
Current Measures,2040,Graphite,0.0,0.0,0.0
Current Measures,2040,Lithium,14770209.59273754,1159.866038636821,119357487.77943453
Current Measures,2040,Neodymium,2445526.5200403356,1090.7363239531805,282891988.5471657
Current Measures,2040,Nickel,710144332.2183791,81336.25887842965,32325551744.110367
Global Net-zero,2025,Cobalt,18682705.072766867,,
Global Net-zero,2025,Copper,1947172331.7932847,,
Global Net-zero,2025,Graphite,122124.50981667911,,
Global Net-zero,2025,Lithium,5235477.167330305,,
Global Net-zero,2025,Neodymium,324204.32339207554,,
Global Net-zero,2025,Nickel,661714662.4653431,,
Global Net-zero,2030,Cobalt,101738214.51243518,,
Global Net-zero,2030,Copper,2366782322.784165,,
Global Net-zero,2030,Graphite,362696.2247415979,,
Global Net-zero,2030,Lithium,20028156.819347374,,
Global Net-zero,2030,Neodymium,2060978.469554862,,
Global Net-zero,2030,Nickel,714184770.9524047,,
Global Net-zero,2035,Cobalt,233436616.6535496,,
Global Net-zero,2035,Copper,3583249982.659819,,
Global Net-zero,2035,Graphite,412956.88615244156,,
Global Net-zero,2035,Lithium,34940672.72925805,,
Global Net-zero,2035,Neodymium,4759121.0340430355,,
Global Net-zero,2035,Nickel,785526631.8191373,,
Global Net-zero,2040,Cobalt,362476889.2651528,,
Global Net-zero,2040,Copper,4096052899.7684608,,
Global Net-zero,2040,Graphite,0.0,,
Global Net-zero,2040,Lithium,38139931.86101886,,
Global Net-zero,2040,Neodymium,7054887.696956908,,
Global Net-zero,2040,Nickel,803959906.1350284,,
