x,y,yearbook_table_trans,quantity,bgs_statistic_type_trans,bgs_commodity_code,units,country_trans,bgs_commodity_trans,concat_table_notes_code,concat_table_notes_text,country_iso2_code,bgs_sub_commodity_trans,country_iso3_code,erml_group,concat_figure_notes_text,year,pole_of_inaccessibility_longitude,erml_commodity,pole_of_inaccessibility_latitude,erml_sub_commodity,concat_figure_notes_code,yearbook_table_id,cgi_commodity_url
-119.677633,59.205383999999995,Production of iron ore,46673000,Production,662,tonnes (metric),Canada,iron ore,,,CA,,CAN,Iron and steel,Including by-product iron ore.,2015-01-01 00:00:00,-119.677633,Iron ore,59.205384,,g,69,http://resource.geosciml.org/classifier/cgi/commodity-code/iron-ore
-119.677633,59.205383999999995,Mine production of lead,3809,Production,891,tonnes (metal content),Canada,"lead, mine",,,CA,,CAN,Lead,,2015-01-01 00:00:00,-119.677633,"Lead (mine production, metal content)",59.205384,ore and concentrates (metal content),,80,http://resource.geosciml.org/classifier/cgi/commodity-code/lead
-119.677633,59.205383999999995,Production of refined copper,330902,Production,928,tonnes (metric),Canada,"copper, refined",1|2,"Figures relate to both primary and secondary refined copper, whether electrolytic or fire refined. Metal recovered from secondary materials by remelting alone is excluded|In addition to the countries listed, Albania and Colombia produce refined copper",CA,,CAN,Copper,,2015-01-01 00:00:00,-119.677633,"Copper, refined",59.205384,,,42,http://resource.geosciml.org/classifier/cgi/commodity-code/copper
-119.677633,59.205383999999995,Production of lithium minerals,0,Production,20309,tonnes (metric),Canada,lithium minerals,1,"In addition to the countries listed, Russia has also produced lithium minerals in the past.",CA,Lithium minerals (Carbonate -Li content),CAN,,,2015-01-01 00:00:00,-119.677633,,59.205384,,,84,
-119.677633,59.205383999999995,Mine production of tungsten,2114,Production,976,tonnes (metal content),Canada,"tungsten, mine",1|2,"In addition to the countries listed, the USA is known to produce tungsten|The figures in this table include artisanal mining, where data are available",CA,,CAN,Tungsten,,2015-01-01 00:00:00,-119.677633,"Tungsten (mine production, metal content)",59.205384,Ores and concentrates (metal content),,147,http://resource.geosciml.org/classifier/cgi/commodity-code/tungsten
-119.677633,59.205383999999995,Production of potash,11506000,Production,748,tonnes (K20 content),Canada,potash,,,CA,Chloride,CAN,Potash,,2015-01-01 00:00:00,-119.677633,Potash,59.205384,Chloride,,116,http://resource.geosciml.org/classifier/cgi/commodity-code/potash
-119.677633,59.205383999999995,Production of bentonite and fuller's earth,583,Production,596,tonnes (metric),Canada,bentonite and fuller's earth,1|2|3|4,"Bentonites consist of montmorillonite (one of the smectite group of clay minerals) and occur in two main varieties, calcium bentonite, the most commonly occurring, and sodium bentonite, industrially the more important|Calcium bentonite can be converted to sodium bentonite by a sodium-exchange process|In addition to the countries listed, Vietnam may produce bentonite and Algeria, France, Iran and Japan may produce fuller's earth|In some countries, such as the United Kingdom, calcium bentonite is known as fuller's earth, a term which is also used to refer attapulgite, a mineralogically distinct clay mineral but exhibiting similar properties",CA,Bentonite,CAN,Bentonite and fuller's earth,Sales.,2015-01-01 00:00:00,-119.677633,Bentonite,59.205384,Bentonite,k,18,http://resource.geosciml.org/classifier/cgi/commodity-code/bentonite
-119.677633,59.205383999999995,Production of refined tellurium,9,Production,970,tonnes (metric),Canada,"tellurium, refined",1,"In addition to the countries listed, Germany and Belgium are believed to produce refined tellurium",CA,,CAN,Tellurium,,2015-01-01 00:00:00,-119.677633,Tellurium,59.205384,,,168,http://resource.geosciml.org/classifier/cgi/commodity-code/tellurium
-119.677633,59.205383999999995,Production of refined lead,268863,Production,929,tonnes (metric),Canada,"lead, refined",1,Figures relate to both primary and secondary refined lead and include the lead content of antimonial lead,CA,,CAN,Lead,,2015-01-01 00:00:00,-119.677633,"Lead, refined",59.205384,,,81,http://resource.geosciml.org/classifier/cgi/commodity-code/lead
-119.677633,59.205383999999995,Production of lithium minerals,0,Production,707,tonnes (metric),Canada,lithium minerals,1,"In addition to the countries listed, Russia has also produced lithium minerals in the past.",CA,Carbonate,CAN,Lithium,,2015-01-01 00:00:00,-119.677633,Lithium,59.205384,Carbonate,,84,http://resource.geosciml.org/classifier/cgi/commodity-code/lithium
-119.677633,59.205383999999995,Mine production of gold,162504,Production,883,kilograms,Canada,"gold, mine",1|3,"In addition to the countries listed, Cambodia, El Salvador, Haiti, Macedonia, Malawi, Pakistan, Paraguay and Portugal may produce gold.|In several countries substantial amounts of gold produced in small and/or artisanal operations are not recorded in the official statistics. Estimates have been added where possible but these have varying degrees of uncertainty.",CA,,CAN,Gold,,2015-01-01 00:00:00,-119.677633,"Gold (mine production, metal production)",59.205384,Ores and concentrates (metal content),,57,http://resource.geosciml.org/classifier/cgi/commodity-code/gold
-119.677633,59.205383999999995,Production of magnesite,150000,Production,712,tonnes (metric),Canada,magnesite,1,"In addition to the countries listed, Bulgaria is believed to produce magnesite",CA,,CAN,Magnesite,Estimates.|Officially described as magnesitic dolomite and brucite.,2015-01-01 00:00:00,-119.677633,Magnesite and magnesia,59.205384,Magnesite,*|b,87,http://resource.geosciml.org/classifier/cgi/commodity-code/magnesite
-119.677633,59.205383999999995,Refinery production of indium,70,Production,20243,tonnes (metric),Canada,"indium, refinery",1,"In addition to the countries listed, Kazakhstan is believed to produce small quantities of indium",CA,,CAN,Indium,Estimates.,2015-01-01 00:00:00,-119.677633,"Indium, refined",59.205384,,*,738,http://resource.geosciml.org/classifier/cgi/commodity-code/indium
-119.677633,59.205383999999995,Production of salt,974035,Production,934,tonnes (metric),Canada,salt,1|2,Salt is known to be produced in many countries for which statistics are not available.|This table does not include production of refined salt,CA,Other salt,CAN,Salt,Including salt in brine.,2015-01-01 00:00:00,-119.677633,Salt,59.205384,Other salt,e,122,http://resource.geosciml.org/classifier/cgi/commodity-code/salt
-119.677633,59.205383999999995,Production of coal,61931000,Production,613,tonnes (metric),Canada,coal,1|2|3,"Data for coking coal is not always distinguished from other types of bituminous coal. The term ""bituminous"" in this table may include coking coal where the latter is not separately shown.|There is no international agreement as to the separate definition of lignite and brown coal. In some cases they are distinguished. Elsewhere both may be aggregated under one or other term|Where no sub-commodity is shown the figures relate to all ranks of coal.",CA,Coal,CAN,,,2015-01-01 00:00:00,-119.677633,,59.205384,,,33,
-119.677633,59.205383999999995,Mine production of molybdenum,1983,Production,903,tonnes (metal content),Canada,"molybdenum, mine",1,"In addition to the countries listed, Australia, Georgia, India, Democratic P.R. of Korea, Romania and Tajikistan are believed to produce molybdenum",CA,,CAN,Molybdenum,,2015-01-01 00:00:00,-119.677633,"Molybdenum (mine production, metal content)",59.205384,Ores and concentrates (metal content),,99,http://resource.geosciml.org/classifier/cgi/commodity-code/molybdenum
-119.677633,59.205383999999995,Production of tantalum and niobium minerals,11600,Production,966,tonnes (metric),Canada,tantalum and niobium minerals,1|2|3|4,"Niobium and tantalum minerals are also believed to be produced in Namibia and South Africa.|Tantalum is also recovered from tin slags and this is believed to have accounted for approximately 20% of raw material supplied.|The figures in this table include artisanal mining, where data are available|The figures in this table refer to gross tonnage of tantalum and niobium concentrates, except where noted",CA,Pyrochlore,CAN,Tantalum and niobium,Estimates.,2015-01-01 00:00:00,-119.677633,Pyrochlore,59.205384,,*,137,http://www.opengis.net/def/nil/ogc/0/missing
