"","Scenario","Region","Variable","Type","Year","Value"
"3883","Global Net-zero","Saskatchewan","Uranium","Primary Fuel",2035,5045.184516
"3884","Canada Net-zero","Saskatchewan","Wind","Primary Fuel",2035,17252.36817
"3885","Current Measures","Saskatchewan","Wind","Primary Fuel",2035,12198.48331
"3886","Global Net-zero","Saskatchewan","Wind","Primary Fuel",2035,12998.69033
"3887","Canada Net-zero","Yukon","Biomass / Geothermal","Primary Fuel",2035,14.50917727
"3888","Current Measures","Yukon","Biomass / Geothermal","Primary Fuel",2035,27.24049562
"3889","Global Net-zero","Yukon","Biomass / Geothermal","Primary Fuel",2035,9.58597477
"3890","Canada Net-zero","Yukon","Hydro / Wave / Tidal","Primary Fuel",2035,463.7834306
"3891","Current Measures","Yukon","Hydro / Wave / Tidal","Primary Fuel",2035,466.0335989
"3892","Global Net-zero","Yukon","Hydro / Wave / Tidal","Primary Fuel",2035,466.158317
"3893","Canada Net-zero","Yukon","Natural Gas","Primary Fuel",2035,146.5212319
"3894","Current Measures","Yukon","Natural Gas","Primary Fuel",2035,128.4729181
"3895","Global Net-zero","Yukon","Natural Gas","Primary Fuel",2035,145.8905588
"3896","Canada Net-zero","Yukon","Oil","Primary Fuel",2035,88.30055595
"3897","Current Measures","Yukon","Oil","Primary Fuel",2035,22.334277
"3898","Global Net-zero","Yukon","Oil","Primary Fuel",2035,84.5595917
"3899","Canada Net-zero","Yukon","Solar","Primary Fuel",2035,61.675375291
"3900","Current Measures","Yukon","Solar","Primary Fuel",2035,32.594602841
"3901","Global Net-zero","Yukon","Solar","Primary Fuel",2035,61.675375291
"3902","Canada Net-zero","Yukon","Wind","Primary Fuel",2035,51.13600448
"3903","Current Measures","Yukon","Wind","Primary Fuel",2035,14.57229873
"3904","Global Net-zero","Yukon","Wind","Primary Fuel",2035,25.53895297
"3905","Canada Net-zero","Alberta","Biomass / Geothermal","Primary Fuel",2036,7926.7253111
"3906","Current Measures","Alberta","Biomass / Geothermal","Primary Fuel",2036,1036.5307628
"3907","Global Net-zero","Alberta","Biomass / Geothermal","Primary Fuel",2036,8072.78113
"3908","Canada Net-zero","Alberta","Coal & Coke","Primary Fuel",2036,0
"3909","Current Measures","Alberta","Coal & Coke","Primary Fuel",2036,0
"3910","Global Net-zero","Alberta","Coal & Coke","Primary Fuel",2036,0
"3911","Canada Net-zero","Alberta","Hydro / Wave / Tidal","Primary Fuel",2036,1365.344666
"3912","Current Measures","Alberta","Hydro / Wave / Tidal","Primary Fuel",2036,1651.074978
"3913","Global Net-zero","Alberta","Hydro / Wave / Tidal","Primary Fuel",2036,1416.679642
"3914","Canada Net-zero","Alberta","Natural Gas","Primary Fuel",2036,25725.241652
"3915","Current Measures","Alberta","Natural Gas","Primary Fuel",2036,88071.76589
"3916","Global Net-zero","Alberta","Natural Gas","Primary Fuel",2036,25675.408726
"3917","Canada Net-zero","Alberta","Oil","Primary Fuel",2036,0
"3918","Current Measures","Alberta","Oil","Primary Fuel",2036,0
"3919","Global Net-zero","Alberta","Oil","Primary Fuel",2036,0
"3920","Canada Net-zero","Alberta","Solar","Primary Fuel",2036,25651.080277
"3921","Current Measures","Alberta","Solar","Primary Fuel",2036,7384.6820178
"3922","Global Net-zero","Alberta","Solar","Primary Fuel",2036,21752.576177
"3923","Canada Net-zero","Alberta","Uranium","Primary Fuel",2036,5582.852279
"3924","Global Net-zero","Alberta","Uranium","Primary Fuel",2036,0
"3925","Canada Net-zero","Alberta","Wind","Primary Fuel",2036,65352.2925
"3926","Current Measures","Alberta","Wind","Primary Fuel",2036,14174.00682
"3927","Global Net-zero","Alberta","Wind","Primary Fuel",2036,49202.85869
"3928","Canada Net-zero","British Columbia","Biomass / Geothermal","Primary Fuel",2036,3624.704841
"3929","Current Measures","British Columbia","Biomass / Geothermal","Primary Fuel",2036,2611.48939862
"3930","Global Net-zero","British Columbia","Biomass / Geothermal","Primary Fuel",2036,3719.59427013
"3931","Canada Net-zero","British Columbia","Hydro / Wave / Tidal","Primary Fuel",2036,61425.90811
"3932","Current Measures","British Columbia","Hydro / Wave / Tidal","Primary Fuel",2036,64004.02749
"3933","Global Net-zero","British Columbia","Hydro / Wave / Tidal","Primary Fuel",2036,61338.2931
"3934","Canada Net-zero","British Columbia","Natural Gas","Primary Fuel",2036,712.6315553
"3935","Current Measures","British Columbia","Natural Gas","Primary Fuel",2036,9805.099625
"3936","Global Net-zero","British Columbia","Natural Gas","Primary Fuel",2036,838.08791186
"3937","Canada Net-zero","British Columbia","Oil","Primary Fuel",2036,0
"3938","Current Measures","British Columbia","Oil","Primary Fuel",2036,0
"3939","Global Net-zero","British Columbia","Oil","Primary Fuel",2036,0
"3940","Canada Net-zero","British Columbia","Solar","Primary Fuel",2036,6391.09171
"3941","Current Measures","British Columbia","Solar","Primary Fuel",2036,7150.1273399
"3942","Global Net-zero","British Columbia","Solar","Primary Fuel",2036,6544.557803
"3943","Canada Net-zero","British Columbia","Uranium","Primary Fuel",2036,15079.39461
"3944","Global Net-zero","British Columbia","Uranium","Primary Fuel",2036,7442.228629
"3945","Canada Net-zero","British Columbia","Wind","Primary Fuel",2036,11500.44664
"3946","Current Measures","British Columbia","Wind","Primary Fuel",2036,7830.96342
"3947","Global Net-zero","British Columbia","Wind","Primary Fuel",2036,9929.018914
"3948","Canada Net-zero","Manitoba","Biomass / Geothermal","Primary Fuel",2036,46.9844419
"3949","Current Measures","Manitoba","Biomass / Geothermal","Primary Fuel",2036,683.352858
"3950","Global Net-zero","Manitoba","Biomass / Geothermal","Primary Fuel",2036,61.34018276
"3951","Canada Net-zero","Manitoba","Hydro / Wave / Tidal","Primary Fuel",2036,49025.26463
"3952","Current Measures","Manitoba","Hydro / Wave / Tidal","Primary Fuel",2036,36569.73796
"3953","Global Net-zero","Manitoba","Hydro / Wave / Tidal","Primary Fuel",2036,49049.689
"3954","Canada Net-zero","Manitoba","Natural Gas","Primary Fuel",2036,0
"3955","Current Measures","Manitoba","Natural Gas","Primary Fuel",2036,5.07850023
"3956","Global Net-zero","Manitoba","Natural Gas","Primary Fuel",2036,0.063176027
"3957","Canada Net-zero","Manitoba","Oil","Primary Fuel",2036,0
"3958","Current Measures","Manitoba","Oil","Primary Fuel",2036,0.18655
"3959","Global Net-zero","Manitoba","Oil","Primary Fuel",2036,0
"3960","Canada Net-zero","Manitoba","Solar","Primary Fuel",2036,87.449645307
"3961","Current Measures","Manitoba","Solar","Primary Fuel",2036,48.671207207
"3962","Global Net-zero","Manitoba","Solar","Primary Fuel",2036,176.48456885
"3963","Canada Net-zero","Manitoba","Uranium","Primary Fuel",2036,3251.566706
"3964","Global Net-zero","Manitoba","Uranium","Primary Fuel",2036,1429.875116
"3965","Canada Net-zero","Manitoba","Wind","Primary Fuel",2036,1321.667124
"3966","Current Measures","Manitoba","Wind","Primary Fuel",2036,3787.593306
"3967","Global Net-zero","Manitoba","Wind","Primary Fuel",2036,1332.414971
"3968","Canada Net-zero","New Brunswick","Biomass / Geothermal","Primary Fuel",2036,115.4944141
"3969","Current Measures","New Brunswick","Biomass / Geothermal","Primary Fuel",2036,132.8963146
"3970","Global Net-zero","New Brunswick","Biomass / Geothermal","Primary Fuel",2036,152.6858713
"3971","Canada Net-zero","New Brunswick","Coal & Coke","Primary Fuel",2036,0
"3972","Current Measures","New Brunswick","Coal & Coke","Primary Fuel",2036,0
"3973","Global Net-zero","New Brunswick","Coal & Coke","Primary Fuel",2036,0
"3974","Canada Net-zero","New Brunswick","Hydro / Wave / Tidal","Primary Fuel",2036,2384.008148
"3975","Current Measures","New Brunswick","Hydro / Wave / Tidal","Primary Fuel",2036,2700.128117
"3976","Global Net-zero","New Brunswick","Hydro / Wave / Tidal","Primary Fuel",2036,2281.831579
"3977","Canada Net-zero","New Brunswick","Natural Gas","Primary Fuel",2036,0.218657697
"3978","Current Measures","New Brunswick","Natural Gas","Primary Fuel",2036,0.084011315
"3979","Global Net-zero","New Brunswick","Natural Gas","Primary Fuel",2036,0.268000938
"3980","Canada Net-zero","New Brunswick","Oil","Primary Fuel",2036,0
"3981","Current Measures","New Brunswick","Oil","Primary Fuel",2036,0
"3982","Global Net-zero","New Brunswick","Oil","Primary Fuel",2036,0
"3983","Canada Net-zero","New Brunswick","Solar","Primary Fuel",2036,73.25360098
"3984","Current Measures","New Brunswick","Solar","Primary Fuel",2036,66.27462457
"3985","Global Net-zero","New Brunswick","Solar","Primary Fuel",2036,223.32492108
"3986","Canada Net-zero","New Brunswick","Uranium","Primary Fuel",2036,5815.7985516
"3987","Current Measures","New Brunswick","Uranium","Primary Fuel",2036,5298.235955
"3988","Global Net-zero","New Brunswick","Uranium","Primary Fuel",2036,5811.5994132
"3989","Canada Net-zero","New Brunswick","Wind","Primary Fuel",2036,7073.522565
"3990","Current Measures","New Brunswick","Wind","Primary Fuel",2036,7573.447264
"3991","Global Net-zero","New Brunswick","Wind","Primary Fuel",2036,7471.577004
"3992","Canada Net-zero","Newfoundland and Labrador","Hydro / Wave / Tidal","Primary Fuel",2036,45839.93336
"3993","Current Measures","Newfoundland and Labrador","Hydro / Wave / Tidal","Primary Fuel",2036,45144.2298
"3994","Global Net-zero","Newfoundland and Labrador","Hydro / Wave / Tidal","Primary Fuel",2036,45775.40277
"3995","Canada Net-zero","Newfoundland and Labrador","Natural Gas","Primary Fuel",2036,0
"3996","Current Measures","Newfoundland and Labrador","Natural Gas","Primary Fuel",2036,0
"3997","Global Net-zero","Newfoundland and Labrador","Natural Gas","Primary Fuel",2036,0
"3998","Canada Net-zero","Newfoundland and Labrador","Oil","Primary Fuel",2036,0
"3999","Current Measures","Newfoundland and Labrador","Oil","Primary Fuel",2036,0
"4000","Global Net-zero","Newfoundland and Labrador","Oil","Primary Fuel",2036,0
"4001","Canada Net-zero","Newfoundland and Labrador","Solar","Primary Fuel",2036,14.962656847
"4002","Current Measures","Newfoundland and Labrador","Solar","Primary Fuel",2036,9.215249119
"4003","Global Net-zero","Newfoundland and Labrador","Solar","Primary Fuel",2036,14.962656847
"4004","Canada Net-zero","Newfoundland and Labrador","Wind","Primary Fuel",2036,194.4986979
"4005","Current Measures","Newfoundland and Labrador","Wind","Primary Fuel",2036,194.4986979
"4006","Global Net-zero","Newfoundland and Labrador","Wind","Primary Fuel",2036,194.4986979
"4007","Canada Net-zero","Nova Scotia","Biomass / Geothermal","Primary Fuel",2036,45.8067226
"4008","Current Measures","Nova Scotia","Biomass / Geothermal","Primary Fuel",2036,348.7537783
"4009","Global Net-zero","Nova Scotia","Biomass / Geothermal","Primary Fuel",2036,60.31793635
"4010","Canada Net-zero","Nova Scotia","Coal & Coke","Primary Fuel",2036,0
"4011","Current Measures","Nova Scotia","Coal & Coke","Primary Fuel",2036,0
"4012","Global Net-zero","Nova Scotia","Coal & Coke","Primary Fuel",2036,0
"4013","Canada Net-zero","Nova Scotia","Hydro / Wave / Tidal","Primary Fuel",2036,268.7906991
"4014","Current Measures","Nova Scotia","Hydro / Wave / Tidal","Primary Fuel",2036,987.5732758
"4015","Global Net-zero","Nova Scotia","Hydro / Wave / Tidal","Primary Fuel",2036,259.938428
"4016","Canada Net-zero","Nova Scotia","Natural Gas","Primary Fuel",2036,30.03190166
"4017","Current Measures","Nova Scotia","Natural Gas","Primary Fuel",2036,5620.657556
"4018","Global Net-zero","Nova Scotia","Natural Gas","Primary Fuel",2036,19.41623926
"4019","Canada Net-zero","Nova Scotia","Oil","Primary Fuel",2036,0
"4020","Current Measures","Nova Scotia","Oil","Primary Fuel",2036,0
"4021","Global Net-zero","Nova Scotia","Oil","Primary Fuel",2036,0
"4022","Canada Net-zero","Nova Scotia","Solar","Primary Fuel",2036,17.774374837
"4023","Current Measures","Nova Scotia","Solar","Primary Fuel",2036,11.145538857
"4024","Global Net-zero","Nova Scotia","Solar","Primary Fuel",2036,98.73158056
"4025","Canada Net-zero","Nova Scotia","Wind","Primary Fuel",2036,21864.088617
"4026","Current Measures","Nova Scotia","Wind","Primary Fuel",2036,3319.80943
"4027","Global Net-zero","Nova Scotia","Wind","Primary Fuel",2036,21712.096105
"4028","Canada Net-zero","Northwest Territories","Hydro / Wave / Tidal","Primary Fuel",2036,597.7108692
"4029","Current Measures","Northwest Territories","Hydro / Wave / Tidal","Primary Fuel",2036,323.4137273
"4030","Global Net-zero","Northwest Territories","Hydro / Wave / Tidal","Primary Fuel",2036,468.637098
"4031","Canada Net-zero","Northwest Territories","Natural Gas","Primary Fuel",2036,36.29613637
"4032","Current Measures","Northwest Territories","Natural Gas","Primary Fuel",2036,0
"4033","Global Net-zero","Northwest Territories","Natural Gas","Primary Fuel",2036,5.418797646
"4034","Canada Net-zero","Northwest Territories","Oil","Primary Fuel",2036,13.9381294
"4035","Current Measures","Northwest Territories","Oil","Primary Fuel",2036,11.24596536
"4036","Global Net-zero","Northwest Territories","Oil","Primary Fuel",2036,5.51254536
"4037","Canada Net-zero","Northwest Territories","Solar","Primary Fuel",2036,61.69229574
"4038","Current Measures","Northwest Territories","Solar","Primary Fuel",2036,3.214393287
"4039","Global Net-zero","Northwest Territories","Solar","Primary Fuel",2036,3.690348405
"4040","Canada Net-zero","Northwest Territories","Wind","Primary Fuel",2036,47.04553527
"4041","Current Measures","Northwest Territories","Wind","Primary Fuel",2036,18.09170425
"4042","Global Net-zero","Northwest Territories","Wind","Primary Fuel",2036,24.0221256
"4043","Current Measures","Nunavut","Biomass / Geothermal","Primary Fuel",2036,126.4556969
"4044","Canada Net-zero","Nunavut","Oil","Primary Fuel",2036,241.6783995
"4045","Current Measures","Nunavut","Oil","Primary Fuel",2036,75.41973232
"4046","Global Net-zero","Nunavut","Oil","Primary Fuel",2036,234.0545584
"4047","Canada Net-zero","Nunavut","Solar","Primary Fuel",2036,44.033494146
"4048","Current Measures","Nunavut","Solar","Primary Fuel",2036,42.153636228
"4049","Global Net-zero","Nunavut","Solar","Primary Fuel",2036,44.466064956
"4050","Canada Net-zero","Nunavut","Wind","Primary Fuel",2036,90.11763956
"4051","Current Measures","Nunavut","Wind","Primary Fuel",2036,86.83369412
"4052","Global Net-zero","Nunavut","Wind","Primary Fuel",2036,89.04991062
"4053","Canada Net-zero","Ontario","Biomass / Geothermal","Primary Fuel",2036,1866.9612256
"4054","Current Measures","Ontario","Biomass / Geothermal","Primary Fuel",2036,1900.188194
"4055","Global Net-zero","Ontario","Biomass / Geothermal","Primary Fuel",2036,2455.3140793
"4056","Canada Net-zero","Ontario","Hydro / Wave / Tidal","Primary Fuel",2036,41567.31157
"4057","Current Measures","Ontario","Hydro / Wave / Tidal","Primary Fuel",2036,37606.18225
"4058","Global Net-zero","Ontario","Hydro / Wave / Tidal","Primary Fuel",2036,41822.46706
"4059","Canada Net-zero","Ontario","Natural Gas","Primary Fuel",2036,5592.401214
"4060","Current Measures","Ontario","Natural Gas","Primary Fuel",2036,14994.07128
"4061","Global Net-zero","Ontario","Natural Gas","Primary Fuel",2036,9858.686011
"4062","Canada Net-zero","Ontario","Oil","Primary Fuel",2036,0
"4063","Current Measures","Ontario","Oil","Primary Fuel",2036,0
"4064","Global Net-zero","Ontario","Oil","Primary Fuel",2036,0
"4065","Canada Net-zero","Ontario","Solar","Primary Fuel",2036,9797.847822
"4066","Current Measures","Ontario","Solar","Primary Fuel",2036,8713.323652
"4067","Global Net-zero","Ontario","Solar","Primary Fuel",2036,11404.124958
"4068","Canada Net-zero","Ontario","Uranium","Primary Fuel",2036,137433.50942
"4069","Current Measures","Ontario","Uranium","Primary Fuel",2036,84724.790805
"4070","Global Net-zero","Ontario","Uranium","Primary Fuel",2036,125305.45389
"4071","Canada Net-zero","Ontario","Wind","Primary Fuel",2036,74650.81655
"4072","Current Measures","Ontario","Wind","Primary Fuel",2036,39797.84326
"4073","Global Net-zero","Ontario","Wind","Primary Fuel",2036,71329.70404
"4074","Canada Net-zero","Prince Edward Island","Biomass / Geothermal","Primary Fuel",2036,3.1437
"4075","Current Measures","Prince Edward Island","Biomass / Geothermal","Primary Fuel",2036,8.967
"4076","Global Net-zero","Prince Edward Island","Biomass / Geothermal","Primary Fuel",2036,4.6473
"4077","Canada Net-zero","Prince Edward Island","Oil","Primary Fuel",2036,0.055
"4078","Current Measures","Prince Edward Island","Oil","Primary Fuel",2036,0.223748379
"4079","Global Net-zero","Prince Edward Island","Oil","Primary Fuel",2036,56.98632056
"4080","Canada Net-zero","Prince Edward Island","Solar","Primary Fuel",2036,100.820247461
"4081","Current Measures","Prince Edward Island","Solar","Primary Fuel",2036,2.712149636
"4082","Global Net-zero","Prince Edward Island","Solar","Primary Fuel",2036,110.780600881
"4083","Canada Net-zero","Prince Edward Island","Uranium","Primary Fuel",2036,888.9956102
"4084","Global Net-zero","Prince Edward Island","Uranium","Primary Fuel",2036,761.2981947
"4085","Canada Net-zero","Prince Edward Island","Wind","Primary Fuel",2036,1539.877063
"4086","Current Measures","Prince Edward Island","Wind","Primary Fuel",2036,2256.119355
"4087","Global Net-zero","Prince Edward Island","Wind","Primary Fuel",2036,1338.582908
"4088","Canada Net-zero","Quebec","Biomass / Geothermal","Primary Fuel",2036,1549.87262135
"4089","Current Measures","Quebec","Biomass / Geothermal","Primary Fuel",2036,11013.31745
"4090","Global Net-zero","Quebec","Biomass / Geothermal","Primary Fuel",2036,1657.77655357
"4091","Canada Net-zero","Quebec","Hydro / Wave / Tidal","Primary Fuel",2036,262190.0995
"4092","Current Measures","Quebec","Hydro / Wave / Tidal","Primary Fuel",2036,245543.7226
"4093","Global Net-zero","Quebec","Hydro / Wave / Tidal","Primary Fuel",2036,260551.3353
"4094","Canada Net-zero","Quebec","Natural Gas","Primary Fuel",2036,0
"4095","Current Measures","Quebec","Natural Gas","Primary Fuel",2036,0
"4096","Global Net-zero","Quebec","Natural Gas","Primary Fuel",2036,0
"4097","Canada Net-zero","Quebec","Oil","Primary Fuel",2036,322.2398766
"4098","Current Measures","Quebec","Oil","Primary Fuel",2036,320.616
"4099","Global Net-zero","Quebec","Oil","Primary Fuel",2036,322.251685
"4100","Canada Net-zero","Quebec","Solar","Primary Fuel",2036,408.316184085
"4101","Current Measures","Quebec","Solar","Primary Fuel",2036,210.184242485
"4102","Global Net-zero","Quebec","Solar","Primary Fuel",2036,668.4854196
"4103","Canada Net-zero","Quebec","Uranium","Primary Fuel",2036,3388.064457
"4104","Global Net-zero","Quebec","Uranium","Primary Fuel",2036,1229.130658
"4105","Canada Net-zero","Quebec","Wind","Primary Fuel",2036,20099.01958
"4106","Current Measures","Quebec","Wind","Primary Fuel",2036,29935.83539
"4107","Global Net-zero","Quebec","Wind","Primary Fuel",2036,16166.65052
"4108","Canada Net-zero","Saskatchewan","Biomass / Geothermal","Primary Fuel",2036,5546.7180588
"4109","Current Measures","Saskatchewan","Biomass / Geothermal","Primary Fuel",2036,279.6716775
"4110","Global Net-zero","Saskatchewan","Biomass / Geothermal","Primary Fuel",2036,5600.1335719
"4111","Canada Net-zero","Saskatchewan","Coal & Coke","Primary Fuel",2036,0
"4112","Current Measures","Saskatchewan","Coal & Coke","Primary Fuel",2036,654.81
"4113","Global Net-zero","Saskatchewan","Coal & Coke","Primary Fuel",2036,0
"4114","Canada Net-zero","Saskatchewan","Hydro / Wave / Tidal","Primary Fuel",2036,3837.473381
"4115","Current Measures","Saskatchewan","Hydro / Wave / Tidal","Primary Fuel",2036,4209.742171
"4116","Global Net-zero","Saskatchewan","Hydro / Wave / Tidal","Primary Fuel",2036,3990.324694
"4117","Canada Net-zero","Saskatchewan","Natural Gas","Primary Fuel",2036,740.7777956
"4118","Current Measures","Saskatchewan","Natural Gas","Primary Fuel",2036,11185.55976
"4119","Global Net-zero","Saskatchewan","Natural Gas","Primary Fuel",2036,3954.1318833
"4120","Canada Net-zero","Saskatchewan","Oil","Primary Fuel",2036,0
"4121","Current Measures","Saskatchewan","Oil","Primary Fuel",2036,0
"4122","Global Net-zero","Saskatchewan","Oil","Primary Fuel",2036,0
"4123","Canada Net-zero","Saskatchewan","Solar","Primary Fuel",2036,3111.4006004
"4124","Current Measures","Saskatchewan","Solar","Primary Fuel",2036,2426.9355948
"4125","Global Net-zero","Saskatchewan","Solar","Primary Fuel",2036,1665.4450154
"4126","Canada Net-zero","Saskatchewan","Uranium","Primary Fuel",2036,6377.107813
"4127","Global Net-zero","Saskatchewan","Uranium","Primary Fuel",2036,5422.457756
"4128","Canada Net-zero","Saskatchewan","Wind","Primary Fuel",2036,17631.43709
"4129","Current Measures","Saskatchewan","Wind","Primary Fuel",2036,12562.84485
"4130","Global Net-zero","Saskatchewan","Wind","Primary Fuel",2036,13016.77807
"4131","Canada Net-zero","Yukon","Biomass / Geothermal","Primary Fuel",2036,5.731228683
"4132","Current Measures","Yukon","Biomass / Geothermal","Primary Fuel",2036,5.38932157
"4133","Global Net-zero","Yukon","Biomass / Geothermal","Primary Fuel",2036,2.412845564
"4134","Canada Net-zero","Yukon","Hydro / Wave / Tidal","Primary Fuel",2036,458.9264705
"4135","Current Measures","Yukon","Hydro / Wave / Tidal","Primary Fuel",2036,454.9019523
"4136","Global Net-zero","Yukon","Hydro / Wave / Tidal","Primary Fuel",2036,462.7955411
"4137","Canada Net-zero","Yukon","Natural Gas","Primary Fuel",2036,107.5074912
"4138","Current Measures","Yukon","Natural Gas","Primary Fuel",2036,63.03246571
"4139","Global Net-zero","Yukon","Natural Gas","Primary Fuel",2036,104.2962833
"4140","Canada Net-zero","Yukon","Oil","Primary Fuel",2036,55.74203396
"4141","Current Measures","Yukon","Oil","Primary Fuel",2036,22.334277
"4142","Global Net-zero","Yukon","Oil","Primary Fuel",2036,52.13883113
"4143","Canada Net-zero","Yukon","Solar","Primary Fuel",2036,61.648063418
"4144","Current Measures","Yukon","Solar","Primary Fuel",2036,32.570444939
"4145","Global Net-zero","Yukon","Solar","Primary Fuel",2036,61.648063418
"4146","Canada Net-zero","Yukon","Wind","Primary Fuel",2036,51.13600448
"4147","Current Measures","Yukon","Wind","Primary Fuel",2036,14.57229873
"4148","Global Net-zero","Yukon","Wind","Primary Fuel",2036,25.53895297
"4149","Canada Net-zero","Alberta","Biomass / Geothermal","Primary Fuel",2037,9043.4913115
"4150","Current Measures","Alberta","Biomass / Geothermal","Primary Fuel",2037,926.8597134
"4151","Global Net-zero","Alberta","Biomass / Geothermal","Primary Fuel",2037,9156.8416943
"4152","Canada Net-zero","Alberta","Coal & Coke","Primary Fuel",2037,0
"4153","Current Measures","Alberta","Coal & Coke","Primary Fuel",2037,0
"4154","Global Net-zero","Alberta","Coal & Coke","Primary Fuel",2037,0
"4155","Canada Net-zero","Alberta","Hydro / Wave / Tidal","Primary Fuel",2037,1367.364594
"4156","Current Measures","Alberta","Hydro / Wave / Tidal","Primary Fuel",2037,1651.074978
"4157","Global Net-zero","Alberta","Hydro / Wave / Tidal","Primary Fuel",2037,1400.468784
"4158","Canada Net-zero","Alberta","Natural Gas","Primary Fuel",2037,25118.778721
"4159","Current Measures","Alberta","Natural Gas","Primary Fuel",2037,88468.68271
"4160","Global Net-zero","Alberta","Natural Gas","Primary Fuel",2037,24570.348149
"4161","Canada Net-zero","Alberta","Oil","Primary Fuel",2037,0
"4162","Current Measures","Alberta","Oil","Primary Fuel",2037,0
"4163","Global Net-zero","Alberta","Oil","Primary Fuel",2037,0
"4164","Canada Net-zero","Alberta","Solar","Primary Fuel",2037,25856.550622
"4165","Current Measures","Alberta","Solar","Primary Fuel",2037,7460.24278
"4166","Global Net-zero","Alberta","Solar","Primary Fuel",2037,21828.225262
"4167","Canada Net-zero","Alberta","Uranium","Primary Fuel",2037,7917.375428
"4168","Global Net-zero","Alberta","Uranium","Primary Fuel",2037,0
"4169","Canada Net-zero","Alberta","Wind","Primary Fuel",2037,65358.26088
"4170","Current Measures","Alberta","Wind","Primary Fuel",2037,14174.00682
"4171","Global Net-zero","Alberta","Wind","Primary Fuel",2037,49183.00724
"4172","Canada Net-zero","British Columbia","Biomass / Geothermal","Primary Fuel",2037,3602.370795
"4173","Current Measures","British Columbia","Biomass / Geothermal","Primary Fuel",2037,2631.17026434
"4174","Global Net-zero","British Columbia","Biomass / Geothermal","Primary Fuel",2037,3597.392358
"4175","Canada Net-zero","British Columbia","Hydro / Wave / Tidal","Primary Fuel",2037,61275.54317
"4176","Current Measures","British Columbia","Hydro / Wave / Tidal","Primary Fuel",2037,64004.02749
"4177","Global Net-zero","British Columbia","Hydro / Wave / Tidal","Primary Fuel",2037,61190.01794
"4178","Canada Net-zero","British Columbia","Natural Gas","Primary Fuel",2037,772.8196052
"4179","Current Measures","British Columbia","Natural Gas","Primary Fuel",2037,9793.728375
"4180","Global Net-zero","British Columbia","Natural Gas","Primary Fuel",2037,825.4051909
"4181","Canada Net-zero","British Columbia","Oil","Primary Fuel",2037,0
"4182","Current Measures","British Columbia","Oil","Primary Fuel",2037,0
"4183","Global Net-zero","British Columbia","Oil","Primary Fuel",2037,0
"4184","Canada Net-zero","British Columbia","Solar","Primary Fuel",2037,7004.992601
"4185","Current Measures","British Columbia","Solar","Primary Fuel",2037,7331.5269108
"4186","Global Net-zero","British Columbia","Solar","Primary Fuel",2037,6799.389788
"4187","Canada Net-zero","British Columbia","Uranium","Primary Fuel",2037,14896.1185
"4188","Global Net-zero","British Columbia","Uranium","Primary Fuel",2037,9196.075527
"4189","Canada Net-zero","British Columbia","Wind","Primary Fuel",2037,13754.46384
"4190","Current Measures","British Columbia","Wind","Primary Fuel",2037,9739.156337
"4191","Global Net-zero","British Columbia","Wind","Primary Fuel",2037,11631.9582
"4192","Canada Net-zero","Manitoba","Biomass / Geothermal","Primary Fuel",2037,46.32195639
"4193","Current Measures","Manitoba","Biomass / Geothermal","Primary Fuel",2037,757.6875196
"4194","Global Net-zero","Manitoba","Biomass / Geothermal","Primary Fuel",2037,58.00296823
"4195","Canada Net-zero","Manitoba","Hydro / Wave / Tidal","Primary Fuel",2037,49306.26967
"4196","Current Measures","Manitoba","Hydro / Wave / Tidal","Primary Fuel",2037,36415.05887
"4197","Global Net-zero","Manitoba","Hydro / Wave / Tidal","Primary Fuel",2037,49391.73493
"4198","Canada Net-zero","Manitoba","Natural Gas","Primary Fuel",2037,0
"4199","Current Measures","Manitoba","Natural Gas","Primary Fuel",2037,3.908260215
"4200","Global Net-zero","Manitoba","Natural Gas","Primary Fuel",2037,0
"4201","Canada Net-zero","Manitoba","Oil","Primary Fuel",2037,0
"4202","Current Measures","Manitoba","Oil","Primary Fuel",2037,0.18655
"4203","Global Net-zero","Manitoba","Oil","Primary Fuel",2037,0
"4204","Canada Net-zero","Manitoba","Solar","Primary Fuel",2037,90.432602077
"4205","Current Measures","Manitoba","Solar","Primary Fuel",2037,50.162685597
"4206","Global Net-zero","Manitoba","Solar","Primary Fuel",2037,179.46752562
"4207","Canada Net-zero","Manitoba","Uranium","Primary Fuel",2037,4375.181265
"4208","Global Net-zero","Manitoba","Uranium","Primary Fuel",2037,2412.210571
"4209","Canada Net-zero","Manitoba","Wind","Primary Fuel",2037,1335.87192
"4210","Current Measures","Manitoba","Wind","Primary Fuel",2037,4098.933919
"4211","Global Net-zero","Manitoba","Wind","Primary Fuel",2037,1343.593248
"4212","Canada Net-zero","New Brunswick","Biomass / Geothermal","Primary Fuel",2037,109.5732182
"4213","Current Measures","New Brunswick","Biomass / Geothermal","Primary Fuel",2037,120.7150864
"4214","Global Net-zero","New Brunswick","Biomass / Geothermal","Primary Fuel",2037,140.187684
"4215","Canada Net-zero","New Brunswick","Coal & Coke","Primary Fuel",2037,0
"4216","Current Measures","New Brunswick","Coal & Coke","Primary Fuel",2037,0
"4217","Global Net-zero","New Brunswick","Coal & Coke","Primary Fuel",2037,0
"4218","Canada Net-zero","New Brunswick","Hydro / Wave / Tidal","Primary Fuel",2037,2428.304187
