"","Scenario","Region","Variable","Type","Year","Value"
"36","Canada Net-zero","British Columbia","Solar","Primary Fuel",2020,26.837610864
"37","Current Measures","British Columbia","Solar","Primary Fuel",2020,26.837610864
"38","Global Net-zero","British Columbia","Solar","Primary Fuel",2020,26.837610864
"39","Canada Net-zero","British Columbia","Uranium","Primary Fuel",2020,0
"40","Global Net-zero","British Columbia","Uranium","Primary Fuel",2020,0
"41","Canada Net-zero","British Columbia","Wind","Primary Fuel",2020,3008.283925
"42","Current Measures","British Columbia","Wind","Primary Fuel",2020,3008.283925
"43","Global Net-zero","British Columbia","Wind","Primary Fuel",2020,3008.283925
"44","Canada Net-zero","Manitoba","Biomass / Geothermal","Primary Fuel",2020,79.9
"45","Current Measures","Manitoba","Biomass / Geothermal","Primary Fuel",2020,79.9
"46","Global Net-zero","Manitoba","Biomass / Geothermal","Primary Fuel",2020,79.9
"47","Canada Net-zero","Manitoba","Hydro / Wave / Tidal","Primary Fuel",2020,36141.96449
"48","Current Measures","Manitoba","Hydro / Wave / Tidal","Primary Fuel",2020,36141.96449
"49","Global Net-zero","Manitoba","Hydro / Wave / Tidal","Primary Fuel",2020,36141.96449
"50","Canada Net-zero","Manitoba","Natural Gas","Primary Fuel",2020,20.92594074
"51","Current Measures","Manitoba","Natural Gas","Primary Fuel",2020,20.92594074
"52","Global Net-zero","Manitoba","Natural Gas","Primary Fuel",2020,20.92594074
"53","Canada Net-zero","Manitoba","Oil","Primary Fuel",2020,16.412669
"54","Current Measures","Manitoba","Oil","Primary Fuel",2020,16.412669
"55","Global Net-zero","Manitoba","Oil","Primary Fuel",2020,16.412669
"56","Canada Net-zero","Manitoba","Solar","Primary Fuel",2020,8.350161058
"57","Current Measures","Manitoba","Solar","Primary Fuel",2020,8.350161058
"58","Global Net-zero","Manitoba","Solar","Primary Fuel",2020,8.350161058
"59","Canada Net-zero","Manitoba","Uranium","Primary Fuel",2020,0
"60","Global Net-zero","Manitoba","Uranium","Primary Fuel",2020,0
"61","Canada Net-zero","Manitoba","Wind","Primary Fuel",2020,938.8527109
"62","Current Measures","Manitoba","Wind","Primary Fuel",2020,938.8527109
"63","Global Net-zero","Manitoba","Wind","Primary Fuel",2020,938.8527109
"64","Canada Net-zero","New Brunswick","Biomass / Geothermal","Primary Fuel",2020,561.5496
"65","Current Measures","New Brunswick","Biomass / Geothermal","Primary Fuel",2020,561.5496
"66","Global Net-zero","New Brunswick","Biomass / Geothermal","Primary Fuel",2020,561.5496
"67","Canada Net-zero","New Brunswick","Coal & Coke","Primary Fuel",2020,1171.178491
"68","Current Measures","New Brunswick","Coal & Coke","Primary Fuel",2020,1171.178491
"69","Global Net-zero","New Brunswick","Coal & Coke","Primary Fuel",2020,1171.178491
"70","Canada Net-zero","New Brunswick","Hydro / Wave / Tidal","Primary Fuel",2020,2571.990183
"71","Current Measures","New Brunswick","Hydro / Wave / Tidal","Primary Fuel",2020,2571.990183
"72","Global Net-zero","New Brunswick","Hydro / Wave / Tidal","Primary Fuel",2020,2571.990183
"73","Canada Net-zero","New Brunswick","Natural Gas","Primary Fuel",2020,1347.390962
"74","Current Measures","New Brunswick","Natural Gas","Primary Fuel",2020,1347.390962
"75","Global Net-zero","New Brunswick","Natural Gas","Primary Fuel",2020,1347.390962
"76","Canada Net-zero","New Brunswick","Oil","Primary Fuel",2020,40.706376069
"77","Current Measures","New Brunswick","Oil","Primary Fuel",2020,40.706376069
"78","Global Net-zero","New Brunswick","Oil","Primary Fuel",2020,40.706376069
"79","Canada Net-zero","New Brunswick","Solar","Primary Fuel",2020,1.654297376
"80","Current Measures","New Brunswick","Solar","Primary Fuel",2020,1.654297376
"81","Global Net-zero","New Brunswick","Solar","Primary Fuel",2020,1.654297376
"82","Canada Net-zero","New Brunswick","Uranium","Primary Fuel",2020,4800.479073
"83","Current Measures","New Brunswick","Uranium","Primary Fuel",2020,4800.479073
"84","Global Net-zero","New Brunswick","Uranium","Primary Fuel",2020,4800.479073
"85","Canada Net-zero","New Brunswick","Wind","Primary Fuel",2020,903.0197142
"86","Current Measures","New Brunswick","Wind","Primary Fuel",2020,903.0197142
"87","Global Net-zero","New Brunswick","Wind","Primary Fuel",2020,903.0197142
"88","Canada Net-zero","Newfoundland and Labrador","Hydro / Wave / Tidal","Primary Fuel",2020,38146.82799
"89","Current Measures","Newfoundland and Labrador","Hydro / Wave / Tidal","Primary Fuel",2020,38146.82799
"90","Global Net-zero","Newfoundland and Labrador","Hydro / Wave / Tidal","Primary Fuel",2020,38146.82799
"91","Canada Net-zero","Newfoundland and Labrador","Natural Gas","Primary Fuel",2020,250.4058561
"92","Current Measures","Newfoundland and Labrador","Natural Gas","Primary Fuel",2020,250.4058561
"93","Global Net-zero","Newfoundland and Labrador","Natural Gas","Primary Fuel",2020,250.4058561
"94","Canada Net-zero","Newfoundland and Labrador","Oil","Primary Fuel",2020,868.53145
"95","Current Measures","Newfoundland and Labrador","Oil","Primary Fuel",2020,868.53145
"96","Global Net-zero","Newfoundland and Labrador","Oil","Primary Fuel",2020,868.53145
"97","Canada Net-zero","Newfoundland and Labrador","Solar","Primary Fuel",2020,1.168878293
"98","Current Measures","Newfoundland and Labrador","Solar","Primary Fuel",2020,1.168878293
"99","Global Net-zero","Newfoundland and Labrador","Solar","Primary Fuel",2020,1.168878293
"100","Canada Net-zero","Newfoundland and Labrador","Wind","Primary Fuel",2020,194.4986979
"101","Current Measures","Newfoundland and Labrador","Wind","Primary Fuel",2020,194.4986979
"102","Global Net-zero","Newfoundland and Labrador","Wind","Primary Fuel",2020,194.4986979
"103","Canada Net-zero","Nova Scotia","Biomass / Geothermal","Primary Fuel",2020,259.3270938
"104","Current Measures","Nova Scotia","Biomass / Geothermal","Primary Fuel",2020,259.3270938
"105","Global Net-zero","Nova Scotia","Biomass / Geothermal","Primary Fuel",2020,259.3270938
"106","Canada Net-zero","Nova Scotia","Coal & Coke","Primary Fuel",2020,4432.635651097
"107","Current Measures","Nova Scotia","Coal & Coke","Primary Fuel",2020,4432.635651097
"108","Global Net-zero","Nova Scotia","Coal & Coke","Primary Fuel",2020,4432.635651097
"109","Canada Net-zero","Nova Scotia","Hydro / Wave / Tidal","Primary Fuel",2020,756.1396111
"110","Current Measures","Nova Scotia","Hydro / Wave / Tidal","Primary Fuel",2020,756.1396111
"111","Global Net-zero","Nova Scotia","Hydro / Wave / Tidal","Primary Fuel",2020,756.1396111
"112","Canada Net-zero","Nova Scotia","Natural Gas","Primary Fuel",2020,1663.491806
"113","Current Measures","Nova Scotia","Natural Gas","Primary Fuel",2020,1663.491806
"114","Global Net-zero","Nova Scotia","Natural Gas","Primary Fuel",2020,1663.491806
"115","Canada Net-zero","Nova Scotia","Oil","Primary Fuel",2020,35
"116","Current Measures","Nova Scotia","Oil","Primary Fuel",2020,35
"117","Global Net-zero","Nova Scotia","Oil","Primary Fuel",2020,35
"118","Canada Net-zero","Nova Scotia","Solar","Primary Fuel",2020,1.865168501
"119","Current Measures","Nova Scotia","Solar","Primary Fuel",2020,1.865168501
"120","Global Net-zero","Nova Scotia","Solar","Primary Fuel",2020,1.865168501
"121","Canada Net-zero","Nova Scotia","Wind","Primary Fuel",2020,925.4455625
"122","Current Measures","Nova Scotia","Wind","Primary Fuel",2020,925.4455625
"123","Global Net-zero","Nova Scotia","Wind","Primary Fuel",2020,925.4455625
"124","Canada Net-zero","Northwest Territories","Hydro / Wave / Tidal","Primary Fuel",2020,247.6397345
"125","Current Measures","Northwest Territories","Hydro / Wave / Tidal","Primary Fuel",2020,247.6397345
"126","Global Net-zero","Northwest Territories","Hydro / Wave / Tidal","Primary Fuel",2020,247.6397345
"127","Canada Net-zero","Northwest Territories","Natural Gas","Primary Fuel",2020,80.17787354
"128","Current Measures","Northwest Territories","Natural Gas","Primary Fuel",2020,80.17787354
"129","Global Net-zero","Northwest Territories","Natural Gas","Primary Fuel",2020,80.17787354
"130","Canada Net-zero","Northwest Territories","Oil","Primary Fuel",2020,35.09370547
"131","Current Measures","Northwest Territories","Oil","Primary Fuel",2020,35.09370547
"132","Global Net-zero","Northwest Territories","Oil","Primary Fuel",2020,35.09370547
"133","Canada Net-zero","Northwest Territories","Solar","Primary Fuel",2020,1.778611344
"134","Current Measures","Northwest Territories","Solar","Primary Fuel",2020,1.778611344
"135","Global Net-zero","Northwest Territories","Solar","Primary Fuel",2020,1.778611344
"136","Canada Net-zero","Northwest Territories","Wind","Primary Fuel",2020,16.7426936
"137","Current Measures","Northwest Territories","Wind","Primary Fuel",2020,16.7426936
"138","Global Net-zero","Northwest Territories","Wind","Primary Fuel",2020,16.7426936
"139","Current Measures","Nunavut","Biomass / Geothermal","Primary Fuel",2020,0
"140","Canada Net-zero","Nunavut","Oil","Primary Fuel",2020,250.0273939
"141","Current Measures","Nunavut","Oil","Primary Fuel",2020,250.0273939
"142","Global Net-zero","Nunavut","Oil","Primary Fuel",2020,250.0273939
"143","Canada Net-zero","Nunavut","Solar","Primary Fuel",2020,0.560482973
"144","Current Measures","Nunavut","Solar","Primary Fuel",2020,0.560482973
"145","Global Net-zero","Nunavut","Solar","Primary Fuel",2020,0.560482973
"146","Canada Net-zero","Nunavut","Wind","Primary Fuel",2020,0
"147","Current Measures","Nunavut","Wind","Primary Fuel",2020,0
"148","Global Net-zero","Nunavut","Wind","Primary Fuel",2020,0
"149","Canada Net-zero","Ontario","Biomass / Geothermal","Primary Fuel",2020,1100
"150","Current Measures","Ontario","Biomass / Geothermal","Primary Fuel",2020,1100
"151","Global Net-zero","Ontario","Biomass / Geothermal","Primary Fuel",2020,1100
"152","Canada Net-zero","Ontario","Hydro / Wave / Tidal","Primary Fuel",2020,39004.97588
"153","Current Measures","Ontario","Hydro / Wave / Tidal","Primary Fuel",2020,39004.97588
"154","Global Net-zero","Ontario","Hydro / Wave / Tidal","Primary Fuel",2020,39004.97588
"155","Canada Net-zero","Ontario","Natural Gas","Primary Fuel",2020,11039.35575
"156","Current Measures","Ontario","Natural Gas","Primary Fuel",2020,11039.35575
"157","Global Net-zero","Ontario","Natural Gas","Primary Fuel",2020,11039.35575
"158","Canada Net-zero","Ontario","Oil","Primary Fuel",2020,85.07274
"159","Current Measures","Ontario","Oil","Primary Fuel",2020,85.07274
"160","Global Net-zero","Ontario","Oil","Primary Fuel",2020,85.07274
"161","Canada Net-zero","Ontario","Solar","Primary Fuel",2020,5636.199608
"162","Current Measures","Ontario","Solar","Primary Fuel",2020,5636.199608
"163","Global Net-zero","Ontario","Solar","Primary Fuel",2020,5636.199608
"164","Canada Net-zero","Ontario","Uranium","Primary Fuel",2020,87845.32544
"165","Current Measures","Ontario","Uranium","Primary Fuel",2020,87845.32544
"166","Global Net-zero","Ontario","Uranium","Primary Fuel",2020,87845.32544
"167","Canada Net-zero","Ontario","Wind","Primary Fuel",2020,13168.79678
"168","Current Measures","Ontario","Wind","Primary Fuel",2020,13168.79678
"169","Global Net-zero","Ontario","Wind","Primary Fuel",2020,13168.79678
"170","Canada Net-zero","Prince Edward Island","Biomass / Geothermal","Primary Fuel",2020,1.51460529
"171","Current Measures","Prince Edward Island","Biomass / Geothermal","Primary Fuel",2020,1.51460529
"172","Global Net-zero","Prince Edward Island","Biomass / Geothermal","Primary Fuel",2020,1.51460529
"173","Canada Net-zero","Prince Edward Island","Oil","Primary Fuel",2020,4.54342
"174","Current Measures","Prince Edward Island","Oil","Primary Fuel",2020,4.54342
"175","Global Net-zero","Prince Edward Island","Oil","Primary Fuel",2020,4.54342
"176","Canada Net-zero","Prince Edward Island","Solar","Primary Fuel",2020,0.678037409
"177","Current Measures","Prince Edward Island","Solar","Primary Fuel",2020,0.678037409
"178","Global Net-zero","Prince Edward Island","Solar","Primary Fuel",2020,0.678037409
"179","Canada Net-zero","Prince Edward Island","Uranium","Primary Fuel",2020,0
"180","Global Net-zero","Prince Edward Island","Uranium","Primary Fuel",2020,0
"181","Canada Net-zero","Prince Edward Island","Wind","Primary Fuel",2020,700.3405113
"182","Current Measures","Prince Edward Island","Wind","Primary Fuel",2020,700.3405113
"183","Global Net-zero","Prince Edward Island","Wind","Primary Fuel",2020,700.3405113
"184","Canada Net-zero","Quebec","Biomass / Geothermal","Primary Fuel",2020,1309.409371
"185","Current Measures","Quebec","Biomass / Geothermal","Primary Fuel",2020,1309.409371
