Technology,Sub-technology,Metal,Metal intensity,Unit,Reference,Fiability of the data,Comment
Solar PV,CIGS,Selenium,61.0,t/GW,(Watari et al. 2019),Small variability in data,Mean value taken from past studies
Solar PV,c-Si,Aluminum,10953.0,t/GW,"(Liang et al., 2022)",Small variability in data,
Solar PV,c-Si,Aluminum,31407.3,t/GW,"OpenLCA  Analysis
 'Multi Si - 570 kWp' ",Small variability in data,
Solar PV,c-Si,Cadmium,0.3,t/GW,"OpenLCA  Analysis
 'Multi Si - 570 kWp' ",No comparison,
Solar PV,c-Si,Concrete,60700.0,t/GW,"(European Commission, 2020)",No comparison,
Solar PV,c-Si,Silicium,2882.0,t/GW,"(Kavlak et al, 2015)",Small variability in data,638; 2882; 6629
Solar PV,c-Si,Copper,884.0,t/GW,"(Månberger, 2018)",Important variability in data,
Solar PV,c-Si,Copper,458.0,t/GW,(Watari et al. 2019),Small variability in data,Mean value taken from past studies
Solar PV,c-Si,Copper,5952.19,t/GW,"OpenLCA  Analysis
 'Multi Si - 570 kWp' ",Small variability in data,
Solar PV,c-Si,Gallium ,9.7,t/GW,"OpenLCA  Analysis
 'Multi Si - 570 kWp' ",No comparison,
Solar PV,c-Si,Glass,46400.0,t/GW,"(European Commission, 2020)",No comparison,
Solar PV,c-Si,Iron,66446.94,t/GW,"(European Commission, 2020)",Small variability in data,Calculated from steel
Solar PV,c-Si,Iron,90926.9,t/GW,"OpenLCA  Analysis
 'Multi Si - 570 kWp' ",Small variability in data,
Solar PV,c-Si,Iron,65137.18176,t/GW,"OpenLCA  Analysis
 'Multi Si - 570 kWp' ",Small variability in data,Calculated from steel
Solar PV,c-Si,Lead,6.0,t/GW,"(Fizaine et Court, 2015)",Variability in data,
Solar PV,c-Si,Copper,990.5,t/GW,"(Liang et al., 2022)",Small variability in data,"2741, 300, 250, 884, 825, 943"
Solar PV,c-Si,Lead,39.0,t/GW,(Watari et al. 2019),Variability in data,Mean value taken from past studies
Solar PV,c-Si,Lead,72.0,t/GW,"(World Bank Group, 2017)",Variability in data,
Solar PV,c-Si,Lead,550.28,t/GW,"OpenLCA  Analysis
 'Multi Si - 570 kWp' ",Important variability in data,
Solar PV,c-Si,Lead,77.475,t/GW,"(Liang et al., 2022)",Variability in data,"336, 6, 5.53, 6.32, 72, 39"
Solar PV,c-Si,Nickel,1.0,t/GW,(Watari et al. 2019),Variability in data,Mean value taken from past studies
Solar PV,c-Si,Nickel,1043.48,t/GW,"OpenLCA  Analysis
 'Multi Si - 570 kWp' ",Important variability in data,
Solar PV,c-Si,Polymers,8600.0,t/GW,"(European Commission, 2020)",Small variability in data,
Solar PV,c-Si,Silicium,4000.0,t/GW,"(European Commission, 2020)",Small variability in data,
Solar PV,c-Si,Nickel,1.175,t/GW,"(Liang et al., 2022)",Variability in data,"1.1, 1.3, 1.3, 1"
Solar PV,c-Si,Silicium,6630.0,t/GW,"(Tokimatsu et al, 2017)",Small variability in data,
Solar PV,c-Si,Silicium,6428.0,t/GW,(Watari et al. 2019),Small variability in data,Mean value taken from past studies
Solar PV,c-Si,Silver,20.0,t/GW,"(Dong et al., 2025)",Small variability in data,
Solar PV,c-Si,Silver,20.0,t/GW,"(European Commission, 2020)",Small variability in data,
Solar PV,c-Si,Silver,36.0,t/GW,"(Kavlak et al, 2015)",Small variability in data,"Max MI is the 2015 level, others are Low et medium"
Solar PV,c-Si,Silver,25.19953947368421,t/GW,"(Liang et al., 2022)",Small variability in data,"84, 10, 24, 19, 10, 29, 80, 35.6, 19, 36, 4, 47, 57, 17, 59, 68.17, 5… Moyenne"
Solar PV,c-Si,Silver,10.0,t/GW,"(Månberger, 2018)",Small variability in data,
Solar PV,c-Si,Silver,36.0,t/GW,"(Tokimatsu et al, 2017)",Small variability in data,
Solar PV,c-Si,Silver,30.0,t/GW,(Watari et al. 2019),Small variability in data,Mean value taken from past studies
Solar PV,c-Si,Silver,25.5,t/GW,"OpenLCA  Analysis
 'Multi Si - 570 kWp' ",Small variability in data,
Solar PV,c-Si,Tin,577.0,t/GW,"(Liang et al., 2022)",Small variability in data,
Solar PV,c-Si,Tin,10.0,t/GW,"OpenLCA  Analysis
 'Multi Si - 570 kWp' ",Variability in data,
Solar PV,c-Si,Vanadium,0.011,t/GW,"OpenLCA  Analysis
 'Multi Si - 570 kWp' ",Variability in data,
Solar PV,c-Si,Zinc,2523.04,t/GW,"OpenLCA  Analysis
 'Multi Si - 570 kWp' ",Small variability in data,
Solar PV,Drameless CdTe (thin film),Aluminum,31300.0,t/GW,"(Bodeker et al, 2010 )",Small variability in data,
Solar PV,Framed module,Aluminum,38500.0,t/GW,"(Bodeker et al, 2010 )",Small variability in data,
Solar PV,PV Panel,Aluminum,2000.0,t/GW,"(Ashby, 2013)",Small variability in data,"For c-Si, CIGS et CdTe"
Solar PV,PV Panel,Aluminum,1051.0,t/GW,(Watari et al. 2019),Small variability in data,"For c-Si, CIGS et CdTe"
Solar PV,PV Panel,Aluminum,102.0,t/GW,"(World Bank Group, 2017)",Variability in data,"For c-Si, CIGS et CdTe"
Solar PV,PV Panel,Chromium,61.0,t/GW,(Watari et al. 2019),No comparison,"For c-Si, CIGS et CdTe ; Mean value taken from past studies"
Solar PV,PV Panel,Tin,332.0,t/GW,(Watari et al. 2019),Small variability in data,"For c-Si, CIGS et CdTe ; Mean value taken from past studies"
Solar PV,PV Panel,Zinc,56.0,t/GW,(Watari et al. 2019),Small variability in data,"For c-Si, CIGS et CdTe ; Mean value taken from past studies"
Solar PV,PV Plant,Aluminum,20000.0,t/GW,"(Ashby, 2013)",Small variability in data,"For c-Si, CIGS et CdTe"
Solar PV,PV Plant,Aluminum,33500.0,t/GW,(Watari et al. 2019),Small variability in data,"For c-Si, CIGS et CdTe"
Solar PV,PV Plant,Chromium,3700.0,t/GW,(Watari et al. 2019),No comparison,"For c-Si, CIGS et CdTe ; Mean value taken from past studies"
Solar PV,PV Plant,Copper,3765.0,t/GW,(Watari et al. 2019),Small variability in data,"For c-Si, CIGS et CdTe ; Mean value taken from past studies"
Solar PV,PV Plant,Iron,1174320.0,t/GW,(Watari et al. 2019),Important variability in data,Calculated from steel ; Mean value taken from past studies
Solar PV,PV Plant,Molybdenum,200.0,t/GW,(Watari et al. 2019),Small variability in data,"For c-Si, CIGS et CdTe ; Mean value taken from past studies"
Solar PV,PV Plant,Nickel,1800.0,t/GW,(Watari et al. 2019),Important variability in data,"For c-Si, CIGS et CdTe ; Mean value taken from past studies"
Solar PV,PV Plant,Vanadium,2.0,t/GW,(Watari et al. 2019),Variability in data,"For c-Si, CIGS et CdTe ; Mean value taken from past studies"
Solar PV,PV Plant,Zinc,1400.0,t/GW,(Watari et al. 2019),Small variability in data,"For c-Si, CIGS et CdTe ; Mean value taken from past studies"
Vehicle battery,LFP,Aluminum,46.40007822418474,g/kWh,"(ecoinvent Association v3.11, 2024)",No comparison,"(battery production, Li-ion, LFP, rechargeable)"
Vehicle battery,LFP,Cobalt,1536.85058087675,g/kWh,"(ecoinvent Association v3.11, 2024)",Important variability in data,"(battery production, Li-ion, LFP, rechargeable)"
Vehicle battery,LFP,Copper,493.2248344592003,g/kWh,"(IRENA, 2024)",Variability in data,(Gr-LFP)
Vehicle battery,LFP,Lithium,104.29174826530344,g/kWh,"(ecoinvent Association v3.11, 2024)",Small variability in data,"(battery production, Li-ion, LFP, rechargeable)"
Vehicle battery,LFP,Lithium,510.8399423217781,g/kWh,"(IRENA, 2024)",Variability in data,(Gr-LFP)
Vehicle battery,LFP,Lithium,170.0,g/kWh,"(Junne et al., 2020)",Small variability in data,
Vehicle battery,LFP,Lithium,111.25,g/kWh,"(Liang et al., 2023)",Small variability in data,
Vehicle battery,LFP,Manganese,1492.4507879970258,g/kWh,"(ecoinvent Association v3.11, 2024)",Variability in data,"(battery production, Li-ion, LFP, rechargeable)"
Vehicle battery,LFP,Nickel,140.0,g/kWh,"(ecoinvent Association v3.11, 2024)",Variability in data,"(battery production, Li-ion, LFP, rechargeable)"
Vehicle battery,LMFP ,Copper,484.41738132276015,g/kWh,"(IRENA, 2024)",No comparison,(Gr-LMFP)
Vehicle battery,LMFP ,Lithium,519.6475970479081,g/kWh,"(IRENA, 2024)",No comparison,(Gr-LMFP)
Vehicle battery,LMFP ,Manganese,317.07315106442,g/kWh,"(IRENA, 2024)",No comparison,(Gr-LMFP)
Vehicle battery,LMO,Cobalt,500.0,g/kWh,"(Junne et al., 2020)",Variability in data,
Vehicle battery,LMO,Copper,440.3793092817998,g/kWh,"(IRENA, 2024)",No comparison,(Gr-LMO)
Vehicle battery,LMO,Lithium,113.0,g/kWh,"(Junne et al., 2020)",Variability in data,
Vehicle battery,LMO,Lithium,598.9160864036869,g/kWh,"(IRENA, 2024)",Variability in data,(Gr-LMO)
Vehicle battery,LMO,Manganese,1277.1002589838204,g/kWh,"(IRENA, 2024)",No comparison,(Gr-LMO)
Vehicle battery,Na-ion,Manganese,554.878014362737,g/kWh,"(IRENA, 2024)",Variability in data,
Vehicle battery,Na-ion,Nickel,334.688460516676,g/kWh,"(IRENA, 2024)",Small variability in data,
Vehicle battery,Na-NiCl ,Aluminum,300.0,g/kWh,"(ecoinvent Association v3.11, 2024)",No comparison,"battery production, Na-NiCl, rechargeable ; compared with Na-ion"
Vehicle battery,Na-NiCl ,Cobalt,160.0,g/kWh,"(ecoinvent Association v3.11, 2024)",Variability in data,"battery production, Na-NiCl, rechargeable ; compared with Na-ion"
Vehicle battery,Na-NiCl ,Copper,200.0,g/kWh,"(ecoinvent Association v3.11, 2024)",Variability in data,"battery production, Na-NiCl, rechargeable ; compared with Na-ion"
Vehicle battery,Na-NiCl ,Graphite,170.0,g/kWh,"(ecoinvent Association v3.11, 2024)",No comparison,"battery production, Na-NiCl, rechargeable ; compared with Na-ion"
Vehicle battery,Na-NiCl ,Manganese,113.0,g/kWh,"(ecoinvent Association v3.11, 2024)",Variability in data,"battery production, Na-NiCl, rechargeable ; compared with Na-ion"
Vehicle battery,Na-NiCl ,Nickel,500.0,g/kWh,"(ecoinvent Association v3.11, 2024)",Small variability in data,"battery production, Na-NiCl, rechargeable ; compared with Na-ion"
Vehicle battery,NCA,Cobalt,920.7768173401034,g/kWh,"(ecoinvent Association v3.11, 2024)",Important variability in data,"battery production, Na-NiCl, rechargeable ; compared with Na-ion"
Vehicle battery,NCA,Cobalt,105.69105035480008,g/kWh,"(IRENA, 2024)",Small variability in data,(Gr-NCA)
Vehicle battery,NCA,Cobalt,200.0,g/kWh,"(Junne et al., 2020)",Small variability in data,
Vehicle battery,NCA,Cobalt,143.0,g/kWh,"(Liang et al., 2023)",Small variability in data,
Vehicle battery,NCA,Copper,705.7681849053181,g/kWh,"(ecoinvent Association v3.11, 2024)",Variability in data,"(battery production, Li-ion, NCA, rechargeable)"
Vehicle battery,NCA,Copper,264.22762588702,g/kWh,"(IRENA, 2024)",Variability in data,(Gr-NCA)
Vehicle battery,NCA,Graphite,65.2555225805155,g/kWh,"(ecoinvent Association v3.11, 2024)",No comparison,"(battery production, Li-ion, NCA, rechargeable)"
Vehicle battery,NCA,Lithium,21.58761633474207,g/kWh,"(ecoinvent Association v3.11, 2024)",Variability in data,"(battery production, Li-ion, NCA, rechargeable)"
Vehicle battery,NCA,Lithium,572.493323814992,g/kWh,"(IRENA, 2024)",Variability in data,(Gr-NCA)
Vehicle battery,NCA,Lithium,160.0,g/kWh,"(Junne et al., 2020)",Small variability in data,
Vehicle battery,NCA,Lithium,198.0,g/kWh,"(Liang et al., 2023)",Small variability in data,
Vehicle battery,NCA,Manganese,59.41948687206784,g/kWh,"(ecoinvent Association v3.11, 2024)",Small variability in data,"(battery production, Li-ion, NCA, rechargeable)"
Vehicle battery,NCA,Nickel,949.8003261059828,g/kWh,"(ecoinvent Association v3.11, 2024)",Small variability in data,"(battery production, Li-ion, NCA, rechargeable)"
Vehicle battery,NCA,Nickel,704.6071367585,g/kWh,"(IRENA, 2024)",Small variability in data,(Gr-NCA)
Vehicle battery,NCA,Nickel,720.0,g/kWh,"(Liang et al., 2023)",Small variability in data,
Vehicle battery,NCA85 ,Cobalt,105.8380503548,g/kWh,"(IRENA, 2024)",No comparison,(Gr-NCA85)
Vehicle battery,NCA85 ,Copper,264.22762588702,g/kWh,"(IRENA, 2024)",No comparison,(Gr-NCA85)
Vehicle battery,NCA85 ,Lithium,572.493323814992,g/kWh,"(IRENA, 2024)",No comparison,(Gr-NCA85)
Vehicle battery,NCA85 ,Nickel,673.8220883443179,g/kWh,"(IRENA, 2024)",No comparison,(Gr-NCA85)
Vehicle battery,NCA95 ,Cobalt,105.69105035480008,g/kWh,"(IRENA, 2024)",No comparison,(Gr-NCA95)
Vehicle battery,NCA95 ,Copper,264.22762588702,g/kWh,"(IRENA, 2024)",No comparison,(Gr-NCA95)
Vehicle battery,NCA95 ,Lithium,572.493323814992,g/kWh,"(IRENA, 2024)",No comparison,(Gr-NCA95)
Vehicle battery,NCA95 ,Nickel,735.0785633937359,g/kWh,"(IRENA, 2024)",No comparison,(Gr-NCA95)
Vehicle battery,NMC,Cobalt,300.0,g/kWh,"(Junne et al., 2020)",Small variability in data,
Vehicle battery,NMC,Cobalt,132.1138129435102,g/kWh,"(IRENA, 2024)",Small variability in data,(Gr-NMC)
Vehicle battery,NMC,Copper,317.07315106442,g/kWh,"(IRENA, 2024)",No comparison,(Gr-NMC)
Vehicle battery,NMC,Lithium,140.0,g/kWh,"(Junne et al., 2020)",Variability in data,
Vehicle battery,NMC,Lithium,607.7237411298221,g/kWh,"(IRENA, 2024)",Variability in data,(Gr-NMC)
Vehicle battery,NMC,Manganese,158.5365755322099,g/kWh,"(IRENA, 2024)",No comparison,(Gr-NMC)
Vehicle battery,NMC,Nickel,563.6856690888599,g/kWh,"(IRENA, 2024)",No comparison,(Gr-NMC)
Vehicle battery,NMC 111 ,Aluminum,58.42929936120943,g/kWh,"(ecoinvent Association v3.11, 2024)",No comparison,"(battery, Li-ion, NMC111, rechargeable)"
Vehicle battery,NMC 111 ,Cobalt,2041.7233596455158,g/kWh,"(ecoinvent Association v3.11, 2024)",Important variability in data,"(battery, Li-ion, NMC111, rechargeable)"
Vehicle battery,NMC 111 ,Cobalt,334.5549512355899,g/kWh,"(IRENA, 2024)",Important variability in data, (Gr-NMC(111))
Vehicle battery,NMC 111 ,Copper,629.5271208191258,g/kWh,"(ecoinvent Association v3.11, 2024)",Small variability in data,"(battery, Li-ion, NMC111, rechargeable)"
Vehicle battery,NMC 111 ,Copper,317.0731510644198,g/kWh,"(IRENA, 2024)",Small variability in data, (Gr-NMC(111))
Vehicle battery,NMC 111 ,Graphite,62.88797677299026,g/kWh,"(ecoinvent Association v3.11, 2024)",No comparison,"(battery, Li-ion, NMC111, rechargeable)"
Vehicle battery,NMC 111 ,Lithium,115.5607086076522,g/kWh,"(ecoinvent Association v3.11, 2024)",Variability in data,"(battery, Li-ion, NMC111, rechargeable)"
Vehicle battery,NMC 111 ,Lithium,654.973776252058,g/kWh,"(IRENA, 2024)",Variability in data, (Gr-NMC(111))
Vehicle battery,NMC 111 ,Manganese,746.935717215805,g/kWh,"(ecoinvent Association v3.11, 2024)",Variability in data,"(battery, Li-ion, NMC111, rechargeable)"
Vehicle battery,NMC 111 ,Manganese,306.282806647448,g/kWh,"(IRENA, 2024)",Variability in data, (Gr-NMC(111))
Vehicle battery,NMC 111 ,Nickel,1771.43111843691,g/kWh,"(ecoinvent Association v3.11, 2024)",Important variability in data,"(battery, Li-ion, NMC111, rechargeable)"
Vehicle battery,NMC 111 ,Nickel,339.2670292586441,g/kWh,"(IRENA, 2024)",Important variability in data, (Gr-NMC(111))
Vehicle battery,NMC 333,Cobalt,394.0,g/kWh,"(Liang et al., 2023)",No comparison,
Vehicle battery,NMC 333,Lithium,152.0,g/kWh,"(Liang et al., 2023)",No comparison,
Vehicle battery,NMC 333,Manganese,370.0,g/kWh,"(Liang et al., 2023)",No comparison,
Vehicle battery,NMC 333,Nickel,390.0,g/kWh,"(Liang et al., 2023)",No comparison,
Vehicle battery,NMC 433,Cobalt,301.5706207743001,g/kWh,"(IRENA, 2024)",No comparison,(Gr-NMC(433))
Vehicle battery,NMC 433,Copper,317.0731510644198,g/kWh,"(IRENA, 2024)",No comparison,(Gr-NMC(433))
Vehicle battery,NMC 433,Lithium,631.413493986818,g/kWh,"(IRENA, 2024)",No comparison,(Gr-NMC(433))
Vehicle battery,NMC 433,Manganese,282.722524382208,g/kWh,"(IRENA, 2024)",No comparison,(Gr-NMC(433))
Vehicle battery,NMC 433,Nickel,400.523720008234,g/kWh,"(IRENA, 2024)",No comparison,(Gr-NMC(433))
Vehicle battery,NMC 532,Aluminum,62.25290374153594,g/kWh,"(ecoinvent Association v3.11, 2024)",No comparison,"(battery production, Li-ion, NMC532, rechargeable)"
Vehicle battery,NMC 532,Cobalt,212.0418932866599,g/kWh,"(IRENA, 2024)",Small variability in data,(Gr-NMC(532))
Vehicle battery,NMC 532,Cobalt,230.0,g/kWh,"(Liang et al., 2023)",Small variability in data,
Vehicle battery,NMC 532,Cobalt,2125.9766361881357,g/kWh,"(ecoinvent Association v3.11, 2024)",Important variability in data,"(battery production, Li-ion, NMC532, rechargeable)"
Vehicle battery,NMC 532,Copper,317.0731510644198,g/kWh,"(IRENA, 2024)",Variability in data,(Gr-NMC(532))
Vehicle battery,NMC 532,Copper,627.8745815297226,g/kWh,"(ecoinvent Association v3.11, 2024)",Variability in data,"(battery production, Li-ion, NMC532, rechargeable)"
Vehicle battery,NMC 532,Graphite,63.54614770195355,g/kWh,"(ecoinvent Association v3.11, 2024)",No comparison,"(battery production, Li-ion, NMC532, rechargeable)"
Vehicle battery,NMC 532,Lithium,654.973776252058,g/kWh,"(IRENA, 2024)",Variability in data,(Gr-NMC(532))
Vehicle battery,NMC 532,Lithium,150.0,g/kWh,"(Liang et al., 2023)",Variability in data,
Vehicle battery,NMC 532,Lithium,402.0108775894284,g/kWh,"(ecoinvent Association v3.11, 2024)",Variability in data,"(battery production, Li-ion, NMC532, rechargeable)"
Vehicle battery,NMC 532,Manganese,193.19379689456505,g/kWh,"(IRENA, 2024)",Variability in data,(Gr-NMC(532))
Vehicle battery,NMC 532,Manganese,360.0,g/kWh,"(Liang et al., 2023)",Variability in data,
Vehicle battery,NMC 532,Manganese,785.5406745947355,g/kWh,"(ecoinvent Association v3.11, 2024)",Variability in data,"(battery production, Li-ion, NMC532, rechargeable)"
Vehicle battery,NMC 532,Nickel,513.612514060947,g/kWh,"(IRENA, 2024)",Small variability in data,(Gr-NMC(532))
Vehicle battery,NMC 532,Nickel,494.0,g/kWh,"(Liang et al., 2023)",Small variability in data,
Vehicle battery,NMC 532,Nickel,1820.831209744819,g/kWh,"(ecoinvent Association v3.11, 2024)",Important variability in data,"(battery production, Li-ion, NMC532, rechargeable)"
Vehicle battery,NMC 622,Cobalt,214.0,g/kWh,"(Liang et al., 2023)",Small variability in data,
Vehicle battery,NMC 622,Cobalt,179.0575628253699,g/kWh,"(IRENA, 2024)",Small variability in data, (Gr-NMC(622))
Vehicle battery,NMC 622,Copper,317.0731510644198,g/kWh,"(IRENA, 2024)",No comparison, (Gr-NMC(622))
Vehicle battery,NMC 622,Lithium,136.8,g/kWh,"(Liang et al., 2023)",Variability in data,
Vehicle battery,NMC 622,Lithium,560.732862891266,g/kWh,"(IRENA, 2024)",Variability in data, (Gr-NMC(622))
Vehicle battery,NMC 622,Manganese,200.0,g/kWh,"(Liang et al., 2023)",Small variability in data,
Vehicle battery,NMC 622,Manganese,169.63351462932496,g/kWh,"(IRENA, 2024)",Small variability in data, (Gr-NMC(622))
Vehicle battery,NMC 622,Nickel,620.0,g/kWh,"(Liang et al., 2023)",Small variability in data,
Vehicle battery,NMC 622,Nickel,527.7488559802291,g/kWh,"(IRENA, 2024)",Small variability in data, (Gr-NMC(622))
Vehicle battery,NMC 622 ,Aluminum,52.526904548917855,g/kWh,"(ecoinvent Association v3.11, 2024)",No comparison,"(battery production, Li-ion, NMC622, rechargeable)"
Vehicle battery,NMC 622 ,Cobalt,1933.019246256886,g/kWh,"(ecoinvent Association v3.11, 2024)",No comparison,"(battery production, Li-ion, NMC622, rechargeable)"
Vehicle battery,NMC 622 ,Copper,644.4955430133758,g/kWh,"(ecoinvent Association v3.11, 2024)",No comparison,"(battery production, Li-ion, NMC622, rechargeable)"
Vehicle battery,NMC 622 ,Graphite,67.19069936776712,g/kWh,"(ecoinvent Association v3.11, 2024)",No comparison,"(battery production, Li-ion, NMC622, rechargeable)"
Vehicle battery,NMC 622 ,Lithium,242.59202976302146,g/kWh,"(ecoinvent Association v3.11, 2024)",No comparison,"(battery production, Li-ion, NMC622, rechargeable)"
Vehicle battery,NMC 622 ,Manganese,681.0348102069867,g/kWh,"(ecoinvent Association v3.11, 2024)",No comparison,"(battery production, Li-ion, NMC622, rechargeable)"
Vehicle battery,NMC 622 ,Nickel,2150.2929289080002,g/kWh,"(ecoinvent Association v3.11, 2024)",No comparison,"(battery production, Li-ion, NMC622, rechargeable)"
Vehicle battery,NMC 811,Aluminum,85.70891842353707,g/kWh,"(ecoinvent Association v3.11, 2024)",No comparison," (battery production, Li-ion, NMC811, rechargeable)"
Vehicle battery,NMC 811,Cobalt,2657.450350391126,g/kWh,"(ecoinvent Association v3.11, 2024)",Important variability in data," (battery production, Li-ion, NMC811, rechargeable)"
Vehicle battery,NMC 811,Cobalt,84.81675731466987,g/kWh,"(IRENA, 2024)",Small variability in data, (Gr-NMC(811))
Vehicle battery,NMC 811,Copper,638.5186366456763,g/kWh,"(ecoinvent Association v3.11, 2024)",Variability in data," (battery production, Li-ion, NMC811, rechargeable)"
Vehicle battery,NMC 811,Copper,317.0731510644198,g/kWh,"(IRENA, 2024)",Variability in data, (Gr-NMC(811))
Vehicle battery,NMC 811,Graphite,73.71344117507692,g/kWh,"(ecoinvent Association v3.11, 2024)",No comparison," (battery production, Li-ion, NMC811, rechargeable)"
Vehicle battery,NMC 811,Lithium,705.8095397493007,g/kWh,"(ecoinvent Association v3.11, 2024)",Variability in data," (battery production, Li-ion, NMC811, rechargeable)"
Vehicle battery,NMC 811,Lithium,518.324484233935,g/kWh,"(IRENA, 2024)",Variability in data, (Gr-NMC(811))
Vehicle battery,NMC 811,Manganese,1049.8943202113705,g/kWh,"(ecoinvent Association v3.11, 2024)",Important variability in data," (battery production, Li-ion, NMC811, rechargeable)"
Vehicle battery,NMC 811,Manganese,80.10478714168201,g/kWh,"(IRENA, 2024)",Small variability in data, (Gr-NMC(811))
Vehicle battery,NMC 811,Nickel,1821.197085558824,g/kWh,"(ecoinvent Association v3.11, 2024)",Variability in data," (battery production, Li-ion, NMC811, rechargeable)"
Vehicle battery,NMC 811,Nickel,654.9738841021331,g/kWh,"(IRENA, 2024)",Variability in data, (Gr-NMC(811))
Vehicle battery,NMC 811/955,Cobalt,94.0,g/kWh,"(Liang et al., 2023)",Small variability in data,
Vehicle battery,NMC 811/955,Lithium,124.60000000000001,g/kWh,"(Liang et al., 2023)",Variability in data,
Vehicle battery,NMC 811/955,Manganese,90.0,g/kWh,"(Liang et al., 2023)",Small variability in data,
Vehicle battery,NMC 811/955,Nickel,750.0,g/kWh,"(Liang et al., 2023)",Variability in data,
Vehicle body,BEV,Aluminum,127302.0,g/vehicle,"(Watari et al., 2019; Fishman and al. 2018)",No comparison,
Vehicle body,BEV,Chromium,11850.0,g/vehicle,"(Watari et al., 2019)",No comparison,
Vehicle body,BEV,Iron,902171.34,g/vehicle,"(Watari et al., 2019; Fishman and al. 2018)",No comparison,
Vehicle body,BEV,Lead,310.0,g/vehicle,"(Watari et al., 2019)",No comparison,
Vehicle body,BEV,Zinc,100.0,g/vehicle,"(Watari et al., 2019)",No comparison,
Vehicle body,ICEV,Aluminum,71300.0,g/vehicle,"(Watari et al., 2019; Fishman and al. 2018)",No comparison,
Vehicle body,ICEV,Iron,902171.34,g/vehicle,"(Watari et al., 2019; Fishman and al. 2018)",No comparison,
Vehicle body,ICEV,Lead,300.0,g/vehicle,"(Watari et al., 2019)",No comparison,
Vehicle body,ICEV,Zinc,100.0,g/vehicle,"(Watari et al., 2019)",No comparison,
Vehicle body,PHEV,Aluminum,110658.0,g/vehicle,"(Watari et al., 2019; Fishman and al. 2018)",No comparison,
Vehicle body,PHEV,Chromium,12789.0,g/vehicle,"(Watari et al., 2019)",No comparison,
Vehicle body,PHEV,Iron,902171.34,g/vehicle,"(Watari et al., 2019; Fishman and al. 2018)",No comparison,
Vehicle body,PHEV,Lead,320.0,g/vehicle,"(Watari et al., 2019)",No comparison,
Vehicle body,PHEV,Zinc,100.0,g/vehicle,"(Watari et al., 2019)",No comparison,
Vehicle motor,Ind,Copper,33673.5,g/vehicle,"(Månberger & Stenqvist, 2018)",No comparison,
Vehicle motor,Ind,Copper,0.48105,kg/kW,"(Månberger & Stenqvist, 2018)",No comparison,Compared with other data by using an hypothesis of 70 kW per vehicle
Vehicle motor,PM,Copper,13884.5,g/vehicle,"(Månberger & Stenqvist, 2018)",No comparison,
Vehicle motor,PM,Copper,0.19835,kg/kW,"(Månberger & Stenqvist, 2018)",No comparison,Compared with other data by using an hypothesis of 70 kW per vehicle
Vehicle motor,PM,Dysprosium,0.002,kg/kW,"(Junne et al., 2020)",Variability in data,Compared with other data by using an hypothesis of 70 kW per vehicle
Vehicle motor,PM,Dysprosium,5.16e-05,kg/kW,"(Månberger & Stenqvist, 2018)",Variability in data,Compared with other data by using an hypothesis of 70 kW per vehicle
Vehicle motor,PM,Dysprosium,83.0,g/vehicle,"(Watari et al., 2018)",Variability in data,
Vehicle motor,PM,Neodymium,0.01,kg/kW,"(Junne et al., 2020)",Variability in data,Compared with other data by using an hypothesis of 70 kW per vehicle
Vehicle motor,PM,Neodymium,0.0038,kg/kW,"(Månberger & Stenqvist, 2018)",Small variability in data,Compared with other data by using an hypothesis of 70 kW per vehicle
Vehicle motor,PM,Neodymium,695.0,g/vehicle,"(Watari et al., 2018)",Small variability in data,
Vehicle motor,PM,Praesodymium,1.0,g/vehicle,"(Watari et al., 2018)",No comparison,
Wind,DD-EESG,Aluminum,700.0,t/GW,"(European Commission, 2020)",Small variability in data,Mostly onshore
Wind,DD-PMSG,Aluminum,500.0,t/GW,"(European Commission, 2020)",Variability in data,Mostly offshore
Wind,DDSG,Aluminum,3651.0,t/GW,"(ADEME et Cycleco, 2015)",Variability in data,
Wind,DFIG,Aluminum,3856.0,t/GW,"(ADEME et Cycleco, 2015)",Variability in data,
Wind,Direct-drive,Aluminum,1311.857142857143,t/GW,"(Liang et al., 2022)",Small variability in data,
Wind,GB-DFIG (et SCIG),Aluminum,1400.0,t/GW,"(European Commission, 2020)",Small variability in data,Mostly Onshore
Wind,GB-PMSG,Aluminum,1600.0,t/GW,"(European Commission, 2020)",Variability in data,Hybride
Wind,Offshore,Aluminum,446.9,t/GW,"(Van Oorschot et al., 2022)",Variability in data,
Wind,Offshore,Aluminum,2063.0,t/GW,(Watari et al. 2019),Variability in data,Mean value taken from past studies
Wind,Onshore,Aluminum,371.70000000000005,t/GW,"(Van Oorschot et al., 2022)",Important variability in data,
Wind,Onshore,Aluminum,1372.0,t/GW,(Watari et al. 2019),Small variability in data,
Wind,Onshore DD et AG,Aluminum,13200.0,t/GW,"(Garrett, P., et Rønde, K., 2011)",Important variability in data,
Wind,Wind farm,Aluminum,4965.0,t/GW,"(ADEME et Cycleco, 2015)",Small variability in data,
Wind,DD-PMSG,Boron,6.0,t/GW,"(European Commission, 2020)",Small variability in data,Mostly offshore
Wind,Direct-drive,Boron,6.0,t/GW,"(Liang et al., 2022)",Small variability in data,
Wind,GB-PMSG,Boron,1.0,t/GW,"(European Commission, 2020)",Small variability in data,Hybride
