Country,Mode,Powertrain,Year,Value,Mass_vehicule,Scenario
Canada,Vans,BEV,2032,60619.939770504854,1.9577507575642077,Current Measures
Canada,Buses,FCEV,2032,71.64174700150573,5.6752374182090595,Current Measures
Canada,Cars,FCEV,2032,110.21807231000884,1.0,Current Measures
Canada,Trucks,FCEV,2032,33.06542169300265,3.6892781241792854,Current Measures
Canada,Cars,PHEV,2032,341676.0241610274,1.0,Current Measures
Canada,Vans,PHEV,2032,35269.783139202824,1.9577507575642077,Current Measures
Canada,2 and 3 wheelers,BEV,2033,1056.485314733727,0.09808569078889517,Current Measures
Canada,Buses,BEV,2033,1305.0700946710742,5.6752374182090595,Current Measures
Canada,Cars,BEV,2033,1180777.7047024006,1.0,Current Measures
Canada,Trucks,BEV,2033,12429.238996867374,3.6892781241792854,Current Measures
Canada,Vans,BEV,2033,68360.81448277055,1.9577507575642077,Current Measures
Canada,Buses,FCEV,2033,80.79005347963793,5.6752374182090595,Current Measures
Canada,Cars,FCEV,2033,124.29238996867375,1.0,Current Measures
Canada,Trucks,FCEV,2033,37.28771699060212,3.6892781241792854,Current Measures
Canada,Cars,PHEV,2033,385306.4089028886,1.0,Current Measures
Canada,Vans,PHEV,2033,39773.5647899756,1.9577507575642077,Current Measures
Canada,2 and 3 wheelers,BEV,2034,1185.0246629398225,0.09808569078889517,Current Measures
Canada,Buses,BEV,2034,1463.8539953962515,5.6752374182090595,Current Measures
Canada,Cars,BEV,2034,1324439.329168037,1.0,Current Measures
Canada,Trucks,BEV,2034,13941.466622821443,3.6892781241792854,Current Measures
Canada,Vans,BEV,2034,76678.06642551793,1.9577507575642077,Current Measures
Canada,Buses,FCEV,2034,90.61953304833938,5.6752374182090595,Current Measures
Canada,Cars,FCEV,2034,139.41466622821443,1.0,Current Measures
Canada,Trucks,FCEV,2034,41.824399868464326,3.6892781241792854,Current Measures
Canada,Cars,PHEV,2034,432185.4653074647,1.0,Current Measures
Canada,Vans,PHEV,2034,44612.693193028615,1.9577507575642077,Current Measures
Canada,2 and 3 wheelers,BEV,2035,1320.9740563180394,0.09808569078889517,Current Measures
Canada,Buses,BEV,2035,1631.7914813340487,5.6752374182090595,Current Measures
Canada,Cars,BEV,2035,1476382.7688260442,1.0,Current Measures
Canada,Trucks,BEV,2035,15540.871250800465,3.6892781241792854,Current Measures
Canada,Vans,BEV,2035,85474.79187940255,1.9577507575642077,Current Measures
