Country,Mode,Battery_type,Powertrain,Year,EV_sales,Scenario,Associated_battery_cap,Installed_battery_cap
Canada,2 and 3 wheelers,All,BEV,2027,416.5631111649561,Current Measures,3.0,1249.6893334948684
Canada,Buses,All,BEV,2027,514.5779608508282,Current Measures,300.0,154373.38825524846
Canada,Cars,All,BEV,2027,465570.53600789217,Current Measures,65.0,30262084.84051299
Canada,Trucks,All,BEV,2027,4900.742484293602,Current Measures,350.0,1715259.8695027605
Canada,Vans,All,BEV,2027,26954.08366361481,Current Measures,75.0,2021556.2747711106
Canada,Buses,All,FCEV,2027,31.854826147908412,Current Measures,35.0,1114.9189151767944
Canada,Cars,All,FCEV,2027,49.00742484293602,Current Measures,1.75,85.76299347513803
Canada,Trucks,All,FCEV,2027,14.702227452880805,Current Measures,350.0,5145.779608508282
Canada,Cars,All,PHEV,2027,151923.01701310166,Current Measures,15.0,2278845.255196525
Canada,Vans,All,PHEV,2027,15682.375949739526,Current Measures,21.8,341875.7957043217
Canada,2 and 3 wheelers,All,BEV,2028,512.018380380415,Current Measures,3.0,1536.055141141245
Canada,Buses,All,BEV,2028,632.4932934111009,Current Measures,300.0,189747.98802333028
Canada,Cars,All,BEV,2028,572255.836895758,Current Measures,65.0,37196629.39822427
Canada,Trucks,All,BEV,2028,6023.745651534295,Current Measures,350.0,2108310.978037003
Canada,Vans,All,BEV,2028,33130.601083438625,Current Measures,75.0,2484795.081257897
Canada,Buses,All,FCEV,2028,39.15434673497292,Current Measures,35.0,1370.4021357240522
Canada,Cars,All,FCEV,2028,60.23745651534295,Current Measures,1.75,105.41554890185016
Canada,Trucks,All,FCEV,2028,18.071236954602885,Current Measures,350.0,6324.93293411101
Canada,Cars,All,PHEV,2028,186736.11519756314,Current Measures,15.0,2801041.727963447
Canada,Vans,All,PHEV,2028,19275.986084909742,Current Measures,21.8,420216.4966510324
Canada,2 and 3 wheelers,All,BEV,2029,615.5692379584278,Current Measures,3.0,1846.7077138752834
Canada,Buses,All,BEV,2029,760.4090586545285,Current Measures,300.0,228122.71759635856
Canada,Cars,All,BEV,2029,687989.1483064782,Current Measures,65.0,44719294.639921084
Canada,Trucks,All,BEV,2029,7241.991034805033,Current Measures,350.0,2534696.862181762
Canada,Vans,All,BEV,2029,39830.95069142768,Current Measures,75.0,2987321.301857076
