Scenario,Region,Variable,Year,Value,Unit,Associated_MI
Canada Net-zero,Canada,Bioenergy with CCUS,2027,0.0,GW,"Biomass with CCS, Aggregated"
Canada Net-zero,Canada,Bioenergy with CCUS,2028,0.0,GW,"Biomass with CCS, Aggregated"
Canada Net-zero,Canada,Bioenergy with CCUS,2029,0.0,GW,"Biomass with CCS, Aggregated"
Canada Net-zero,Canada,Bioenergy with CCUS,2030,0.0,GW,"Biomass with CCS, Aggregated"
Canada Net-zero,Canada,Bioenergy with CCUS,2031,0.2904,GW,"Biomass with CCS, Aggregated"
Canada Net-zero,Canada,Bioenergy with CCUS,2032,0.5796,GW,"Biomass with CCS, Aggregated"
Canada Net-zero,Canada,Bioenergy with CCUS,2033,0.87,GW,"Biomass with CCS, Aggregated"
Canada Net-zero,Canada,Bioenergy with CCUS,2034,1.1594,GW,"Biomass with CCS, Aggregated"
Canada Net-zero,Canada,Bioenergy with CCUS,2035,1.4506,GW,"Biomass with CCS, Aggregated"
Canada Net-zero,Canada,Bioenergy with CCUS,2036,1.761,GW,"Biomass with CCS, Aggregated"
Canada Net-zero,Canada,Bioenergy with CCUS,2037,2.076,GW,"Biomass with CCS, Aggregated"
Canada Net-zero,Canada,Bioenergy with CCUS,2038,2.382,GW,"Biomass with CCS, Aggregated"
Canada Net-zero,Canada,Bioenergy with CCUS,2039,2.7,GW,"Biomass with CCS, Aggregated"
Canada Net-zero,Canada,Bioenergy with CCUS,2040,3.004,GW,"Biomass with CCS, Aggregated"
Canada Net-zero,Canada,Bioenergy with CCUS,2041,3.346,GW,"Biomass with CCS, Aggregated"
Canada Net-zero,Canada,Bioenergy with CCUS,2042,3.67,GW,"Biomass with CCS, Aggregated"
Canada Net-zero,Canada,Bioenergy with CCUS,2043,4.004,GW,"Biomass with CCS, Aggregated"
Canada Net-zero,Canada,Bioenergy with CCUS,2044,4.346,GW,"Biomass with CCS, Aggregated"
Canada Net-zero,Canada,Bioenergy with CCUS,2045,4.67,GW,"Biomass with CCS, Aggregated"
Canada Net-zero,Canada,Bioenergy with CCUS,2046,5.034,GW,"Biomass with CCS, Aggregated"
Canada Net-zero,Canada,Bioenergy with CCUS,2047,5.406,GW,"Biomass with CCS, Aggregated"
Canada Net-zero,Canada,Bioenergy with CCUS,2048,5.77,GW,"Biomass with CCS, Aggregated"
Canada Net-zero,Canada,Bioenergy with CCUS,2049,6.144,GW,"Biomass with CCS, Aggregated"
Canada Net-zero,Canada,Bioenergy with CCUS,2050,6.506,GW,"Biomass with CCS, Aggregated"
Canada Net-zero,Canada,Bioenergy,2020,2.5241,GW,"Biomass, Aggregated"
Canada Net-zero,Canada,Coal and Coke,2021,6.434,GW,Coal and Coke
Canada Net-zero,Canada,Coal and Coke,2022,4.594,GW,Coal and Coke
Canada Net-zero,Canada,Coal and Coke,2023,3.644,GW,Coal and Coke
Canada Net-zero,Canada,Coal and Coke,2024,2.814,GW,Coal and Coke
Canada Net-zero,Canada,Coal and Coke,2025,2.814,GW,Coal and Coke
Canada Net-zero,Canada,Coal and Coke,2026,2.814,GW,Coal and Coke
Canada Net-zero,Canada,Coal and Coke,2027,2.525,GW,Coal and Coke
Canada Net-zero,Canada,Coal and Coke,2028,2.525,GW,Coal and Coke
Canada Net-zero,Canada,Coal and Coke,2029,1.95,GW,Coal and Coke
Canada Net-zero,Canada,Coal and Coke,2030,1.95,GW,Coal and Coke
Canada Net-zero,Canada,Coal and Coke,2031,0.0,GW,Coal and Coke
Canada Net-zero,Canada,Coal and Coke,2032,0.0,GW,Coal and Coke
Canada Net-zero,Canada,Coal and Coke,2033,0.0,GW,Coal and Coke
Canada Net-zero,Canada,Coal and Coke,2034,0.0,GW,Coal and Coke
Canada Net-zero,Canada,Coal and Coke,2035,0.0,GW,Coal and Coke
Canada Net-zero,Canada,Coal and Coke,2036,0.0,GW,Coal and Coke
Canada Net-zero,Canada,Coal and Coke,2037,0.0,GW,Coal and Coke
Canada Net-zero,Canada,Coal and Coke,2038,0.0,GW,Coal and Coke
Canada Net-zero,Canada,Coal and Coke,2039,0.0,GW,Coal and Coke
Canada Net-zero,Canada,Coal and Coke,2040,0.0,GW,Coal and Coke
Canada Net-zero,Canada,Coal and Coke,2041,0.0,GW,Coal and Coke
Canada Net-zero,Canada,Coal and Coke,2042,0.0,GW,Coal and Coke
Canada Net-zero,Canada,Coal and Coke,2043,0.0,GW,Coal and Coke
Canada Net-zero,Canada,Coal and Coke,2044,0.0,GW,Coal and Coke
Canada Net-zero,Canada,Coal and Coke,2045,0.0,GW,Coal and Coke
Canada Net-zero,Canada,Coal and Coke,2046,0.0,GW,Coal and Coke
Canada Net-zero,Canada,Coal and Coke,2047,0.0,GW,Coal and Coke
Canada Net-zero,Canada,Coal and Coke,2048,0.0,GW,Coal and Coke
Canada Net-zero,Canada,Coal and Coke,2049,0.0,GW,Coal and Coke
Canada Net-zero,Canada,Coal and Coke,2050,0.0,GW,Coal and Coke
Current Measures,Canada,Bioenergy,2020,2.5241,GW,"Biomass, Aggregated"
Canada Net-zero,Canada,Coal with CCUS,2021,0.115,GW,"Fossil energy, Coal with CCS"
Canada Net-zero,Canada,Coal with CCUS,2022,0.115,GW,"Fossil energy, Coal with CCS"
Canada Net-zero,Canada,Coal with CCUS,2023,0.115,GW,"Fossil energy, Coal with CCS"
Canada Net-zero,Canada,Coal with CCUS,2024,0.115,GW,"Fossil energy, Coal with CCS"
Canada Net-zero,Canada,Coal with CCUS,2025,0.115,GW,"Fossil energy, Coal with CCS"
Canada Net-zero,Canada,Coal with CCUS,2026,0.115,GW,"Fossil energy, Coal with CCS"
Canada Net-zero,Canada,Coal with CCUS,2027,0.115,GW,"Fossil energy, Coal with CCS"
Canada Net-zero,Canada,Coal with CCUS,2028,0.115,GW,"Fossil energy, Coal with CCS"
Canada Net-zero,Canada,Coal with CCUS,2029,0.115,GW,"Fossil energy, Coal with CCS"
Canada Net-zero,Canada,Coal with CCUS,2030,0.115,GW,"Fossil energy, Coal with CCS"
Canada Net-zero,Canada,Coal with CCUS,2031,0.115,GW,"Fossil energy, Coal with CCS"
Canada Net-zero,Canada,Coal with CCUS,2032,0.115,GW,"Fossil energy, Coal with CCS"
Canada Net-zero,Canada,Coal with CCUS,2033,0.115,GW,"Fossil energy, Coal with CCS"
Canada Net-zero,Canada,Coal with CCUS,2034,0.115,GW,"Fossil energy, Coal with CCS"
Canada Net-zero,Canada,Coal with CCUS,2035,0.0,GW,"Fossil energy, Coal with CCS"
Canada Net-zero,Canada,Coal with CCUS,2036,0.0,GW,"Fossil energy, Coal with CCS"
Canada Net-zero,Canada,Coal with CCUS,2037,0.0,GW,"Fossil energy, Coal with CCS"
Canada Net-zero,Canada,Coal with CCUS,2038,0.0,GW,"Fossil energy, Coal with CCS"
Canada Net-zero,Canada,Coal with CCUS,2039,0.0,GW,"Fossil energy, Coal with CCS"
Canada Net-zero,Canada,Coal with CCUS,2040,0.0,GW,"Fossil energy, Coal with CCS"
Canada Net-zero,Canada,Coal with CCUS,2041,0.0,GW,"Fossil energy, Coal with CCS"
Canada Net-zero,Canada,Coal with CCUS,2042,0.0,GW,"Fossil energy, Coal with CCS"
Canada Net-zero,Canada,Coal with CCUS,2043,0.0,GW,"Fossil energy, Coal with CCS"
Canada Net-zero,Canada,Coal with CCUS,2044,0.0,GW,"Fossil energy, Coal with CCS"
Canada Net-zero,Canada,Coal with CCUS,2045,0.0,GW,"Fossil energy, Coal with CCS"
Canada Net-zero,Canada,Coal with CCUS,2046,0.0,GW,"Fossil energy, Coal with CCS"
Canada Net-zero,Canada,Coal with CCUS,2047,0.0,GW,"Fossil energy, Coal with CCS"
Canada Net-zero,Canada,Coal with CCUS,2048,0.0,GW,"Fossil energy, Coal with CCS"
Canada Net-zero,Canada,Coal with CCUS,2049,0.0,GW,"Fossil energy, Coal with CCS"
Canada Net-zero,Canada,Coal with CCUS,2050,0.0,GW,"Fossil energy, Coal with CCS"
Global Net-zero,Canada,Bioenergy,2020,2.5241,GW,"Biomass, Aggregated"
Canada Net-zero,Canada,Hydro,2021,83.123,GW,"Hydroelectricity, Aggregated"
Canada Net-zero,Canada,Hydro,2022,83.728,GW,"Hydroelectricity, Aggregated"
Canada Net-zero,Canada,Hydro,2023,83.728,GW,"Hydroelectricity, Aggregated"
Canada Net-zero,Canada,Hydro,2024,83.7875,GW,"Hydroelectricity, Aggregated"
Canada Net-zero,Canada,Hydro,2025,84.9125,GW,"Hydroelectricity, Aggregated"
Canada Net-zero,Canada,Hydro,2026,85.8225,GW,"Hydroelectricity, Aggregated"
Canada Net-zero,Canada,Hydro,2027,86.6225,GW,"Hydroelectricity, Aggregated"
Canada Net-zero,Canada,Hydro,2028,87.5225,GW,"Hydroelectricity, Aggregated"
Canada Net-zero,Canada,Hydro,2029,88.437,GW,"Hydroelectricity, Aggregated"
Canada Net-zero,Canada,Hydro,2030,89.237,GW,"Hydroelectricity, Aggregated"
Canada Net-zero,Canada,Hydro,2031,89.867,GW,"Hydroelectricity, Aggregated"
Canada Net-zero,Canada,Hydro,2032,90.412,GW,"Hydroelectricity, Aggregated"
Canada Net-zero,Canada,Hydro,2033,90.942,GW,"Hydroelectricity, Aggregated"
Canada Net-zero,Canada,Hydro,2034,91.612,GW,"Hydroelectricity, Aggregated"
Canada Net-zero,Canada,Hydro,2035,92.149,GW,"Hydroelectricity, Aggregated"
Canada Net-zero,Canada,Hydro,2036,92.149,GW,"Hydroelectricity, Aggregated"
Canada Net-zero,Canada,Hydro,2037,92.149,GW,"Hydroelectricity, Aggregated"
Canada Net-zero,Canada,Hydro,2038,92.149,GW,"Hydroelectricity, Aggregated"
Canada Net-zero,Canada,Hydro,2039,92.149,GW,"Hydroelectricity, Aggregated"
Canada Net-zero,Canada,Hydro,2040,92.152,GW,"Hydroelectricity, Aggregated"
Canada Net-zero,Canada,Hydro,2041,92.252,GW,"Hydroelectricity, Aggregated"
Canada Net-zero,Canada,Hydro,2042,92.452,GW,"Hydroelectricity, Aggregated"
Canada Net-zero,Canada,Hydro,2043,92.552,GW,"Hydroelectricity, Aggregated"
Canada Net-zero,Canada,Hydro,2044,92.752,GW,"Hydroelectricity, Aggregated"
Canada Net-zero,Canada,Hydro,2045,92.852,GW,"Hydroelectricity, Aggregated"
Canada Net-zero,Canada,Hydro,2046,92.852,GW,"Hydroelectricity, Aggregated"
Canada Net-zero,Canada,Hydro,2047,92.852,GW,"Hydroelectricity, Aggregated"
Canada Net-zero,Canada,Hydro,2048,92.852,GW,"Hydroelectricity, Aggregated"
Canada Net-zero,Canada,Hydro,2049,92.852,GW,"Hydroelectricity, Aggregated"
Canada Net-zero,Canada,Hydro,2050,92.852,GW,"Hydroelectricity, Aggregated"
Canada Net-zero,Canada,Bioenergy with CCUS,2020,0.0,GW,"Biomass with CCS, Aggregated"
Canada Net-zero,Canada,Hydrogen,2021,0.0,GW,"Fossil energy, Hydrogen"
Canada Net-zero,Canada,Hydrogen,2022,0.0,GW,"Fossil energy, Hydrogen"
Canada Net-zero,Canada,Hydrogen,2023,0.0,GW,"Fossil energy, Hydrogen"
Canada Net-zero,Canada,Hydrogen,2024,0.0,GW,"Fossil energy, Hydrogen"
Canada Net-zero,Canada,Hydrogen,2025,0.0,GW,"Fossil energy, Hydrogen"
Canada Net-zero,Canada,Hydrogen,2026,0.0,GW,"Fossil energy, Hydrogen"
Canada Net-zero,Canada,Hydrogen,2027,0.0,GW,"Fossil energy, Hydrogen"
Canada Net-zero,Canada,Hydrogen,2028,0.0,GW,"Fossil energy, Hydrogen"
Canada Net-zero,Canada,Hydrogen,2029,0.0,GW,"Fossil energy, Hydrogen"
Canada Net-zero,Canada,Hydrogen,2030,0.0,GW,"Fossil energy, Hydrogen"
Canada Net-zero,Canada,Hydrogen,2031,0.0,GW,"Fossil energy, Hydrogen"
Canada Net-zero,Canada,Hydrogen,2032,0.0,GW,"Fossil energy, Hydrogen"
Canada Net-zero,Canada,Hydrogen,2033,0.0,GW,"Fossil energy, Hydrogen"
Canada Net-zero,Canada,Hydrogen,2034,0.0,GW,"Fossil energy, Hydrogen"
Canada Net-zero,Canada,Hydrogen,2035,0.0,GW,"Fossil energy, Hydrogen"
Canada Net-zero,Canada,Hydrogen,2036,0.0,GW,"Fossil energy, Hydrogen"
Canada Net-zero,Canada,Hydrogen,2037,0.0,GW,"Fossil energy, Hydrogen"
Canada Net-zero,Canada,Hydrogen,2038,0.0,GW,"Fossil energy, Hydrogen"
Canada Net-zero,Canada,Hydrogen,2039,0.0,GW,"Fossil energy, Hydrogen"
Canada Net-zero,Canada,Hydrogen,2040,0.0,GW,"Fossil energy, Hydrogen"
Canada Net-zero,Canada,Hydrogen,2041,0.0574,GW,"Fossil energy, Hydrogen"
Canada Net-zero,Canada,Hydrogen,2042,0.115,GW,"Fossil energy, Hydrogen"
Canada Net-zero,Canada,Hydrogen,2043,0.172,GW,"Fossil energy, Hydrogen"
Canada Net-zero,Canada,Hydrogen,2044,0.23,GW,"Fossil energy, Hydrogen"
Canada Net-zero,Canada,Hydrogen,2045,0.287,GW,"Fossil energy, Hydrogen"
Canada Net-zero,Canada,Hydrogen,2046,0.653,GW,"Fossil energy, Hydrogen"
Canada Net-zero,Canada,Hydrogen,2047,1.02,GW,"Fossil energy, Hydrogen"
Canada Net-zero,Canada,Hydrogen,2048,1.38,GW,"Fossil energy, Hydrogen"
Canada Net-zero,Canada,Hydrogen,2049,1.75,GW,"Fossil energy, Hydrogen"
Canada Net-zero,Canada,Hydrogen,2050,2.12,GW,"Fossil energy, Hydrogen"
Global Net-zero,Canada,Bioenergy with CCUS,2020,0.0,GW,"Biomass with CCS, Aggregated"
Canada Net-zero,Canada,Natural Gas,2021,22.9816,GW,"Fossil energy, Natural gas"
Canada Net-zero,Canada,Natural Gas,2022,23.4816,GW,"Fossil energy, Natural gas"
Canada Net-zero,Canada,Natural Gas,2023,25.9116,GW,"Fossil energy, Natural gas"
Canada Net-zero,Canada,Natural Gas,2024,26.176599999999997,GW,"Fossil energy, Natural gas"
Canada Net-zero,Canada,Natural Gas,2025,29.865599999999997,GW,"Fossil energy, Natural gas"
Canada Net-zero,Canada,Natural Gas,2026,32.166599999999995,GW,"Fossil energy, Natural gas"
Canada Net-zero,Canada,Natural Gas,2027,34.4566,GW,"Fossil energy, Natural gas"
Canada Net-zero,Canada,Natural Gas,2028,36.3966,GW,"Fossil energy, Natural gas"
Canada Net-zero,Canada,Natural Gas,2029,38.6166,GW,"Fossil energy, Natural gas"
Canada Net-zero,Canada,Natural Gas,2030,40.5426,GW,"Fossil energy, Natural gas"
Canada Net-zero,Canada,Natural Gas,2031,41.742599999999996,GW,"Fossil energy, Natural gas"
Canada Net-zero,Canada,Natural Gas,2032,42.7926,GW,"Fossil energy, Natural gas"
Canada Net-zero,Canada,Natural Gas,2033,43.5306,GW,"Fossil energy, Natural gas"
Canada Net-zero,Canada,Natural Gas,2034,43.8306,GW,"Fossil energy, Natural gas"
Canada Net-zero,Canada,Natural Gas,2035,34.1328,GW,"Fossil energy, Natural gas"
Canada Net-zero,Canada,Natural Gas,2036,33.5428,GW,"Fossil energy, Natural gas"
Canada Net-zero,Canada,Natural Gas,2037,33.0328,GW,"Fossil energy, Natural gas"
Canada Net-zero,Canada,Natural Gas,2038,31.8098,GW,"Fossil energy, Natural gas"
Canada Net-zero,Canada,Natural Gas,2039,31.369799999999998,GW,"Fossil energy, Natural gas"
Canada Net-zero,Canada,Natural Gas,2040,30.0098,GW,"Fossil energy, Natural gas"
Canada Net-zero,Canada,Natural Gas,2041,29.7698,GW,"Fossil energy, Natural gas"
Canada Net-zero,Canada,Natural Gas,2042,29.3398,GW,"Fossil energy, Natural gas"
Canada Net-zero,Canada,Natural Gas,2043,29.3398,GW,"Fossil energy, Natural gas"
Canada Net-zero,Canada,Natural Gas,2044,29.209799999999998,GW,"Fossil energy, Natural gas"
Canada Net-zero,Canada,Natural Gas,2045,28.8198,GW,"Fossil energy, Natural gas"
Canada Net-zero,Canada,Natural Gas,2046,28.1298,GW,"Fossil energy, Natural gas"
Canada Net-zero,Canada,Natural Gas,2047,27.9798,GW,"Fossil energy, Natural gas"
Canada Net-zero,Canada,Natural Gas,2048,27.5698,GW,"Fossil energy, Natural gas"
Canada Net-zero,Canada,Natural Gas,2049,27.5598,GW,"Fossil energy, Natural gas"
Canada Net-zero,Canada,Natural Gas,2050,25.9098,GW,"Fossil energy, Natural gas"
Canada Net-zero,Canada,Coal and Coke,2020,7.814,GW,Coal and Coke
Canada Net-zero,Canada,Natural Gas with CCUS,2021,0.0,GW,"Fossil energy, Natural gas with CCS"
Canada Net-zero,Canada,Natural Gas with CCUS,2022,0.0,GW,"Fossil energy, Natural gas with CCS"
Canada Net-zero,Canada,Natural Gas with CCUS,2023,0.0,GW,"Fossil energy, Natural gas with CCS"
Canada Net-zero,Canada,Natural Gas with CCUS,2024,0.0,GW,"Fossil energy, Natural gas with CCS"
Canada Net-zero,Canada,Natural Gas with CCUS,2025,0.0,GW,"Fossil energy, Natural gas with CCS"
Canada Net-zero,Canada,Natural Gas with CCUS,2026,0.216,GW,"Fossil energy, Natural gas with CCS"
Canada Net-zero,Canada,Natural Gas with CCUS,2027,0.433,GW,"Fossil energy, Natural gas with CCS"
Canada Net-zero,Canada,Natural Gas with CCUS,2028,0.649,GW,"Fossil energy, Natural gas with CCS"
Canada Net-zero,Canada,Natural Gas with CCUS,2029,0.865,GW,"Fossil energy, Natural gas with CCS"
Canada Net-zero,Canada,Natural Gas with CCUS,2030,2.09,GW,"Fossil energy, Natural gas with CCS"
Canada Net-zero,Canada,Natural Gas with CCUS,2031,2.09,GW,"Fossil energy, Natural gas with CCS"
Canada Net-zero,Canada,Natural Gas with CCUS,2032,2.09,GW,"Fossil energy, Natural gas with CCS"
Canada Net-zero,Canada,Natural Gas with CCUS,2033,2.09,GW,"Fossil energy, Natural gas with CCS"
Canada Net-zero,Canada,Natural Gas with CCUS,2034,2.09,GW,"Fossil energy, Natural gas with CCS"
Canada Net-zero,Canada,Natural Gas with CCUS,2035,4.3033,GW,"Fossil energy, Natural gas with CCS"
Canada Net-zero,Canada,Natural Gas with CCUS,2036,5.6476999999999995,GW,"Fossil energy, Natural gas with CCS"
Canada Net-zero,Canada,Natural Gas with CCUS,2037,7.002,GW,"Fossil energy, Natural gas with CCS"
Canada Net-zero,Canada,Natural Gas with CCUS,2038,8.347,GW,"Fossil energy, Natural gas with CCS"
Canada Net-zero,Canada,Natural Gas with CCUS,2039,9.691,GW,"Fossil energy, Natural gas with CCS"
Canada Net-zero,Canada,Natural Gas with CCUS,2040,11.036,GW,"Fossil energy, Natural gas with CCS"
Canada Net-zero,Canada,Natural Gas with CCUS,2041,12.278,GW,"Fossil energy, Natural gas with CCS"
Canada Net-zero,Canada,Natural Gas with CCUS,2042,13.53,GW,"Fossil energy, Natural gas with CCS"
Canada Net-zero,Canada,Natural Gas with CCUS,2043,14.763,GW,"Fossil energy, Natural gas with CCS"
Canada Net-zero,Canada,Natural Gas with CCUS,2044,16.005,GW,"Fossil energy, Natural gas with CCS"
Canada Net-zero,Canada,Natural Gas with CCUS,2045,17.237,GW,"Fossil energy, Natural gas with CCS"
Canada Net-zero,Canada,Natural Gas with CCUS,2046,17.454,GW,"Fossil energy, Natural gas with CCS"
Canada Net-zero,Canada,Natural Gas with CCUS,2047,17.672,GW,"Fossil energy, Natural gas with CCS"
Canada Net-zero,Canada,Natural Gas with CCUS,2048,17.89,GW,"Fossil energy, Natural gas with CCS"
Canada Net-zero,Canada,Natural Gas with CCUS,2049,18.108,GW,"Fossil energy, Natural gas with CCS"
Canada Net-zero,Canada,Natural Gas with CCUS,2050,18.327,GW,"Fossil energy, Natural gas with CCS"
Current Measures,Canada,Coal and Coke,2020,7.784,GW,Coal and Coke
Canada Net-zero,Canada,Offshore Wind,2021,0.0,GW,"Wind, Offshore"
Canada Net-zero,Canada,Offshore Wind,2022,0.0,GW,"Wind, Offshore"
Canada Net-zero,Canada,Offshore Wind,2023,0.0,GW,"Wind, Offshore"
Canada Net-zero,Canada,Offshore Wind,2024,0.0,GW,"Wind, Offshore"
Canada Net-zero,Canada,Offshore Wind,2025,0.0,GW,"Wind, Offshore"
Canada Net-zero,Canada,Offshore Wind,2026,0.4,GW,"Wind, Offshore"
Canada Net-zero,Canada,Offshore Wind,2027,0.8,GW,"Wind, Offshore"
Canada Net-zero,Canada,Offshore Wind,2028,1.2,GW,"Wind, Offshore"
Canada Net-zero,Canada,Offshore Wind,2029,1.6,GW,"Wind, Offshore"
Canada Net-zero,Canada,Offshore Wind,2030,2.0,GW,"Wind, Offshore"
Canada Net-zero,Canada,Offshore Wind,2031,2.6,GW,"Wind, Offshore"
Canada Net-zero,Canada,Offshore Wind,2032,3.2,GW,"Wind, Offshore"
Canada Net-zero,Canada,Offshore Wind,2033,3.8,GW,"Wind, Offshore"
Canada Net-zero,Canada,Offshore Wind,2034,4.4,GW,"Wind, Offshore"
Canada Net-zero,Canada,Offshore Wind,2035,5.0,GW,"Wind, Offshore"
Canada Net-zero,Canada,Offshore Wind,2036,5.0,GW,"Wind, Offshore"
Canada Net-zero,Canada,Offshore Wind,2037,5.0,GW,"Wind, Offshore"
Canada Net-zero,Canada,Offshore Wind,2038,5.0,GW,"Wind, Offshore"
Canada Net-zero,Canada,Offshore Wind,2039,5.0,GW,"Wind, Offshore"
Canada Net-zero,Canada,Offshore Wind,2040,5.0,GW,"Wind, Offshore"
Canada Net-zero,Canada,Offshore Wind,2041,5.0,GW,"Wind, Offshore"
Canada Net-zero,Canada,Offshore Wind,2042,5.0,GW,"Wind, Offshore"
Canada Net-zero,Canada,Offshore Wind,2043,5.0,GW,"Wind, Offshore"
Canada Net-zero,Canada,Offshore Wind,2044,5.0,GW,"Wind, Offshore"
Canada Net-zero,Canada,Offshore Wind,2045,5.0,GW,"Wind, Offshore"
Canada Net-zero,Canada,Offshore Wind,2046,5.0,GW,"Wind, Offshore"
Canada Net-zero,Canada,Offshore Wind,2047,5.0,GW,"Wind, Offshore"
Canada Net-zero,Canada,Offshore Wind,2048,5.0,GW,"Wind, Offshore"
Canada Net-zero,Canada,Offshore Wind,2049,5.0,GW,"Wind, Offshore"
Canada Net-zero,Canada,Offshore Wind,2050,5.0,GW,"Wind, Offshore"
Global Net-zero,Canada,Coal and Coke,2020,7.814,GW,Coal and Coke
Canada Net-zero,Canada,Oil,2021,3.66085,GW,"Fossil energy, Natural gas"
Canada Net-zero,Canada,Oil,2022,3.66085,GW,"Fossil energy, Natural gas"
Canada Net-zero,Canada,Oil,2023,3.66085,GW,"Fossil energy, Natural gas"
Canada Net-zero,Canada,Oil,2024,3.66485,GW,"Fossil energy, Natural gas"
Canada Net-zero,Canada,Oil,2025,3.6748499999999997,GW,"Fossil energy, Natural gas"
Canada Net-zero,Canada,Oil,2026,3.55085,GW,"Fossil energy, Natural gas"
Canada Net-zero,Canada,Oil,2027,3.51885,GW,"Fossil energy, Natural gas"
Canada Net-zero,Canada,Oil,2028,3.51885,GW,"Fossil energy, Natural gas"
Canada Net-zero,Canada,Oil,2029,3.51885,GW,"Fossil energy, Natural gas"
Canada Net-zero,Canada,Oil,2030,3.49305,GW,"Fossil energy, Natural gas"
Canada Net-zero,Canada,Oil,2031,3.00605,GW,"Fossil energy, Natural gas"
Canada Net-zero,Canada,Oil,2032,2.99005,GW,"Fossil energy, Natural gas"
Canada Net-zero,Canada,Oil,2033,2.99005,GW,"Fossil energy, Natural gas"
Canada Net-zero,Canada,Oil,2034,2.99005,GW,"Fossil energy, Natural gas"
Canada Net-zero,Canada,Oil,2035,2.99005,GW,"Fossil energy, Natural gas"
Canada Net-zero,Canada,Oil,2036,1.8650499999999999,GW,"Fossil energy, Natural gas"
Canada Net-zero,Canada,Oil,2037,1.8650499999999999,GW,"Fossil energy, Natural gas"
Canada Net-zero,Canada,Oil,2038,1.8650499999999999,GW,"Fossil energy, Natural gas"
Canada Net-zero,Canada,Oil,2039,1.8650499999999999,GW,"Fossil energy, Natural gas"
Canada Net-zero,Canada,Oil,2040,1.8650499999999999,GW,"Fossil energy, Natural gas"
Canada Net-zero,Canada,Oil,2041,1.81005,GW,"Fossil energy, Natural gas"
Canada Net-zero,Canada,Oil,2042,1.81005,GW,"Fossil energy, Natural gas"
Canada Net-zero,Canada,Oil,2043,1.81005,GW,"Fossil energy, Natural gas"
