Scenario,Region,Variable,Year,Value,Unit,Associated_MI
Canada Net-zero,Canada,Bioenergy,2021,2.5431,GW,"Biomass, Aggregated"
Canada Net-zero,Canada,Bioenergy,2022,2.5431,GW,"Biomass, Aggregated"
Canada Net-zero,Canada,Bioenergy,2023,2.5431,GW,"Biomass, Aggregated"
Canada Net-zero,Canada,Bioenergy,2024,2.5431,GW,"Biomass, Aggregated"
Canada Net-zero,Canada,Bioenergy,2025,2.6936,GW,"Biomass, Aggregated"
Canada Net-zero,Canada,Bioenergy,2026,2.6936,GW,"Biomass, Aggregated"
Canada Net-zero,Canada,Bioenergy,2027,2.6936,GW,"Biomass, Aggregated"
Canada Net-zero,Canada,Bioenergy,2028,2.6936,GW,"Biomass, Aggregated"
Canada Net-zero,Canada,Bioenergy,2029,2.6936,GW,"Biomass, Aggregated"
Canada Net-zero,Canada,Bioenergy,2030,2.6936,GW,"Biomass, Aggregated"
Canada Net-zero,Canada,Bioenergy,2031,2.6936,GW,"Biomass, Aggregated"
Canada Net-zero,Canada,Bioenergy,2032,2.6936,GW,"Biomass, Aggregated"
Canada Net-zero,Canada,Bioenergy,2033,2.6936,GW,"Biomass, Aggregated"
Canada Net-zero,Canada,Bioenergy,2034,2.6936,GW,"Biomass, Aggregated"
Canada Net-zero,Canada,Bioenergy,2035,2.6936,GW,"Biomass, Aggregated"
Canada Net-zero,Canada,Bioenergy,2036,2.6936,GW,"Biomass, Aggregated"
Canada Net-zero,Canada,Bioenergy,2037,2.6936,GW,"Biomass, Aggregated"
Canada Net-zero,Canada,Bioenergy,2038,2.6936,GW,"Biomass, Aggregated"
Canada Net-zero,Canada,Bioenergy,2039,2.6936,GW,"Biomass, Aggregated"
Canada Net-zero,Canada,Bioenergy,2040,2.6936,GW,"Biomass, Aggregated"
Canada Net-zero,Canada,Bioenergy,2041,3.1066,GW,"Biomass, Aggregated"
Canada Net-zero,Canada,Bioenergy,2042,3.5265999999999997,GW,"Biomass, Aggregated"
Canada Net-zero,Canada,Bioenergy,2043,3.9366,GW,"Biomass, Aggregated"
Canada Net-zero,Canada,Bioenergy,2044,4.3566,GW,"Biomass, Aggregated"
Canada Net-zero,Canada,Bioenergy,2045,4.7766,GW,"Biomass, Aggregated"
Canada Net-zero,Canada,Bioenergy,2046,5.0966000000000005,GW,"Biomass, Aggregated"
Canada Net-zero,Canada,Bioenergy,2047,5.416600000000001,GW,"Biomass, Aggregated"
Canada Net-zero,Canada,Bioenergy,2048,5.7366,GW,"Biomass, Aggregated"
Canada Net-zero,Canada,Bioenergy,2049,6.0666,GW,"Biomass, Aggregated"
Canada Net-zero,Canada,Bioenergy,2050,6.3866000000000005,GW,"Biomass, Aggregated"
Canada Net-zero,Canada,Bioenergy with CCUS,2021,0.0,GW,"Biomass with CCS, Aggregated"
Canada Net-zero,Canada,Bioenergy with CCUS,2022,0.0,GW,"Biomass with CCS, Aggregated"
Canada Net-zero,Canada,Bioenergy with CCUS,2023,0.0,GW,"Biomass with CCS, Aggregated"
Canada Net-zero,Canada,Bioenergy with CCUS,2024,0.0,GW,"Biomass with CCS, Aggregated"
Canada Net-zero,Canada,Bioenergy with CCUS,2025,0.0,GW,"Biomass with CCS, Aggregated"
Canada Net-zero,Canada,Bioenergy with CCUS,2026,0.0,GW,"Biomass with CCS, Aggregated"
