AN,CLAS,MARQ_VEH,MODEL_VEH,ANNEE_MOD,MASSE_NETTE,TYP_CARBU
2022,Automobile ou camion léger (usage commercial),NISSA,LEAF,2021.0,1746.0,Électricité
2022,Automobile ou camion léger (promenade),VOLVO,XC40,2022.0,2150.0,Électricité
2022,Automobile ou camion léger (promenade),CHEVR,BOLT,2023.0,1637.0,Électricité
2022,Automobile ou camion léger (promenade),FORD,MUSTA,2021.0,2195.0,Électricité
2022,Automobile ou camion léger (promenade),TESLA,MODEL,2021.0,2003.0,Électricité
2022,Automobile ou camion léger (promenade),NISSA,LEAF,2023.0,1620.0,Électricité
2022,Automobile ou camion léger (usage commercial),BMW,IX,2022.0,2567.0,Électricité
2022,Automobile ou camion léger (promenade),HYUND,KONA,2021.0,1685.0,Électricité
2022,Automobile ou camion léger (promenade),TESLA,MODEL,2022.0,1640.0,Électricité
2022,Automobile ou camion léger (promenade),TESLA,MODEL,2021.0,2003.0,Électricité
2022,Automobile ou camion léger (promenade),TESLA,MODEL,2021.0,1640.0,Électricité
2022,Automobile ou camion léger (promenade),TESLA,MODEL,2021.0,1645.0,Électricité
2022,Automobile ou camion léger (promenade),TOYOT,RAV4,2021.0,1950.0,Électricité
2022,Automobile ou camion léger (promenade),CHEVR,BOLT,2023.0,1637.0,Électricité
2022,Automobile ou camion léger (usage commercial),TESLA,MODEL,2022.0,2003.0,Électricité
2022,Automobile ou camion léger (promenade),HYUND,KONA,2021.0,1685.0,Électricité
2022,Automobile ou camion léger (promenade),HYUND,KONA,2021.0,1685.0,Électricité
2022,Automobile ou camion léger (promenade),TESLA,MODEL,2021.0,1640.0,Électricité
2022,Automobile ou camion léger (promenade),TESLA,MODEL,2022.0,1640.0,Électricité
2022,Automobile ou camion léger (promenade),TOYOT,RAV4,2021.0,1950.0,Électricité
2022,Automobile ou camion léger (promenade),TESLA,MODEL,2021.0,1645.0,Électricité
2022,Automobile ou camion léger (promenade),HYUND,KONA,2023.0,1685.0,Électricité
2022,Automobile ou camion léger (promenade),NISSA,LEAF,2021.0,1765.0,Électricité
2022,Automobile ou camion léger (promenade),CHEVR,BOLT,2023.0,1684.0,Électricité
2022,Automobile ou camion léger (promenade),TESLA,S,2022.0,2333.0,Électricité
2022,Automobile ou camion léger (promenade),VOLKS,ID4,2021.0,2116.0,Électricité
2022,Automobile ou camion léger (promenade),KIA,SOUL,2022.0,1612.0,Électricité
2022,Automobile ou camion léger (promenade),TESLA,MODEL,2021.0,1640.0,Électricité
2022,Automobile ou camion léger (promenade),KIA,NIRO,2021.0,1754.0,Électricité
2022,Automobile ou camion léger (promenade),HYUND,KONA,2023.0,1685.0,Électricité
2022,Automobile ou camion léger (promenade),FORD,MUSTA,2022.0,2041.0,Électricité
2022,Automobile ou camion léger (promenade),HYUND,KONA,2023.0,1685.0,Électricité
2022,Automobile ou camion léger (promenade),TESLA,MODEL,2022.0,2009.0,Électricité
2022,Automobile ou camion léger (promenade),TESLA,MODEL,2022.0,1640.0,Électricité
2022,Autobus scolaire,LION,LIONC,2023.0,11793.0,Électricité
2022,Automobile ou camion léger (promenade),CHEVR,BOLT,2022.0,1673.0,Électricité
2022,Automobile ou camion léger (promenade),FORD,MUSTA,2022.0,1959.0,Électricité
