Country,Parameter,Mode,Powertrain,Year,Unit,Value
Canada,EV sales,2 and 3 wheelers,BEV,2024,Vehicles,170.0
Canada,EV sales,Buses,BEV,2024,Vehicles,210.0
Canada,EV sales,Buses,FCEV,2024,Vehicles,13.0
Canada,EV sales,Cars,BEV,2024,Vehicles,190000.0
Canada,EV sales,Cars,PHEV,2024,Vehicles,62000.0
Canada,EV sales,Cars,FCEV,2024,Vehicles,20.0
Canada,EV sales,Trucks,BEV,2024,Vehicles,2000.0
Canada,EV sales,Trucks,FCEV,2024,Vehicles,6.0
Canada,EV sales,Vans,BEV,2024,Vehicles,11000.0
Canada,EV sales,Vans,PHEV,2024,Vehicles,6400.0
