Scenario,Year,Metal,Metal_demand_t,Metal_demand_kg
Canada Net-zero,2020,Cobalt,1093.069646,1093069.646
Canada Net-zero,2020,Copper,1706501.9857950965,1706501985.7950964
Canada Net-zero,2020,Neodymium,0.0,0.0
Canada Net-zero,2020,Nickel,627366.8602930799,627366860.2930799
Canada Net-zero,2025,Cobalt,18850.015793232087,18850015.793232087
Canada Net-zero,2025,Copper,1979060.5276715574,1979060527.6715574
Canada Net-zero,2025,Graphite,122.56916926167548,122569.16926167549
Canada Net-zero,2025,Lithium,5254.539715667328,5254539.715667328
Canada Net-zero,2025,Neodymium,325.3847622304488,325384.76223044883
Canada Net-zero,2025,Nickel,662165.6282453409,662165628.245341
Canada Net-zero,2030,Cobalt,107299.478467,107299478.467
Canada Net-zero,2030,Copper,2453055.1685863435,2453055168.586344
Canada Net-zero,2030,Graphite,381.9932276370746,381993.2276370746
Canada Net-zero,2030,Lithium,21093.74111212397,21093741.11212397
Canada Net-zero,2030,Neodymium,2154.8829337155257,2154882.9337155255
Canada Net-zero,2030,Nickel,726026.3096027606,726026309.6027606
Canada Net-zero,2035,Cobalt,245413.72664412824,245413726.64412823
Canada Net-zero,2035,Copper,3846366.098658599,3846366098.658599
Canada Net-zero,2035,Graphite,433.97618818948104,433976.18818948104
Canada Net-zero,2035,Lithium,36719.135755547235,36719135.75554723
Canada Net-zero,2035,Neodymium,4963.692314413418,4963692.314413418
Canada Net-zero,2035,Nickel,788642.3787491103,788642378.7491102
Canada Net-zero,2040,Cobalt,380992.5727352868,380992572.7352868
Canada Net-zero,2040,Copper,4630171.78073921,4630171780.739209
Canada Net-zero,2040,Graphite,0.0,0.0
Canada Net-zero,2040,Lithium,40040.14300767164,40040143.00767164
Canada Net-zero,2040,Neodymium,7369.508604916164,7369508.604916164
Canada Net-zero,2040,Nickel,808793.1469908595,808793146.9908595
Current Measures,2020,Cobalt,1558.92364599999,1558923.64599999
Current Measures,2020,Copper,1720506.557534124,1720506557.534124
Current Measures,2020,Nickel,627368.2892930799,627368289.2930799
Current Measures,2025,Cobalt,17150.078930467113,17150078.930467114
Current Measures,2025,Copper,1947373.72090699,1947373720.90699
Current Measures,2025,Graphite,110.42936807575423,110429.36807575423
Current Measures,2025,Lithium,4734.10649533976,4734106.49533976
Current Measures,2025,Neodymium,293.1571935343378,293157.1935343378
Current Measures,2025,Nickel,660565.4025268554,660565402.5268553
Current Measures,2030,Cobalt,51198.2428406341,51198242.8406341
Current Measures,2030,Copper,2298393.6248489437,2298393624.8489437
Current Measures,2030,Graphite,179.71303463768115,179713.03463768115
Current Measures,2030,Lithium,9923.789095871085,9923789.095871085
Current Measures,2030,Neodymium,874.532501847396,874532.501847396
Current Measures,2030,Nickel,690765.0503286785,690765050.3286785
Current Measures,2035,Cobalt,93716.17137476508,93716171.37476508
Current Measures,2035,Copper,2757135.5546356644,2757135554.6356645
Current Measures,2035,Graphite,163.56254152688066,163562.54152688067
Current Measures,2035,Lithium,13839.181342884225,13839181.342884226
Current Measures,2035,Neodymium,1591.8796200665788,1591879.6200665787
Current Measures,2035,Nickel,702378.9630506838,702378963.0506839
Current Measures,2040,Cobalt,142268.1340022251,142268134.0022251
Current Measures,2040,Copper,3362236.90354354,3362236903.54354
Current Measures,2040,Graphite,0.0,0.0
Current Measures,2040,Lithium,14770.209592737541,14770209.59273754
Current Measures,2040,Neodymium,2445.5265200403355,2445526.5200403356
Current Measures,2040,Nickel,710144.3322183791,710144332.2183791
Global Net-zero,2020,Cobalt,1093.069646,1093069.646
Global Net-zero,2020,Copper,1706501.9857950965,1706501985.7950964
Global Net-zero,2020,Neodymium,0.0,0.0
Global Net-zero,2020,Nickel,627366.8602930799,627366860.2930799
Global Net-zero,2025,Cobalt,18682.705072766865,18682705.072766867
Global Net-zero,2025,Copper,1947172.3317932847,1947172331.7932847
Global Net-zero,2025,Graphite,122.12450981667911,122124.50981667911
Global Net-zero,2025,Lithium,5235.477167330305,5235477.167330305
Global Net-zero,2025,Neodymium,324.20432339207554,324204.32339207554
Global Net-zero,2025,Nickel,661714.6624653431,661714662.4653431
Global Net-zero,2030,Cobalt,101738.21451243518,101738214.51243518
Global Net-zero,2030,Copper,2366782.322784165,2366782322.784165
Global Net-zero,2030,Graphite,362.6962247415979,362696.2247415979
Global Net-zero,2030,Lithium,20028.156819347376,20028156.819347374
Global Net-zero,2030,Neodymium,2060.978469554862,2060978.469554862
Global Net-zero,2030,Nickel,714184.7709524047,714184770.9524047
Global Net-zero,2035,Cobalt,233436.6166535496,233436616.6535496
Global Net-zero,2035,Copper,3583249.982659819,3583249982.659819
Global Net-zero,2035,Graphite,412.95688615244154,412956.88615244156
Global Net-zero,2035,Lithium,34940.672729258054,34940672.72925805
Global Net-zero,2035,Neodymium,4759.121034043035,4759121.0340430355
Global Net-zero,2035,Nickel,785526.6318191374,785526631.8191373
Global Net-zero,2040,Cobalt,362476.8892651528,362476889.2651528
Global Net-zero,2040,Copper,4096052.8997684605,4096052899.7684608
Global Net-zero,2040,Graphite,0.0,0.0
Global Net-zero,2040,Lithium,38139.93186101886,38139931.86101886
Global Net-zero,2040,Neodymium,7054.887696956908,7054887.696956908
Global Net-zero,2040,Nickel,803959.9061350283,803959906.1350284
