Scenario,Year,Growth_Factor
Current Measures,2024,1.0
Current Measures,2025,1.430987036812683
Current Measures,2026,1.9289534259852197
Current Measures,2027,2.450371242146801
Current Measures,2028,3.0118728257671474
Current Measures,2029,3.6209955174025166
Current Measures,2030,4.2688520050537395
Current Measures,2031,4.860606794856262
Current Measures,2032,5.510903615500442
Current Measures,2033,6.214619498433687
Current Measures,2034,6.970733311410721
Current Measures,2035,7.770435625400232
Current Measures,2036,8.58522992782845
Current Measures,2037,9.413195105488153
Current Measures,2038,10.251068727392305
Current Measures,2039,11.094229737447861
Current Measures,2040,11.937338825524845
Current Measures,2041,12.725280811367453
Current Measures,2042,13.461698887138926
Current Measures,2043,14.148877619896503
Current Measures,2044,14.791360182765365
Current Measures,2045,15.391734021011095
Current Measures,2046,15.956134581768463
Current Measures,2047,16.486950276051854
Current Measures,2048,16.986889700410185
Current Measures,2049,17.457917236366153
Current Measures,2050,17.901581889613873
Canada Net-zero,2024,1.0
Canada Net-zero,2025,1.5882993390493436
Canada Net-zero,2026,2.4627660518701298
Canada Net-zero,2027,3.746927496612406
Canada Net-zero,2028,5.30262900963911
Canada Net-zero,2029,7.13163391499358
Canada Net-zero,2030,9.073757832886585
Canada Net-zero,2031,11.171208113657478
Canada Net-zero,2032,13.452748241113854
Canada Net-zero,2033,15.860519884733048
Canada Net-zero,2034,18.356475482103445
Canada Net-zero,2035,20.617092408830825
Canada Net-zero,2036,23.10788821235629
Canada Net-zero,2037,25.554180793969195
Canada Net-zero,2038,27.9177569098042
Canada Net-zero,2039,30.182651968354843
Canada Net-zero,2040,32.36059384966775
Canada Net-zero,2041,34.4358842360014
Canada Net-zero,2042,36.34217362232913
Canada Net-zero,2043,38.13894756773709
Canada Net-zero,2044,39.81582731258765
Canada Net-zero,2045,41.40829827395429
Canada Net-zero,2046,42.92611198882834
Canada Net-zero,2047,44.331256397966854
Canada Net-zero,2048,45.66327019686507
Canada Net-zero,2049,46.918999520707224
Canada Net-zero,2050,48.119752187882774
Global Net-zero,2024,1.0
Global Net-zero,2025,1.5825372676667608
Global Net-zero,2026,2.4317565336352485
Global Net-zero,2027,3.6595315595810924
Global Net-zero,2028,5.130425040098122
Global Net-zero,2029,6.8296832248325305
Global Net-zero,2030,8.615382347391263
Global Net-zero,2031,10.58867581847344
Global Net-zero,2032,12.764960137748844
Global Net-zero,2033,15.077837531842626
Global Net-zero,2034,17.456464053212567
Global Net-zero,2035,19.61851943579583
Global Net-zero,2036,22.013562600245304
Global Net-zero,2037,24.367652608736673
Global Net-zero,2038,26.620665864704215
Global Net-zero,2039,28.770827436550615
Global Net-zero,2040,30.824836069440515
Global Net-zero,2041,32.772637748844225
Global Net-zero,2042,34.55611968110198
Global Net-zero,2043,36.22653080479291
Global Net-zero,2044,37.785993961694494
Global Net-zero,2045,39.21100457590339
Global Net-zero,2046,40.55472214359845
Global Net-zero,2047,41.857516039248985
Global Net-zero,2048,43.11107179922634
Global Net-zero,2049,44.31382677611095
Global Net-zero,2050,45.47099372582319
