material,stage,country,year,value,unit,note
aluminum,smelter,Argentina,2011,440000,t,
aluminum,smelter,Argentina,2012,450000,t,
aluminum,smelter,Argentina,2013,425000,t,
aluminum,smelter,Australia,1994,1320000,t,
aluminum,smelter,Australia,1995,1297000,t,
aluminum,smelter,Australia,1996,1372000,t,
aluminum,smelter,Australia,1997,1500000,t,
aluminum,smelter,Australia,1998,1630000,t,
aluminum,smelter,Australia,1999,1720000,t,
aluminum,smelter,Australia,2000,1770000,t,
aluminum,smelter,Australia,2001,1798000,t,
aluminum,smelter,Australia,2002,1836000,t,
aluminum,smelter,Australia,2003,1860000,t,
aluminum,smelter,Australia,2004,1900000,t,
aluminum,smelter,Australia,2005,1900000,t,
aluminum,smelter,Australia,2006,1930000,t,
aluminum,smelter,Australia,2007,1960000,t,
aluminum,smelter,Australia,2008,1970000,t,
aluminum,smelter,Australia,2009,1940000,t,
aluminum,smelter,Australia,2010,1930000,t,
aluminum,smelter,Australia,2011,1950000,t,
aluminum,smelter,Australia,2012,1860000,t,
aluminum,smelter,Australia,2013,1780000,t,
aluminum,smelter,Australia,2014,1700000,t,
aluminum,smelter,Australia,2015,1650000,t,
aluminum,smelter,Australia,2016,1630000,t,
aluminum,smelter,Australia,2017,1450000,t,
aluminum,smelter,Australia,2018,1580000,t,
aluminum,smelter,Australia,2019,1570000,t,
aluminum,smelter,Australia,2020,1580000,t,
aluminum,smelter,Australia,2021,1570000,t,
aluminum,smelter,Australia,2022,1500000,t,
aluminum,smelter,Bahrain,2005,751000,t,
aluminum,smelter,Bahrain,2006,872000,t,
aluminum,smelter,Bahrain,2007,873000,t,
aluminum,smelter,Bahrain,2008,865000,t,
aluminum,smelter,Bahrain,2009,870000,t,
aluminum,smelter,Bahrain,2010,870000,t,
aluminum,smelter,Bahrain,2011,881000,t,
aluminum,smelter,Bahrain,2012,890000,t,
aluminum,smelter,Bahrain,2013,913000,t,
aluminum,smelter,Bahrain,2014,931000,t,
aluminum,smelter,Bahrain,2015,961000,t,
aluminum,smelter,Bahrain,2016,971000,t,
aluminum,smelter,Bahrain,2017,981000,t,
aluminum,smelter,Bahrain,2018,1010000,t,
aluminum,smelter,Bahrain,2019,1370000,t,
aluminum,smelter,Bahrain,2020,1550000,t,
aluminum,smelter,Bahrain,2021,1560000,t,
aluminum,smelter,Bahrain,2022,1600000,t,
aluminum,smelter,Brazil,1994,1200000,t,
aluminum,smelter,Brazil,1995,1188000,t,
aluminum,smelter,Brazil,1996,1190000,t,
aluminum,smelter,Brazil,1997,1200000,t,
aluminum,smelter,Brazil,1998,1200000,t,
aluminum,smelter,Brazil,1999,1250000,t,
aluminum,smelter,Brazil,2000,1280000,t,
aluminum,smelter,Brazil,2001,1131000,t,
aluminum,smelter,Brazil,2002,1318000,t,
aluminum,smelter,Brazil,2003,1380000,t,
aluminum,smelter,Brazil,2004,1460000,t,
aluminum,smelter,Brazil,2005,1500000,t,
aluminum,smelter,Brazil,2006,1498000,t,
aluminum,smelter,Brazil,2007,1660000,t,
aluminum,smelter,Brazil,2008,1660000,t,
aluminum,smelter,Brazil,2009,1540000,t,
aluminum,smelter,Brazil,2010,1540000,t,
aluminum,smelter,Brazil,2011,1440000,t,
aluminum,smelter,Brazil,2012,1440000,t,
aluminum,smelter,Brazil,2013,1300000,t,
aluminum,smelter,Brazil,2014,962000,t,
aluminum,smelter,Brazil,2015,772000,t,
aluminum,smelter,Brazil,2016,793000,t,
aluminum,smelter,Brazil,2017,801000,t,
aluminum,smelter,Canada,1994,2250000,t,
aluminum,smelter,Canada,1995,2172000,t,
aluminum,smelter,Canada,1996,2282000,t,
aluminum,smelter,Canada,1997,2330000,t,
aluminum,smelter,Canada,1998,2370000,t,
aluminum,smelter,Canada,1999,2390000,t,
aluminum,smelter,Canada,2000,2370000,t,
aluminum,smelter,Canada,2001,2583000,t,
aluminum,smelter,Canada,2002,2709000,t,
aluminum,smelter,Canada,2003,2790000,t,
aluminum,smelter,Canada,2004,2590000,t,
aluminum,smelter,Canada,2005,2890000,t,
aluminum,smelter,Canada,2006,3050000,t,
aluminum,smelter,Canada,2007,3090000,t,
aluminum,smelter,Canada,2008,3120000,t,
aluminum,smelter,Canada,2009,3030000,t,
aluminum,smelter,Canada,2010,2960000,t,
aluminum,smelter,Canada,2011,2980000,t,
aluminum,smelter,Canada,2012,2780000,t,
aluminum,smelter,Canada,2013,2970000,t,
aluminum,smelter,Canada,2014,2860000,t,
aluminum,smelter,Canada,2015,2880000,t,
aluminum,smelter,Canada,2016,3210000,t,
aluminum,smelter,Canada,2017,3210000,t,
aluminum,smelter,Canada,2018,2920000,t,
aluminum,smelter,Canada,2019,2850000,t,
aluminum,smelter,Canada,2020,3120000,t,
aluminum,smelter,Canada,2021,3140000,t,
aluminum,smelter,Canada,2022,3000000,t,
aluminum,smelter,China,1996,1780000,t,
aluminum,smelter,China,1997,2000000,t,
aluminum,smelter,China,1998,2100000,t,
aluminum,smelter,China,1999,2450000,t,
aluminum,smelter,China,2000,2550000,t,
aluminum,smelter,China,2001,3250000,t,
aluminum,smelter,China,2002,4300000,t,
aluminum,smelter,China,2003,5450000,t,
aluminum,smelter,China,2004,6670000,t,
aluminum,smelter,China,2005,7800000,t,
aluminum,smelter,China,2006,9350000,t,
