material,stage,country,year,value,unit,note
aluminum,smelter,China,2007,12600000,t,
aluminum,smelter,China,2008,13200000,t,
aluminum,smelter,China,2009,12900000,t,
aluminum,smelter,China,2010,16200000,t,
aluminum,smelter,China,2011,18100000,t,
aluminum,smelter,China,2012,20300000,t,
aluminum,smelter,China,2013,22100000,t,
aluminum,smelter,China,2014,24400000,t,
aluminum,smelter,China,2015,31400000,t,
aluminum,smelter,China,2016,31900000,t,
aluminum,smelter,China,2017,32300000,t,
aluminum,smelter,China,2018,35800000,t,
aluminum,smelter,China,2019,35000000,t,
aluminum,smelter,China,2020,37100000,t,
aluminum,smelter,China,2021,38900000,t,
aluminum,smelter,China,2022,40000000,t,
aluminum,smelter,France,1994,400000,t,
aluminum,smelter,France,1995,400000,t,
aluminum,smelter,France,1996,365000,t,
aluminum,smelter,France,1997,390000,t,
aluminum,smelter,France,1998,400000,t,
aluminum,smelter,France,1999,400000,t,
aluminum,smelter,France,2000,441000,t,
aluminum,smelter,France,2001,462000,t,
aluminum,smelter,France,2002,450000,t,
aluminum,smelter,Germany,2005,668000,t,
aluminum,smelter,Germany,2006,537000,t,
aluminum,smelter,Germany,2007,550000,t,
aluminum,smelter,Germany,2008,550000,t,
aluminum,smelter,Germany,2009,292000,t,
aluminum,smelter,Germany,2010,394000,t,
aluminum,smelter,Germany,2011,433000,t,
aluminum,smelter,Germany,2012,410000,t,
aluminum,smelter,Germany,2013,492000,t,
aluminum,smelter,Iceland,2006,320000,t,
aluminum,smelter,Iceland,2007,398000,t,
aluminum,smelter,Iceland,2008,787000,t,
aluminum,smelter,Iceland,2009,785000,t,
aluminum,smelter,Iceland,2010,780000,t,
aluminum,smelter,Iceland,2011,800000,t,
aluminum,smelter,Iceland,2012,820000,t,
aluminum,smelter,Iceland,2013,800000,t,
aluminum,smelter,Iceland,2014,800000,t,
aluminum,smelter,Iceland,2015,800000,t,
aluminum,smelter,Iceland,2016,855000,t,
aluminum,smelter,Iceland,2017,870000,t,
aluminum,smelter,Iceland,2018,885000,t,
aluminum,smelter,Iceland,2019,845000,t,
aluminum,smelter,Iceland,2020,860000,t,
aluminum,smelter,Iceland,2021,750000,t,
aluminum,smelter,Iceland,2022,750000,t,
aluminum,smelter,India,2005,898000,t,
aluminum,smelter,India,2006,1100000,t,
aluminum,smelter,India,2007,1220000,t,
aluminum,smelter,India,2008,1310000,t,
aluminum,smelter,India,2009,1400000,t,
aluminum,smelter,India,2010,1450000,t,
aluminum,smelter,India,2011,1670000,t,
aluminum,smelter,India,2012,1700000,t,
aluminum,smelter,India,2013,1700000,t,
aluminum,smelter,India,2014,1940000,t,
aluminum,smelter,India,2015,2360000,t,
aluminum,smelter,India,2016,2720000,t,
aluminum,smelter,India,2017,3270000,t,
aluminum,smelter,India,2018,3680000,t,
aluminum,smelter,India,2019,3640000,t,
aluminum,smelter,India,2020,3560000,t,
aluminum,smelter,India,2021,3970000,t,
aluminum,smelter,India,2022,4000000,t,
aluminum,smelter,Malaysia,2016,620000,t,
aluminum,smelter,Mozambique,2003,405000,t,
aluminum,smelter,Mozambique,2004,547000,t,
aluminum,smelter,Mozambique,2005,555000,t,
aluminum,smelter,Mozambique,2006,564000,t,
aluminum,smelter,Mozambique,2007,564000,t,
aluminum,smelter,Mozambique,2008,536000,t,
aluminum,smelter,Mozambique,2009,545000,t,
aluminum,smelter,Mozambique,2010,557000,t,
aluminum,smelter,Mozambique,2011,562000,t,
aluminum,smelter,Mozambique,2012,564000,t,
aluminum,smelter,Mozambique,2013,570000,t,
aluminum,smelter,Norway,1994,857000,t,
aluminum,smelter,Norway,1995,847000,t,
aluminum,smelter,Norway,1996,874000,t,
aluminum,smelter,Norway,1997,919000,t,
aluminum,smelter,Norway,1998,996000,t,
aluminum,smelter,Norway,1999,1030000,t,
aluminum,smelter,Norway,2000,1030000,t,
aluminum,smelter,Norway,2001,1068000,t,
aluminum,smelter,Norway,2002,1096000,t,
aluminum,smelter,Norway,2003,1150000,t,
aluminum,smelter,Norway,2004,1320000,t,
aluminum,smelter,Norway,2005,1370000,t,
aluminum,smelter,Norway,2006,1330000,t,
aluminum,smelter,Norway,2007,1300000,t,
aluminum,smelter,Norway,2008,1360000,t,
aluminum,smelter,Norway,2009,1130000,t,
aluminum,smelter,Norway,2010,800000,t,
aluminum,smelter,Norway,2011,1070000,t,
aluminum,smelter,Norway,2012,1150000,t,
aluminum,smelter,Norway,2013,1100000,t,
aluminum,smelter,Norway,2014,1330000,t,
aluminum,smelter,Norway,2015,1230000,t,
aluminum,smelter,Norway,2016,1220000,t,
aluminum,smelter,Norway,2017,1230000,t,
aluminum,smelter,Norway,2018,1300000,t,
aluminum,smelter,Norway,2019,1400000,t,
aluminum,smelter,Norway,2020,1330000,t,
aluminum,smelter,Norway,2021,1400000,t,
aluminum,smelter,Norway,2022,1400000,t,
aluminum,smelter,Other countries,1994,6570000,t,
aluminum,smelter,Other countries,1995,6770000,t,
aluminum,smelter,Other countries,1996,5210000,t,
aluminum,smelter,Other countries,1997,5290000,t,
aluminum,smelter,Other countries,1998,5470000,t,
aluminum,smelter,Other countries,1999,5650000,t,
aluminum,smelter,Other countries,2000,6440000,t,
aluminum,smelter,Other countries,2001,6890000,t,
aluminum,smelter,Other countries,2002,6910000,t,
aluminum,smelter,Other countries,2003,7160000,t,
aluminum,smelter,Other countries,2004,7710000,t,
aluminum,smelter,Other countries,2005,5190000,t,
aluminum,smelter,Other countries,2006,4510000,t,
aluminum,smelter,Other countries,2007,4460000,t,
aluminum,smelter,Other countries,2008,4850000,t,
aluminum,smelter,Other countries,2009,4900000,t,
aluminum,smelter,Other countries,2010,4900000,t,
aluminum,smelter,Other countries,2011,5100000,t,
aluminum,smelter,Other countries,2012,4540000,t,
aluminum,smelter,Other countries,2013,4290000,t,
aluminum,smelter,Other countries,2014,6000000,t,
aluminum,smelter,Other countries,2015,5900000,t,
aluminum,smelter,Other countries,2016,8100000,t,
aluminum,smelter,Other countries,2017,8380000,t,
aluminum,smelter,Other countries,2018,9260000,t,
aluminum,smelter,Other countries,2019,9200000,t,
aluminum,smelter,Other countries,2020,8880000,t,
aluminum,smelter,Other countries,2021,9140000,t,
aluminum,smelter,Other countries,2022,9100000,t,
aluminum,smelter,Qatar,2010,190000,t,
aluminum,smelter,Qatar,2011,390000,t,
aluminum,smelter,Qatar,2012,604000,t,
aluminum,smelter,Qatar,2013,600000,t,
aluminum,smelter,Qatar,2014,640000,t,
aluminum,smelter,Qatar,2015,610000,t,
aluminum,smelter,Russia,1994,2670000,t,
aluminum,smelter,Russia,1995,2722000,t,
aluminum,smelter,Russia,1996,2800000,t,
aluminum,smelter,Russia,1997,2910000,t,
aluminum,smelter,Russia,1998,3010000,t,
aluminum,smelter,Russia,1999,3150000,t,
aluminum,smelter,Russia,2000,3240000,t,
aluminum,smelter,Russia,2001,3300000,t,
aluminum,smelter,Russia,2002,3347000,t,
aluminum,smelter,Russia,2003,3480000,t,
aluminum,smelter,Russia,2004,3590000,t,
aluminum,smelter,Russia,2005,3650000,t,
aluminum,smelter,Russia,2006,3720000,t,
aluminum,smelter,Russia,2007,3960000,t,
aluminum,smelter,Russia,2008,3800000,t,
aluminum,smelter,Russia,2009,3820000,t,
aluminum,smelter,Russia,2010,3950000,t,
aluminum,smelter,Russia,2011,3990000,t,
aluminum,smelter,Russia,2012,3850000,t,
aluminum,smelter,Russia,2013,3720000,t,
aluminum,smelter,Russia,2014,3490000,t,
aluminum,smelter,Russia,2015,3530000,t,
aluminum,smelter,Russia,2016,3560000,t,
aluminum,smelter,Russia,2017,3580000,t,
aluminum,smelter,Russia,2018,3630000,t,
aluminum,smelter,Russia,2019,3640000,t,
aluminum,smelter,Russia,2020,3640000,t,
aluminum,smelter,Russia,2021,3640000,t,
aluminum,smelter,Russia,2022,3700000,t,
aluminum,smelter,Saudi Arabia,2013,190000,t,
aluminum,smelter,Saudi Arabia,2014,665000,t,
aluminum,smelter,Saudi Arabia,2015,682000,t,
aluminum,smelter,South Africa,1996,620000,t,
aluminum,smelter,South Africa,1997,660000,t,
aluminum,smelter,South Africa,1998,650000,t,
aluminum,smelter,South Africa,1999,687000,t,
aluminum,smelter,South Africa,2000,671000,t,
aluminum,smelter,South Africa,2001,663000,t,
aluminum,smelter,South Africa,2002,676000,t,
aluminum,smelter,South Africa,2003,738000,t,
aluminum,smelter,South Africa,2004,863000,t,
aluminum,smelter,South Africa,2005,851000,t,
aluminum,smelter,South Africa,2006,895000,t,
aluminum,smelter,South Africa,2007,899000,t,
aluminum,smelter,South Africa,2008,811000,t,
aluminum,smelter,South Africa,2009,809000,t,
aluminum,smelter,South Africa,2010,807000,t,
aluminum,smelter,South Africa,2011,809000,t,
aluminum,smelter,South Africa,2012,665000,t,
aluminum,smelter,South Africa,2013,822000,t,
aluminum,smelter,South Africa,2014,745000,t,
aluminum,smelter,South Africa,2015,695000,t,
aluminum,smelter,Tajikistan,2006,414000,t,
aluminum,smelter,Tajikistan,2007,419000,t,
aluminum,smelter,United Arab Emirates,2005,750000,t,
aluminum,smelter,United Arab Emirates,2006,730000,t,
aluminum,smelter,United Arab Emirates,2007,890000,t,
aluminum,smelter,United Arab Emirates,2008,910000,t,
aluminum,smelter,United Arab Emirates,2009,1010000,t,
aluminum,smelter,United Arab Emirates,2010,1400000,t,
aluminum,smelter,United Arab Emirates,2011,1800000,t,
aluminum,smelter,United Arab Emirates,2012,1820000,t,
aluminum,smelter,United Arab Emirates,2013,1860000,t,
aluminum,smelter,United Arab Emirates,2014,2330000,t,
aluminum,smelter,United Arab Emirates,2015,2400000,t,
aluminum,smelter,United Arab Emirates,2016,2500000,t,
aluminum,smelter,United Arab Emirates,2017,2600000,t,
aluminum,smelter,United Arab Emirates,2018,2640000,t,
aluminum,smelter,United Arab Emirates,2019,2600000,t,
aluminum,smelter,United Arab Emirates,2020,2520000,t,
aluminum,smelter,United Arab Emirates,2021,2540000,t,
aluminum,smelter,United Arab Emirates,2022,2700000,t,
aluminum,smelter,United States,1994,3300000,t,
aluminum,smelter,United States,1995,3375000,t,
aluminum,smelter,United States,1996,3577000,t,
aluminum,smelter,United States,1997,3600000,t,
aluminum,smelter,United States,1998,3713000,t,
aluminum,smelter,United States,1999,3779000,t,
aluminum,smelter,United States,2000,3668000,t,
aluminum,smelter,United States,2001,2637000,t,
aluminum,smelter,United States,2002,2707000,t,
aluminum,smelter,United States,2003,2703000,t,
aluminum,smelter,United States,2004,2516000,t,
aluminum,smelter,United States,2005,2481000,t,
aluminum,smelter,United States,2006,2284000,t,
aluminum,smelter,United States,2007,2554000,t,
aluminum,smelter,United States,2008,2658000,t,
aluminum,smelter,United States,2009,1727000,t,
aluminum,smelter,United States,2010,1726000,t,
aluminum,smelter,United States,2011,1986000,t,
aluminum,smelter,United States,2012,2070000,t,
aluminum,smelter,United States,2013,1946000,t,
aluminum,smelter,United States,2014,1710000,t,
aluminum,smelter,United States,2015,1587000,t,
aluminum,smelter,United States,2016,841000,t,
aluminum,smelter,United States,2017,741000,t,
aluminum,smelter,United States,2018,891000,t,
aluminum,smelter,United States,2019,1093000,t,
aluminum,smelter,United States,2020,1012000,t,
aluminum,smelter,United States,2021,889000,t,
aluminum,smelter,United States,2022,860000,t,
aluminum,smelter,Venezuela,1994,580000,t,
aluminum,smelter,Venezuela,1995,630000,t,
aluminum,smelter,Venezuela,1996,600000,t,
aluminum,smelter,Venezuela,1997,640000,t,
aluminum,smelter,Venezuela,1998,580000,t,
aluminum,smelter,Venezuela,1999,570000,t,
aluminum,smelter,Venezuela,2000,570000,t,
aluminum,smelter,Venezuela,2001,570000,t,
aluminum,smelter,Venezuela,2002,570000,t,
aluminum,smelter,Venezuela,2003,601000,t,
aluminum,smelter,Venezuela,2004,624000,t,
aluminum,smelter,Venezuela,2005,610000,t,
aluminum,smelter,Venezuela,2006,610000,t,
aluminum,smelter,Venezuela,2007,610000,t,
aluminum,smelter,Venezuela,2008,610000,t,
aluminum,smelter,Venezuela,2009,610000,t,
aluminum,smelter,Venezuela,2010,335000,t,
aluminum,smelter,World,1994,19100000,t,
aluminum,smelter,World,1995,19400000,t,
aluminum,smelter,World,1996,20700000,t,
aluminum,smelter,World,1997,21400000,t,
aluminum,smelter,World,1998,22100000,t,
aluminum,smelter,World,1999,23100000,t,
aluminum,smelter,World,2000,24000000,t,
aluminum,smelter,World,2001,24400000,t,
aluminum,smelter,World,2002,25900000,t,
aluminum,smelter,World,2003,27700000,t,
aluminum,smelter,World,2004,29800000,t,
aluminum,smelter,World,2005,31900000,t,
aluminum,smelter,World,2006,33700000,t,
aluminum,smelter,World,2007,38000000,t,
aluminum,smelter,World,2008,39000000,t,
aluminum,smelter,World,2009,37300000,t,
aluminum,smelter,World,2010,40800000,t,
aluminum,smelter,World,2011,44400000,t,
aluminum,smelter,World,2012,45900000,t,
aluminum,smelter,World,2013,47600000,t,
aluminum,smelter,World,2014,50500000,t,
aluminum,smelter,World,2015,57500000,t,
aluminum,smelter,World,2016,58900000,t,
aluminum,smelter,World,2017,59400000,t,
aluminum,smelter,World,2018,63600000,t,
aluminum,smelter,World,2019,63200000,t,
aluminum,smelter,World,2020,65100000,t,
aluminum,smelter,World,2021,67500000,t,
aluminum,smelter,World,2022,69000000,t,
antimony,mine,Australia,2014,5800,t,
antimony,mine,Australia,2015,3700,t,
antimony,mine,Australia,2016,5000,t,
antimony,mine,Australia,2017,3120,t,
antimony,mine,Australia,2018,2170,t,
antimony,mine,Australia,2019,2030,t,
antimony,mine,Australia,2020,3900,t,
antimony,mine,Australia,2021,4000,t,
antimony,mine,Australia,2022,4000,t,
antimony,mine,Bolivia,1994,5700,t,
antimony,mine,Bolivia,1995,6500,t,
antimony,mine,Bolivia,1996,6600,t,
antimony,mine,Bolivia,1997,8700,t,
antimony,mine,Bolivia,1998,6000,t,
antimony,mine,Bolivia,1999,4800,t,
antimony,mine,Bolivia,2000,2800,t,
antimony,mine,Bolivia,2001,2000,t,
antimony,mine,Bolivia,2002,2000,t,
antimony,mine,Bolivia,2003,2300,t,
antimony,mine,Bolivia,2004,3000,t,
antimony,mine,Bolivia,2005,3100,t,
antimony,mine,Bolivia,2006,6600,t,
antimony,mine,Bolivia,2007,5500,t,
antimony,mine,Bolivia,2008,3500,t,
antimony,mine,Bolivia,2009,3000,t,
antimony,mine,Bolivia,2010,5000,t,
antimony,mine,Bolivia,2011,3900,t,
antimony,mine,Bolivia,2012,4000,t,
antimony,mine,Bolivia,2013,5000,t,
antimony,mine,Bolivia,2014,5500,t,
antimony,mine,Bolivia,2015,4200,t,
antimony,mine,Bolivia,2016,2670,t,
antimony,mine,Bolivia,2017,2700,t,
antimony,mine,Bolivia,2018,3110,t,
antimony,mine,Bolivia,2019,3000,t,
antimony,mine,Bolivia,2020,2600,t,
antimony,mine,Bolivia,2021,2600,t,
antimony,mine,Bolivia,2022,2500,t,
antimony,mine,Burma,2013,9000,t,
antimony,mine,Burma,2014,3300,t,
antimony,mine,Burma,2015,3000,t,
antimony,mine,Burma,2016,3000,t,
antimony,mine,Burma,2017,1000,t,
antimony,mine,Burma,2018,2640,t,
antimony,mine,Burma,2019,6000,t,
antimony,mine,Burma,2020,2200,t,
antimony,mine,Burma,2021,4600,t,
antimony,mine,Burma,2022,4000,t,
antimony,mine,Canada,2019,1,t,
antimony,mine,Canada,2020,2,t,
antimony,mine,Canada,2021,2,t,
antimony,mine,Canada,2022,2,t,
antimony,mine,China,1994,80000,t,
antimony,mine,China,1995,75000,t,
antimony,mine,China,1996,98000,t,
antimony,mine,China,1997,120000,t,
antimony,mine,China,1998,120000,t,
antimony,mine,China,1999,100000,t,
antimony,mine,China,2000,100000,t,
antimony,mine,China,2001,135000,t,
antimony,mine,China,2002,130000,t,
antimony,mine,China,2003,70000,t,
antimony,mine,China,2004,100000,t,
antimony,mine,China,2005,120000,t,
antimony,mine,China,2006,110000,t,
antimony,mine,China,2007,150000,t,
antimony,mine,China,2008,180000,t,
antimony,mine,China,2009,140000,t,
antimony,mine,China,2010,150000,t,
antimony,mine,China,2011,150000,t,
antimony,mine,China,2012,145000,t,
antimony,mine,China,2013,120000,t,
antimony,mine,China,2014,120000,t,
antimony,mine,China,2015,110000,t,
antimony,mine,China,2016,108000,t,
antimony,mine,China,2017,98000,t,
antimony,mine,China,2018,89600,t,
antimony,mine,China,2019,89000,t,
antimony,mine,China,2020,61000,t,
antimony,mine,China,2021,61000,t,
antimony,mine,China,2022,60000,t,
antimony,mine,Ecuador,2018,50,t,
antimony,mine,Ecuador,2019,1,t,
antimony,mine,Guatemala,2005,1000,t,
antimony,mine,Guatemala,2006,1000,t,
antimony,mine,Guatemala,2016,25,t,
antimony,mine,Guatemala,2017,25,t,
antimony,mine,Guatemala,2018,25,t,
antimony,mine,Guatemala,2019,25,t,
antimony,mine,Guatemala,2020,80,t,
antimony,mine,Guatemala,2021,80,t,
antimony,mine,Guatemala,2022,80,t,
antimony,mine,Honduras,2018,12,t,
antimony,mine,Iran,2016,200,t,
antimony,mine,Iran,2017,300,t,
antimony,mine,Iran,2018,600,t,
antimony,mine,Iran,2019,500,t,
antimony,mine,Iran,2020,400,t,
antimony,mine,Iran,2021,400,t,
antimony,mine,Iran,2022,400,t,
antimony,mine,Kazakhstan,2016,573,t,
antimony,mine,Kazakhstan,2017,700,t,
antimony,mine,Kazakhstan,2018,300,t,
antimony,mine,Kazakhstan,2019,300,t,
antimony,mine,Kazakhstan,2020,100,t,
antimony,mine,Kazakhstan,2021,100,t,
antimony,mine,Kazakhstan,2022,100,t,
antimony,mine,Kyrgyzstan,1994,2500,t,
antimony,mine,Kyrgyzstan,1995,2500,t,
antimony,mine,Kyrgyzstan,1996,1200,t,
antimony,mine,Kyrgyzstan,1997,1200,t,
antimony,mine,Kyrgyzstan,1998,100,t,
antimony,mine,Kyrgyzstan,1999,100,t,
antimony,mine,Kyrgyzstan,2000,200,t,
antimony,mine,Kyrgyzstan,2001,150,t,
antimony,mine,Kyrgyzstan,2018,370,t,
antimony,mine,Laos,2016,242,t,
antimony,mine,Laos,2017,340,t,
antimony,mine,Laos,2018,300,t,
antimony,mine,Laos,2019,140,t,
antimony,mine,Mexico,1994,1500,t,
antimony,mine,Mexico,1995,1500,t,
antimony,mine,Mexico,2016,196,t,
antimony,mine,Mexico,2017,243,t,
antimony,mine,Mexico,2018,260,t,
antimony,mine,Mexico,2019,300,t,
antimony,mine,Mexico,2020,700,t,
antimony,mine,Mexico,2021,750,t,
antimony,mine,Mexico,2022,800,t,
antimony,mine,Other countries,1994,4000,t,
antimony,mine,Other countries,1995,6000,t,
antimony,mine,Other countries,1996,9000,t,
antimony,mine,Other countries,1997,7000,t,
antimony,mine,Other countries,1998,5000,t,
antimony,mine,Other countries,1999,4900,t,
antimony,mine,Other countries,2000,3000,t,
antimony,mine,Other countries,2001,2950,t,
antimony,mine,Other countries,2002,2000,t,
antimony,mine,Other countries,2003,2200,t,
antimony,mine,Other countries,2004,2800,t,
antimony,mine,Other countries,2005,3300,t,
antimony,mine,Other countries,2006,4000,t,
antimony,mine,Other countries,2007,4000,t,
antimony,mine,Other countries,2008,5000,t,
antimony,mine,Other countries,2009,3300,t,
antimony,mine,Other countries,2010,4000,t,
antimony,mine,Other countries,2011,14100,t,
antimony,mine,Other countries,2012,13000,t,
antimony,mine,Other countries,2013,5200,t,
antimony,mine,Other countries,2014,4000,t,
antimony,mine,Pakistan,2016,114,t,
antimony,mine,Pakistan,2017,60,t,
antimony,mine,Pakistan,2018,28,t,
antimony,mine,Pakistan,2020,17,t,
antimony,mine,Pakistan,2021,66,t,
antimony,mine,Pakistan,2022,70,t,
antimony,mine,Russia,1994,7000,t,
antimony,mine,Russia,1995,7000,t,
antimony,mine,Russia,1996,6000,t,
antimony,mine,Russia,1997,6000,t,
antimony,mine,Russia,1998,4000,t,
antimony,mine,Russia,1999,4000,t,
antimony,mine,Russia,2000,5000,t,
antimony,mine,Russia,2001,4500,t,
antimony,mine,Russia,2002,5000,t,
antimony,mine,Russia,2005,3000,t,
antimony,mine,Russia,2006,3500,t,
antimony,mine,Russia,2007,3500,t,
antimony,mine,Russia,2008,3500,t,
antimony,mine,Russia,2009,3500,t,
antimony,mine,Russia,2010,3000,t,
antimony,mine,Russia,2011,3300,t,
antimony,mine,Russia,2012,6500,t,
antimony,mine,Russia,2013,7000,t,
antimony,mine,Russia,2014,9000,t,
antimony,mine,Russia,2015,9000,t,
antimony,mine,Russia,2016,8000,t,
antimony,mine,Russia,2017,14400,t,
antimony,mine,Russia,2018,30000,t,
antimony,mine,Russia,2019,30000,t,
antimony,mine,Russia,2020,25000,t,
antimony,mine,Russia,2021,20000,t,
antimony,mine,Russia,2022,20000,t,
antimony,mine,South Africa,1994,5600,t,
antimony,mine,South Africa,1995,4500,t,
antimony,mine,South Africa,1996,4800,t,
antimony,mine,South Africa,1997,5000,t,
antimony,mine,South Africa,1998,3500,t,
antimony,mine,South Africa,1999,6000,t,
antimony,mine,South Africa,2000,5000,t,
antimony,mine,South Africa,2001,3900,t,
antimony,mine,South Africa,2002,5800,t,
antimony,mine,South Africa,2003,5300,t,
antimony,mine,South Africa,2004,5300,t,
antimony,mine,South Africa,2005,5000,t,
antimony,mine,South Africa,2006,6000,t,
antimony,mine,South Africa,2007,4400,t,
antimony,mine,South Africa,2008,2800,t,
antimony,mine,South Africa,2009,2800,t,
antimony,mine,South Africa,2010,3000,t,
antimony,mine,South Africa,2011,4700,t,
antimony,mine,South Africa,2012,3800,t,
antimony,mine,South Africa,2013,3100,t,
antimony,mine,South Africa,2014,1600,t,
antimony,mine,South Africa,2016,1200,t,
antimony,mine,Tajikistan,1996,500,t,
antimony,mine,Tajikistan,1997,1200,t,
antimony,mine,Tajikistan,1998,1200,t,
antimony,mine,Tajikistan,1999,1800,t,
antimony,mine,Tajikistan,2000,2000,t,
antimony,mine,Tajikistan,2001,2500,t,
antimony,mine,Tajikistan,2002,3000,t,
antimony,mine,Tajikistan,2003,1800,t,
antimony,mine,Tajikistan,2004,2000,t,
antimony,mine,Tajikistan,2005,2000,t,
antimony,mine,Tajikistan,2006,2000,t,
antimony,mine,Tajikistan,2007,2000,t,
antimony,mine,Tajikistan,2008,2000,t,
antimony,mine,Tajikistan,2009,2000,t,
antimony,mine,Tajikistan,2010,2000,t,
antimony,mine,Tajikistan,2011,2000,t,
antimony,mine,Tajikistan,2012,2000,t,
antimony,mine,Tajikistan,2013,4700,t,
