Country,Mode,Powertrain,Year,EV_sales,Mass_vehicule,Scenario,Technology,Sub-technology,Metal,Metal intensity (g/vehicle),Metal_demand_t,Fiability_used,Comment
Canada,2 and 3 wheelers,BEV,2024,170.0,0.09808569078889517,Current Measures,Vehicle body,BEV,Aluminum,127302.0,2.122705783497349,No comparison,
Canada,2 and 3 wheelers,BEV,2024,170.0,0.09808569078889517,Current Measures,Vehicle body,BEV,Chromium,11850.0,0.19759362409422934,No comparison,
Canada,2 and 3 wheelers,BEV,2024,170.0,0.09808569078889517,Current Measures,Vehicle body,BEV,Iron,902171.34,15.043316845953347,No comparison,
Canada,2 and 3 wheelers,BEV,2024,170.0,0.09808569078889517,Current Measures,Vehicle body,BEV,Lead,310.0,0.005169115904574776,No comparison,
Canada,2 and 3 wheelers,BEV,2024,170.0,0.09808569078889517,Current Measures,Vehicle body,BEV,Zinc,100.0,0.0016674567434112179,No comparison,
Canada,Buses,BEV,2024,210.0,5.6752374182090595,Current Measures,Vehicle body,BEV,Aluminum,127302.0,151.71850550069846,No comparison,
Canada,Buses,BEV,2024,210.0,5.6752374182090595,Current Measures,Vehicle body,BEV,Chromium,11850.0,14.122828315213246,No comparison,
Canada,Buses,BEV,2024,210.0,5.6752374182090595,Current Measures,Vehicle body,BEV,Iron,902171.34,1075.2076747447995,No comparison,
Canada,Buses,BEV,2024,210.0,5.6752374182090595,Current Measures,Vehicle body,BEV,Lead,310.0,0.3694579559254098,No comparison,
Canada,Buses,BEV,2024,210.0,5.6752374182090595,Current Measures,Vehicle body,BEV,Zinc,100.0,0.11917998578239025,No comparison,
Canada,Cars,BEV,2024,190000.0,1.0,Current Measures,Vehicle body,BEV,Aluminum,127302.0,24187.38,No comparison,
Canada,Cars,BEV,2024,190000.0,1.0,Current Measures,Vehicle body,BEV,Chromium,11850.0,2251.5,No comparison,
Canada,Cars,BEV,2024,190000.0,1.0,Current Measures,Vehicle body,BEV,Iron,902171.34,171412.5546,No comparison,
Canada,Cars,BEV,2024,190000.0,1.0,Current Measures,Vehicle body,BEV,Lead,310.0,58.9,No comparison,
Canada,Cars,BEV,2024,190000.0,1.0,Current Measures,Vehicle body,BEV,Zinc,100.0,19.0,No comparison,
Canada,Trucks,BEV,2024,2000.0,3.6892781241792854,Current Measures,Vehicle body,BEV,Aluminum,127302.0,939.3049675285428,No comparison,
