x,y,pole_of_inaccessibility_latitude,cgi_commodity_url,quantity,yearbook_table_trans,yearbook_table_id,bgs_commodity_code,units,bgs_statistic_type_trans,bgs_commodity_trans,concat_table_notes_code,year,country_trans,bgs_sub_commodity_trans,concat_table_notes_text,country_iso2_code,erml_group,concat_figure_notes_code,country_iso3_code,erml_commodity,concat_figure_notes_text,pole_of_inaccessibility_longitude,erml_sub_commodity
132.72135600000001,-23.137734,-23.137734,http://resource.geosciml.org/classifier/cgi/commodity-code/cobalt,2100,Production of refined cobalt,37,617,tonnes (metric),Production,"cobalt, refined",,2023-01-01 00:00:00,Australia,,,AU,Cobalt,,AUS,Cobalt (refined),,132.721356,Refined
132.72135600000001,-23.137734,-23.137734,http://resource.geosciml.org/classifier/cgi/commodity-code/cobalt,5222,Mine production of cobalt,36,848,tonnes (metal content),Production,"cobalt, mine",,2023-01-01 00:00:00,Australia,,,AU,Cobalt,,AUS,"Cobalt (mine production, metal content)",,132.721356,Ores and concentrates (metal content)
-49.028009999999995,-12.408957,-12.408957,http://resource.geosciml.org/classifier/cgi/commodity-code/cobalt,0,Production of refined cobalt,37,617,tonnes (metric),Production,"cobalt, refined",,2023-01-01 00:00:00,Brazil,,,BR,Cobalt,,BRA,Cobalt (refined),,-49.028010,Refined
-119.677633,59.205383999999995,59.205384,http://resource.geosciml.org/classifier/cgi/commodity-code/cobalt,5099,Mine production of cobalt,36,848,tonnes (metal content),Production,"cobalt, mine",,2023-01-01 00:00:00,Canada,,,CA,Cobalt,,CAN,"Cobalt (mine production, metal content)",,-119.677633,Ores and concentrates (metal content)
24.0,-3.0,-3.000000,http://resource.geosciml.org/classifier/cgi/commodity-code/cobalt,139838,Mine production of cobalt,36,848,tonnes (metal content),Production,"cobalt, mine",,2023-01-01 00:00:00,"Congo, Democratic Republic",,,CD,Cobalt,,COD,"Cobalt (mine production, metal content)",,24.000000,Ores and concentrates (metal content)
27.679723,63.018750999999995,63.018751,http://resource.geosciml.org/classifier/cgi/commodity-code/cobalt,10627,Production of refined cobalt,37,617,tonnes (metric),Production,"cobalt, refined",,2023-01-01 00:00:00,Finland,,,FI,Cobalt,,FIN,Cobalt (refined),,27.679723,Refined
2.452177,46.620563,46.620563,http://resource.geosciml.org/classifier/cgi/commodity-code/cobalt,150,Production of refined cobalt,37,617,tonnes (metric),Production,"cobalt, refined",,2023-01-01 00:00:00,France,,,FR,Cobalt,*,FRA,Cobalt (refined),Estimates.,2.452177,Refined
114.218582,-0.9663149999999999,-0.966315,http://resource.geosciml.org/classifier/cgi/commodity-code/cobalt,1533,Production of refined cobalt,37,617,tonnes (metric),Production,"cobalt, refined",,2023-01-01 00:00:00,Indonesia,,,ID,Cobalt,,IDN,Cobalt (refined),,114.218582,Refined
142.796275,43.46076,43.460760,http://resource.geosciml.org/classifier/cgi/commodity-code/cobalt,3900,Production of refined cobalt,37,617,tonnes (metric),Production,"cobalt, refined",,2023-01-01 00:00:00,Japan,,,JP,Cobalt,*,JPN,Cobalt (refined),Estimates.,142.796275,Refined
46.863413,-18.771091,-18.771091,http://resource.geosciml.org/classifier/cgi/commodity-code/cobalt,3500,Mine production of cobalt,36,848,tonnes (metal content),Production,"cobalt, mine",,2023-01-01 00:00:00,Madagascar,,,MG,Cobalt,*,MDG,"Cobalt (mine production, metal content)",Estimates.,46.863413,Ores and concentrates (metal content)
164.564138,-20.661227999999998,-20.661228,http://resource.geosciml.org/classifier/cgi/commodity-code/cobalt,0,Production of refined cobalt,37,617,tonnes (metric),Production,"cobalt, refined",,2023-01-01 00:00:00,New Caledonia,,,NC,Cobalt,k,NCL,Cobalt (refined),Carbonate.,164.564138,Refined
164.564138,-20.661227999999998,-20.661228,http://resource.geosciml.org/classifier/cgi/commodity-code/cobalt,2200,Mine production of cobalt,36,848,tonnes (metal content),Production,"cobalt, mine",,2023-01-01 00:00:00,New Caledonia,,,NC,Cobalt,*,NCL,"Cobalt (mine production, metal content)",Estimates.,164.564138,Ores and concentrates (metal content)
143.89105,-5.631615,-5.631615,http://resource.geosciml.org/classifier/cgi/commodity-code/cobalt,3072,Mine production of cobalt,36,848,tonnes (metal content),Production,"cobalt, mine",,2023-01-01 00:00:00,Papua New Guinea,,,PG,Cobalt,,PNG,"Cobalt (mine production, metal content)",,143.891050,Ores and concentrates (metal content)
121.417908,17.522436,17.522436,http://resource.geosciml.org/classifier/cgi/commodity-code/cobalt,3300,Mine production of cobalt,36,848,tonnes (metal content),Production,"cobalt, mine",,2023-01-01 00:00:00,Philippines,,,PH,Cobalt,*,PHL,"Cobalt (mine production, metal content)",Estimates.,121.417908,Ores and concentrates (metal content)
