x,y,yearbook_table_id,quantity,yearbook_table_trans,bgs_commodity_code,units,bgs_statistic_type_trans,bgs_commodity_trans,concat_table_notes_code,country_trans,bgs_sub_commodity_trans,concat_table_notes_text,country_iso2_code,erml_group,concat_figure_notes_code,country_iso3_code,erml_commodity,concat_figure_notes_text,year,pole_of_inaccessibility_longitude,erml_sub_commodity,pole_of_inaccessibility_latitude,cgi_commodity_url
23.214465999999998,-30.457874999999998,103,39600,Smelter/refinery production of nickel,907,tonnes (metric),Production,"nickel, smelter/refinery",,South Africa,,,ZA,Nickel,*,ZAF,"Nickel, smelter/refinery",Estimates.,2023-01-01 00:00:00,23.214466,,-30.457875,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel
23.214465999999998,-30.457874999999998,102,29750,Mine production of nickel,19951,tonnes (metal content),Production,"nickel, mine",,South Africa,,,ZA,Nickel,,ZAF,"Nickel (mine production, metal content)",,2023-01-01 00:00:00,23.214466,Ores and concentates (metal content),-30.457875,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel
33.526313,39.351717,102,18388,Mine production of nickel,19951,tonnes (metal content),Production,"nickel, mine",,Turkey,,,TR,Nickel,,TUR,"Nickel (mine production, metal content)",,2023-01-01 00:00:00,33.526313,Ores and concentates (metal content),39.351717,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel
-97.834383,39.139831,102,17000,Mine production of nickel,19951,tonnes (metal content),Production,"nickel, mine",,USA,,,US,Nickel,*,USA,"Nickel (mine production, metal content)",Estimates.,2023-01-01 00:00:00,-97.834383,Ores and concentates (metal content),39.139831,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel
105.335928,21.894282,102,0,Mine production of nickel,19951,tonnes (metal content),Production,"nickel, mine",,Vietnam,,,VN,Nickel,,VNM,"Nickel (mine production, metal content)",,2023-01-01 00:00:00,105.335928,Ores and concentates (metal content),21.894282,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel
26.300237,-14.98326,102,7980,Mine production of nickel,19951,tonnes (metal content),Production,"nickel, mine",,Zambia,,,ZM,Nickel,,ZMB,"Nickel (mine production, metal content)",,2023-01-01 00:00:00,26.300237,Ores and concentates (metal content),-14.983260,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel
132.72135600000001,-23.137734,103,92300,Smelter/refinery production of nickel,907,tonnes (metric),Production,"nickel, smelter/refinery",,Australia,,,AU,Nickel,,AUS,"Nickel, smelter/refinery",,2023-01-01 00:00:00,132.721356,,-23.137734,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel
14.130671999999999,47.585656,103,800,Smelter/refinery production of nickel,907,tonnes (metric),Production,"nickel, smelter/refinery",,Austria,,,AT,Nickel,*,AUT,"Nickel, smelter/refinery",Estimates.,2023-01-01 00:00:00,14.130672,,47.585656,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel
-119.677633,59.205383999999995,103,130000,Smelter/refinery production of nickel,907,tonnes (metric),Production,"nickel, smelter/refinery",,Canada,,,CA,Nickel,*,CAN,"Nickel, smelter/refinery",Estimates.,2023-01-01 00:00:00,-119.677633,,59.205384,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel
109.537431,32.216659,102,112600,Mine production of nickel,19951,tonnes (metal content),Production,"nickel, mine",,China,,,CN,Nickel,,CHN,"Nickel (mine production, metal content)",,2023-01-01 00:00:00,109.537431,Ores and concentates (metal content),32.216659,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel
