x,y,country_iso3_code,erml_commodity,concat_figure_notes_text,pole_of_inaccessibility_longitude,erml_sub_commodity,pole_of_inaccessibility_latitude,cgi_commodity_url,year,yearbook_table_id,quantity,yearbook_table_trans,bgs_commodity_code,units,bgs_statistic_type_trans,bgs_commodity_trans,concat_table_notes_code,country_trans,bgs_sub_commodity_trans,concat_table_notes_text,country_iso2_code,erml_group,concat_figure_notes_code
-69.73191899999999,-26.162882999999997,CHL,"Copper (mine production, metal content)",,-69.731919,Ores and concentrates (metal content),-26.162883,http://resource.geosciml.org/classifier/cgi/commodity-code/copper,2023-01-01 00:00:00,40,5372694,Mine production of copper,19941,tonnes (metal content),Production,"copper, mine",,Chile,,,CL,Copper,
109.537431,32.216659,CHN,"Copper, smelter",,109.537431,,32.216659,http://resource.geosciml.org/classifier/cgi/commodity-code/copper,2023-01-01 00:00:00,41,11833000,Smelter production of copper,850,tonnes (metric),Production,"copper, smelter",,China,,,CN,Copper,
109.537431,32.216659,CHN,"Copper, refined",,109.537431,,32.216659,http://resource.geosciml.org/classifier/cgi/commodity-code/copper,2023-01-01 00:00:00,42,12988000,Production of refined copper,928,tonnes (metric),Production,"copper, refined",,China,,,CN,Copper,
69.217179,48.473662,KAZ,"Copper (mine production, metal content)",,69.217179,Ores and concentrates (metal content),48.473662,http://resource.geosciml.org/classifier/cgi/commodity-code/copper,2023-01-01 00:00:00,40,576900,Mine production of copper,19941,tonnes (metal content),Production,"copper, mine",,Kazakhstan,,,KZ,Copper,
127.0,40.0,PRK,"Copper (mine production, metal content)",Estimates.,127.000000,Ores and concentrates (metal content),40.000000,http://resource.geosciml.org/classifier/cgi/commodity-code/copper,2023-01-01 00:00:00,40,2000,Mine production of copper,19941,tonnes (metal content),Production,"copper, mine",,"Korea, Dem. P.R. of",,,KP,Copper,*
128.0,36.0,KOR,"Copper, smelter",Estimates.,128.000000,,36.000000,http://resource.geosciml.org/classifier/cgi/commodity-code/copper,2023-01-01 00:00:00,41,510000,Smelter production of copper,850,tonnes (metric),Production,"copper, smelter",,Korea (Rep. of),,,KR,Copper,*
128.0,36.0,KOR,"Copper, refined",,128.000000,,36.000000,http://resource.geosciml.org/classifier/cgi/commodity-code/copper,2023-01-01 00:00:00,42,604100,Production of refined copper,928,tonnes (metric),Production,"copper, refined",,Korea (Rep. of),,,KR,Copper,
102.461851,19.117967999999998,LAO,"Copper, refined",,102.461851,,19.117968,http://resource.geosciml.org/classifier/cgi/commodity-code/copper,2023-01-01 00:00:00,42,6518,Production of refined copper,928,tonnes (metric),Production,"copper, refined",,Laos,,,LA,Copper,
102.461851,19.117967999999998,LAO,"Copper (mine production, metal content)",,102.461851,Ores and concentrates (metal content),19.117968,http://resource.geosciml.org/classifier/cgi/commodity-code/copper,2023-01-01 00:00:00,40,50120,Mine production of copper,19941,tonnes (metal content),Production,"copper, mine",,Laos,,,LA,Copper,
-101.933344,23.629557,MEX,"Copper, smelter",,-101.933344,,23.629557,http://resource.geosciml.org/classifier/cgi/commodity-code/copper,2023-01-01 00:00:00,41,263613,Smelter production of copper,850,tonnes (metric),Production,"copper, smelter",,Mexico,,,MX,Copper,
-101.933344,23.629557,MEX,"Copper, refined",,-101.933344,,23.629557,http://resource.geosciml.org/classifier/cgi/commodity-code/copper,2023-01-01 00:00:00,42,403300,Production of refined copper,928,tonnes (metric),Production,"copper, refined",,Mexico,,,MX,Copper,
96.111983,21.798486,MMR,"Copper, refined",,96.111983,,21.798486,http://resource.geosciml.org/classifier/cgi/commodity-code/copper,2023-01-01 00:00:00,42,0,Production of refined copper,928,tonnes (metric),Production,"copper, refined",,Myanmar,,,MM,Copper,
16.971256999999998,-20.703654,NAM,"Copper, smelter",,16.971257,,-20.703654,http://resource.geosciml.org/classifier/cgi/commodity-code/copper,2023-01-01 00:00:00,41,35620,Smelter production of copper,850,tonnes (metric),Production,"copper, smelter",,Namibia,,,NA,Copper,
