x,y,country_trans,bgs_sub_commodity_trans,concat_table_notes_text,country_iso2_code,erml_group,concat_figure_notes_code,country_iso3_code,erml_commodity,concat_figure_notes_text,year,pole_of_inaccessibility_longitude,erml_sub_commodity,pole_of_inaccessibility_latitude,cgi_commodity_url,yearbook_table_id,quantity,yearbook_table_trans,bgs_commodity_code,units,bgs_statistic_type_trans,bgs_commodity_trans,concat_table_notes_code
132.72135600000001,-23.137734,Australia,Lithium minerals (Li content),,AU,,,AUS,,,2023-01-01 00:00:00,132.721356,,-23.137734,,84,91734,Production of lithium minerals,20300,tonnes (metric),Production,lithium minerals,
-64.684753,-16.706875999999998,Bolivia,Carbonate,,BO,Lithium,,BOL,Lithium,,2023-01-01 00:00:00,-64.684753,Carbonate,-16.706876,http://resource.geosciml.org/classifier/cgi/commodity-code/lithium,84,949,Production of lithium minerals,707,tonnes (metric),Production,lithium minerals,
-49.028009999999995,-12.408957,Brazil,Lithium minerals (Li content),,BR,,,BRA,,,2023-01-01 00:00:00,-49.028010,,-12.408957,,84,6612,Production of lithium minerals,20300,tonnes (metric),Production,lithium minerals,
-119.677633,59.205383999999995,Canada,Spodumene,,CA,Lithium,*,CAN,Lithium minerals,Estimates.,2023-01-01 00:00:00,-119.677633,Spodumene,59.205384,http://resource.geosciml.org/classifier/cgi/commodity-code/lithium,84,6000,Production of lithium minerals,896,tonnes (metric),Production,lithium minerals,
-119.677633,59.205383999999995,Canada,Lithium minerals (Li content),,CA,,,CAN,,,2023-01-01 00:00:00,-119.677633,,59.205384,,84,179,Production of lithium minerals,20300,tonnes (metric),Production,lithium minerals,
-69.73191899999999,-26.162882999999997,Chile,Carbonate,,CL,Lithium,,CHL,Lithium,,2023-01-01 00:00:00,-69.731919,Carbonate,-26.162883,http://resource.geosciml.org/classifier/cgi/commodity-code/lithium,84,220256,Production of lithium minerals,707,tonnes (metric),Production,lithium minerals,
16.971256999999998,-20.703654,Namibia,Lepidolite,,NA,Lithium,*,NAM,Lithium minerals,Estimates.,2023-01-01 00:00:00,16.971257,Lepidolite,-20.703654,http://resource.geosciml.org/classifier/cgi/commodity-code/lithium,84,300000,Production of lithium minerals,894,tonnes (metric),Production,lithium minerals,
8.075654,9.676734,Nigeria,Petalite,,NG,,*,NGA,,Estimates.,2023-01-01 00:00:00,8.075654,,9.676734,,84,130,Production of lithium minerals,895,tonnes (metric),Production,lithium minerals,
8.075654,9.676734,Nigeria,Spodumene,,NG,Lithium,,NGA,Lithium minerals,,2023-01-01 00:00:00,8.075654,Spodumene,9.676734,http://resource.geosciml.org/classifier/cgi/commodity-code/lithium,84,15495,Production of lithium minerals,896,tonnes (metric),Production,lithium minerals,
-8.263145999999999,39.866841,Portugal,Lithium minerals (Li content),,PT,,*,PRT,,Estimates.,2023-01-01 00:00:00,-8.263146,,39.866841,,84,132,Production of lithium minerals,20300,tonnes (metric),Production,lithium minerals,
-97.834383,39.139831,USA,Lithium minerals (Li content),,US,,*|c,USA,,Estimates.|Carbonate.,2023-01-01 00:00:00,-97.834383,,39.139831,,84,2300,Production of lithium minerals,20300,tonnes (metric),Production,lithium minerals,
29.851884,-19.002536,Zimbabwe,Petalite,,ZW,,,ZWE,,,2023-01-01 00:00:00,29.851884,,-19.002536,,84,301004,Production of lithium minerals,895,tonnes (metric),Production,lithium minerals,
29.851884,-19.002536,Zimbabwe,Spodumene,,ZW,Lithium,,ZWE,Lithium minerals,,2023-01-01 00:00:00,29.851884,Spodumene,-19.002536,http://resource.geosciml.org/classifier/cgi/commodity-code/lithium,84,465636,Production of lithium minerals,896,tonnes (metric),Production,lithium minerals,
-64.247496,-31.841561,Argentina,Carbonate,,AR,Lithium,*,ARG,Lithium,Estimates.,2023-01-01 00:00:00,-64.247496,Carbonate,-31.841561,http://resource.geosciml.org/classifier/cgi/commodity-code/lithium,84,50000,Production of lithium minerals,707,tonnes (metric),Production,lithium minerals,
-64.247496,-31.841561,Argentina,Chloride,,AR,,*,ARG,,Estimates.,2023-01-01 00:00:00,-64.247496,,-31.841561,,84,6200,Production of lithium minerals,1998,tonnes (metric),Production,lithium minerals,
-64.247496,-31.841561,Argentina,Lithium minerals (Carbonate -Li content),,AR,,*,ARG,,Estimates.,2023-01-01 00:00:00,-64.247496,,-31.841561,,84,9400,Production of lithium minerals,20309,tonnes (metric),Production,lithium minerals,
-64.247496,-31.841561,Argentina,Lithium minerals (Chloride -Li content),,AR,,*,ARG,,Estimates.,2023-01-01 00:00:00,-64.247496,,-31.841561,,84,1011,Production of lithium minerals,20310,tonnes (metric),Production,lithium minerals,
132.72135600000001,-23.137734,Australia,Spodumene,,AU,Lithium,,AUS,Lithium minerals,,2023-01-01 00:00:00,132.721356,Spodumene,-23.137734,http://resource.geosciml.org/classifier/cgi/commodity-code/lithium,84,3295041,Production of lithium minerals,896,tonnes (metric),Production,lithium minerals,
-64.684753,-16.706875999999998,Bolivia,Lithium minerals (Li content),,BO,,,BOL,,,2023-01-01 00:00:00,-64.684753,,-16.706876,,84,178,Production of lithium minerals,20300,tonnes (metric),Production,lithium minerals,
-49.028009999999995,-12.408957,Brazil,Spodumene,,BR,Lithium,,BRA,Lithium minerals,,2023-01-01 00:00:00,-49.028010,Spodumene,-12.408957,http://resource.geosciml.org/classifier/cgi/commodity-code/lithium,84,263876,Production of lithium minerals,896,tonnes (metric),Production,lithium minerals,
-69.73191899999999,-26.162882999999997,Chile,Chloride,,CL,,,CHL,,,2023-01-01 00:00:00,-69.731919,,-26.162883,,84,0,Production of lithium minerals,1998,tonnes (metric),Production,lithium minerals,
-69.73191899999999,-26.162882999999997,Chile,Lithium minerals (hydroxide),,CL,,,CHL,,,2023-01-01 00:00:00,-69.731919,,-26.162883,,84,23071,Production of lithium minerals,20278,tonnes (metric),Production,lithium minerals,
-69.73191899999999,-26.162882999999997,Chile,Lithium minerals (Li content),,CL,,i,CHL,,Hydroxide.,2023-01-01 00:00:00,-69.731919,,-26.162883,,84,3807,Production of lithium minerals,20300,tonnes (metric),Production,lithium minerals,
-69.73191899999999,-26.162882999999997,Chile,Lithium minerals (Carbonate -Li content),,CL,,,CHL,,,2023-01-01 00:00:00,-69.731919,,-26.162883,,84,41408,Production of lithium minerals,20309,tonnes (metric),Production,lithium minerals,
-69.73191899999999,-26.162882999999997,Chile,Lithium minerals (Chloride -Li content),,CL,,,CHL,,,2023-01-01 00:00:00,-69.731919,,-26.162883,,84,0,Production of lithium minerals,20310,tonnes (metric),Production,lithium minerals,
109.537431,32.216659,China,Lithium minerals (Li content),,CN,,*,CHN,,Estimates.,2023-01-01 00:00:00,109.537431,,32.216659,,84,33000,Production of lithium minerals,20300,tonnes (metric),Production,lithium minerals,
16.971256999999998,-20.703654,Namibia,Lepidolite (Li content),,NA,,*,NAM,,Estimates.,2023-01-01 00:00:00,16.971257,,-20.703654,,84,877,Production of lithium minerals,20312,tonnes (metric),Production,lithium minerals,
8.075654,9.676734,Nigeria,Lithium minerals (Li content),,NG,,*,NGA,,Estimates.,2023-01-01 00:00:00,8.075654,,9.676734,,84,2,Production of lithium minerals,20300,tonnes (metric),Production,lithium minerals,
8.075654,9.676734,Nigeria,Spodumene (Li content),,NG,,,NGA,,,2023-01-01 00:00:00,8.075654,,9.676734,,84,431,Production of lithium minerals,20311,tonnes (metric),Production,lithium minerals,
-8.263145999999999,39.866841,Portugal,Lepidolite,,PT,Lithium,*,PRT,Lithium minerals,Estimates.,2023-01-01 00:00:00,-8.263146,Lepidolite,39.866841,http://resource.geosciml.org/classifier/cgi/commodity-code/lithium,84,19000,Production of lithium minerals,894,tonnes (metric),Production,lithium minerals,
29.851884,-19.002536,Zimbabwe,Lepidolite,,ZW,Lithium,,ZWE,Lithium minerals,,2023-01-01 00:00:00,29.851884,Lepidolite,-19.002536,http://resource.geosciml.org/classifier/cgi/commodity-code/lithium,84,3446,Production of lithium minerals,894,tonnes (metric),Production,lithium minerals,
