Country,Mode,Powertrain,Year,EV_sales,Mass_vehicule,Scenario,Technology,Sub-technology,Metal,Metal intensity (kg/vehicle),Metal_demand_t,Fiability_used,Comment
Canada,2 and 3 wheelers,BEV,2024,170.0,0.09808569078889517,Current Measures,Vehicle body,BEV,Aluminum,127302.0,2122.705783497349,No comparison,
Canada,2 and 3 wheelers,BEV,2024,170.0,0.09808569078889517,Current Measures,Vehicle body,BEV,Chromium,11850.0,197.59362409422934,No comparison,
Canada,2 and 3 wheelers,BEV,2024,170.0,0.09808569078889517,Current Measures,Vehicle body,BEV,Iron,902171.34,15043.316845953346,No comparison,
Canada,2 and 3 wheelers,BEV,2024,170.0,0.09808569078889517,Current Measures,Vehicle body,BEV,Lead,310.0,5.1691159045747765,No comparison,
Canada,2 and 3 wheelers,BEV,2024,170.0,0.09808569078889517,Current Measures,Vehicle body,BEV,Zinc,100.0,1.667456743411218,No comparison,
Canada,Buses,BEV,2024,210.0,5.6752374182090595,Current Measures,Vehicle body,BEV,Aluminum,127302.0,151718.50550069843,No comparison,
Canada,Buses,BEV,2024,210.0,5.6752374182090595,Current Measures,Vehicle body,BEV,Chromium,11850.0,14122.828315213246,No comparison,
Canada,Buses,BEV,2024,210.0,5.6752374182090595,Current Measures,Vehicle body,BEV,Iron,902171.34,1075207.6747447995,No comparison,
Canada,Buses,BEV,2024,210.0,5.6752374182090595,Current Measures,Vehicle body,BEV,Lead,310.0,369.4579559254098,No comparison,
Canada,Buses,BEV,2024,210.0,5.6752374182090595,Current Measures,Vehicle body,BEV,Zinc,100.0,119.17998578239026,No comparison,
Canada,Cars,BEV,2024,190000.0,1.0,Current Measures,Vehicle body,BEV,Aluminum,127302.0,24187380.0,No comparison,
Canada,Cars,BEV,2024,190000.0,1.0,Current Measures,Vehicle body,BEV,Chromium,11850.0,2251500.0,No comparison,
Canada,Cars,BEV,2024,190000.0,1.0,Current Measures,Vehicle body,BEV,Iron,902171.34,171412554.6,No comparison,
Canada,Cars,BEV,2024,190000.0,1.0,Current Measures,Vehicle body,BEV,Lead,310.0,58900.0,No comparison,
Canada,Cars,BEV,2024,190000.0,1.0,Current Measures,Vehicle body,BEV,Zinc,100.0,19000.0,No comparison,
Canada,Trucks,BEV,2024,2000.0,3.6892781241792854,Current Measures,Vehicle body,BEV,Aluminum,127302.0,939304.9675285427,No comparison,
Canada,Trucks,BEV,2024,2000.0,3.6892781241792854,Current Measures,Vehicle body,BEV,Chromium,11850.0,87435.89154304907,No comparison,
Canada,Trucks,BEV,2024,2000.0,3.6892781241792854,Current Measures,Vehicle body,BEV,Iron,902171.34,6656721.977847025,No comparison,
Canada,Trucks,BEV,2024,2000.0,3.6892781241792854,Current Measures,Vehicle body,BEV,Lead,310.0,2287.352436991157,No comparison,
Canada,Trucks,BEV,2024,2000.0,3.6892781241792854,Current Measures,Vehicle body,BEV,Zinc,100.0,737.855624835857,No comparison,
Canada,Vans,BEV,2024,11000.0,1.9577507575642077,Current Measures,Vehicle body,BEV,Aluminum,127302.0,2741481.4563338268,No comparison,
Canada,Vans,BEV,2024,11000.0,1.9577507575642077,Current Measures,Vehicle body,BEV,Chromium,11850.0,255192.8112484945,No comparison,
Canada,Vans,BEV,2024,11000.0,1.9577507575642077,Current Measures,Vehicle body,BEV,Iron,902171.34,19428492.867714882,No comparison,
Canada,Vans,BEV,2024,11000.0,1.9577507575642077,Current Measures,Vehicle body,BEV,Lead,310.0,6675.930083293948,No comparison,
Canada,Vans,BEV,2024,11000.0,1.9577507575642077,Current Measures,Vehicle body,BEV,Zinc,100.0,2153.5258333206284,No comparison,
Canada,Buses,FCEV,2024,13.0,5.6752374182090595,Current Measures,Vehicle body,ICEV,Aluminum,71300.0,5260.377562937977,No comparison,
Canada,Buses,FCEV,2024,13.0,5.6752374182090595,Current Measures,Vehicle body,ICEV,Iron,902171.34,66560.4751032495,No comparison,
Canada,Buses,FCEV,2024,13.0,5.6752374182090595,Current Measures,Vehicle body,ICEV,Lead,300.0,22.13342593101533,No comparison,
Canada,Buses,FCEV,2024,13.0,5.6752374182090595,Current Measures,Vehicle body,ICEV,Zinc,100.0,7.377808643671777,No comparison,
Canada,Cars,FCEV,2024,20.0,1.0,Current Measures,Vehicle body,ICEV,Aluminum,71300.0,1426.0,No comparison,
Canada,Cars,FCEV,2024,20.0,1.0,Current Measures,Vehicle body,ICEV,Iron,902171.34,18043.4268,No comparison,
Canada,Cars,FCEV,2024,20.0,1.0,Current Measures,Vehicle body,ICEV,Lead,300.0,6.0,No comparison,
Canada,Cars,FCEV,2024,20.0,1.0,Current Measures,Vehicle body,ICEV,Zinc,100.0,2.0,No comparison,
Canada,Trucks,FCEV,2024,6.0,3.6892781241792854,Current Measures,Vehicle body,ICEV,Aluminum,71300.0,1578.2731815238983,No comparison,
Canada,Trucks,FCEV,2024,6.0,3.6892781241792854,Current Measures,Vehicle body,ICEV,Iron,902171.34,19970.165933541073,No comparison,
Canada,Trucks,FCEV,2024,6.0,3.6892781241792854,Current Measures,Vehicle body,ICEV,Lead,300.0,6.640700623522713,No comparison,
Canada,Trucks,FCEV,2024,6.0,3.6892781241792854,Current Measures,Vehicle body,ICEV,Zinc,100.0,2.2135668745075714,No comparison,
Canada,Cars,PHEV,2024,62000.0,1.0,Current Measures,Vehicle body,PHEV,Aluminum,110658.0,6860796.0,No comparison,
Canada,Cars,PHEV,2024,62000.0,1.0,Current Measures,Vehicle body,PHEV,Chromium,12789.0,792918.0,No comparison,
Canada,Cars,PHEV,2024,62000.0,1.0,Current Measures,Vehicle body,PHEV,Iron,902171.34,55934623.08,No comparison,
Canada,Cars,PHEV,2024,62000.0,1.0,Current Measures,Vehicle body,PHEV,Lead,320.0,19840.0,No comparison,
Canada,Cars,PHEV,2024,62000.0,1.0,Current Measures,Vehicle body,PHEV,Zinc,100.0,6200.0,No comparison,
Canada,Vans,PHEV,2024,6400.0,1.9577507575642077,Current Measures,Vehicle body,PHEV,Aluminum,110658.0,1386501.0133154567,No comparison,
Canada,Vans,PHEV,2024,6400.0,1.9577507575642077,Current Measures,Vehicle body,PHEV,Chromium,12789.0,160241.11640632738,No comparison,
Canada,Vans,PHEV,2024,6400.0,1.9577507575642077,Current Measures,Vehicle body,PHEV,Iron,902171.34,11303850.395761386,No comparison,
Canada,Vans,PHEV,2024,6400.0,1.9577507575642077,Current Measures,Vehicle body,PHEV,Lead,320.0,4009.473551491497,No comparison,
Canada,Vans,PHEV,2024,6400.0,1.9577507575642077,Current Measures,Vehicle body,PHEV,Zinc,100.0,1252.960484841093,No comparison,
Canada,2 and 3 wheelers,BEV,2025,243.2677962581561,0.09808569078889517,Current Measures,Vehicle body,BEV,Aluminum,127302.0,3037.564459152016,No comparison,
Canada,2 and 3 wheelers,BEV,2025,243.2677962581561,0.09808569078889517,Current Measures,Vehicle body,BEV,Chromium,11850.0,282.75391463568036,No comparison,
Canada,2 and 3 wheelers,BEV,2025,243.2677962581561,0.09808569078889517,Current Measures,Vehicle body,BEV,Iron,902171.34,21526.791397225097,No comparison,
Canada,2 and 3 wheelers,BEV,2025,243.2677962581561,0.09808569078889517,Current Measures,Vehicle body,BEV,Lead,310.0,7.39693785122877,No comparison,
Canada,2 and 3 wheelers,BEV,2025,243.2677962581561,0.09808569078889517,Current Measures,Vehicle body,BEV,Zinc,100.0,2.386108984267345,No comparison,
Canada,Buses,BEV,2025,300.5072777306634,5.6752374182090595,Current Measures,Vehicle body,BEV,Aluminum,127302.0,217107.2146160932,No comparison,
Canada,Buses,BEV,2025,300.5072777306634,5.6752374182090595,Current Measures,Vehicle body,BEV,Chromium,11850.0,20209.584242201257,No comparison,
Canada,Buses,BEV,2025,300.5072777306634,5.6752374182090595,Current Measures,Vehicle body,BEV,Iron,902171.34,1538608.2444413158,No comparison,
Canada,Buses,BEV,2025,300.5072777306634,5.6752374182090595,Current Measures,Vehicle body,BEV,Lead,310.0,528.689545576573,No comparison,
Canada,Buses,BEV,2025,300.5072777306634,5.6752374182090595,Current Measures,Vehicle body,BEV,Zinc,100.0,170.5450147021203,No comparison,
Canada,Cars,BEV,2025,271887.53699440975,1.0,Current Measures,Vehicle body,BEV,Aluminum,127302.0,34611827.23446235,No comparison,
Canada,Cars,BEV,2025,271887.53699440975,1.0,Current Measures,Vehicle body,BEV,Chromium,11850.0,3221867.3133837557,No comparison,
Canada,Cars,BEV,2025,271887.53699440975,1.0,Current Measures,Vehicle body,BEV,Iron,902171.34,245289143.5795462,No comparison,
Canada,Cars,BEV,2025,271887.53699440975,1.0,Current Measures,Vehicle body,BEV,Lead,310.0,84285.13646826702,No comparison,
Canada,Cars,BEV,2025,271887.53699440975,1.0,Current Measures,Vehicle body,BEV,Zinc,100.0,27188.753699440975,No comparison,
Canada,Trucks,BEV,2025,2861.9740736253657,3.6892781241792854,Current Measures,Vehicle body,BEV,Aluminum,127302.0,1344133.232147103,No comparison,
Canada,Trucks,BEV,2025,2861.9740736253657,3.6892781241792854,Current Measures,Vehicle body,BEV,Chromium,11850.0,125119.62735026289,No comparison,
Canada,Trucks,BEV,2025,2861.9740736253657,3.6892781241792854,Current Measures,Vehicle body,BEV,Iron,902171.34,9525682.857965175,No comparison,
Canada,Trucks,BEV,2025,2861.9740736253657,3.6892781241792854,Current Measures,Vehicle body,BEV,Lead,310.0,3273.171685956245,No comparison,
Canada,Trucks,BEV,2025,2861.9740736253657,3.6892781241792854,Current Measures,Vehicle body,BEV,Zinc,100.0,1055.8618341794338,No comparison,
Canada,Vans,BEV,2025,15740.857404939512,1.9577507575642077,Current Measures,Vehicle body,BEV,Aluminum,127302.0,3923024.4256760613,No comparison,
Canada,Vans,BEV,2025,15740.857404939512,1.9577507575642077,Current Measures,Vehicle body,BEV,Chromium,11850.0,365177.6047843814,No comparison,
Canada,Vans,BEV,2025,15740.857404939512,1.9577507575642077,Current Measures,Vehicle body,BEV,Iron,902171.34,27801921.43850766,No comparison,
Canada,Vans,BEV,2025,15740.857404939512,1.9577507575642077,Current Measures,Vehicle body,BEV,Lead,310.0,9553.169407861455,No comparison,
Canada,Vans,BEV,2025,15740.857404939512,1.9577507575642077,Current Measures,Vehicle body,BEV,Zinc,100.0,3081.66755092305,No comparison,
Canada,Buses,FCEV,2025,18.602831478564877,5.6752374182090595,Current Measures,Vehicle body,ICEV,Aluminum,71300.0,7527.532101304538,No comparison,
Canada,Buses,FCEV,2025,18.602831478564877,5.6752374182090595,Current Measures,Vehicle body,ICEV,Iron,902171.34,95247.17703684335,No comparison,
Canada,Buses,FCEV,2025,18.602831478564877,5.6752374182090595,Current Measures,Vehicle body,ICEV,Lead,300.0,31.672645587536625,No comparison,
Canada,Buses,FCEV,2025,18.602831478564877,5.6752374182090595,Current Measures,Vehicle body,ICEV,Zinc,100.0,10.557548529178876,No comparison,
Canada,Cars,FCEV,2025,28.619740736253657,1.0,Current Measures,Vehicle body,ICEV,Aluminum,71300.0,2040.5875144948857,No comparison,
Canada,Cars,FCEV,2025,28.619740736253657,1.0,Current Measures,Vehicle body,ICEV,Iron,902171.34,25819.909850478547,No comparison,
Canada,Cars,FCEV,2025,28.619740736253657,1.0,Current Measures,Vehicle body,ICEV,Lead,300.0,8.585922220876096,No comparison,
Canada,Cars,FCEV,2025,28.619740736253657,1.0,Current Measures,Vehicle body,ICEV,Zinc,100.0,2.861974073625366,No comparison,
Canada,Trucks,FCEV,2025,8.585922220876098,3.6892781241792854,Current Measures,Vehicle body,ICEV,Aluminum,71300.0,2258.488463309809,No comparison,
Canada,Trucks,FCEV,2025,8.585922220876098,3.6892781241792854,Current Measures,Vehicle body,ICEV,Iron,902171.34,28577.04857389553,No comparison,
Canada,Trucks,FCEV,2025,8.585922220876098,3.6892781241792854,Current Measures,Vehicle body,ICEV,Lead,300.0,9.502756507614905,No comparison,
Canada,Trucks,FCEV,2025,8.585922220876098,3.6892781241792854,Current Measures,Vehicle body,ICEV,Zinc,100.0,3.1675855025383015,No comparison,
Canada,Cars,PHEV,2025,88721.19628238634,1.0,Current Measures,Vehicle body,PHEV,Aluminum,110658.0,9817710.13821631,No comparison,
Canada,Cars,PHEV,2025,88721.19628238634,1.0,Current Measures,Vehicle body,PHEV,Chromium,12789.0,1134655.3792554392,No comparison,
Canada,Cars,PHEV,2025,88721.19628238634,1.0,Current Measures,Vehicle body,PHEV,Iron,902171.34,80041720.53648351,No comparison,
Canada,Cars,PHEV,2025,88721.19628238634,1.0,Current Measures,Vehicle body,PHEV,Lead,320.0,28390.782810363628,No comparison,
Canada,Cars,PHEV,2025,88721.19628238634,1.0,Current Measures,Vehicle body,PHEV,Zinc,100.0,8872.119628238635,No comparison,
Canada,Vans,PHEV,2025,9158.31703560117,1.9577507575642077,Current Measures,Vehicle body,PHEV,Aluminum,110658.0,1984064.9765820673,No comparison,
Canada,Vans,PHEV,2025,9158.31703560117,1.9577507575642077,Current Measures,Vehicle body,PHEV,Chromium,12789.0,229302.9603418466,No comparison,
Canada,Vans,PHEV,2025,9158.31703560117,1.9577507575642077,Current Measures,Vehicle body,PHEV,Iron,902171.34,16175663.382404456,No comparison,
Canada,Vans,PHEV,2025,9158.31703560117,1.9577507575642077,Current Measures,Vehicle body,PHEV,Lead,320.0,5737.504676627642,No comparison,
Canada,Vans,PHEV,2025,9158.31703560117,1.9577507575642077,Current Measures,Vehicle body,PHEV,Zinc,100.0,1792.970211446138,No comparison,
